,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,NETWORK,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f9,74:da:da:c1:4b:01,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:48,74:da:da:98:74:94,74:da:da:c1:3c:dd,74:da:da:c1:4b:05,74:da:da:c1:3c:f5,74:da:da:c1:3c:99,74:da:da:c0:e0:81,74:da:da:c1:4a:ed,74:da:da:c1:4a:f5,0c:73:eb:d0:11:e8,0c:73:eb:d0:7c:10,bc:d1:77:5f:6a:b4,0c:73:eb:d0:13:c0,0c:73:eb:d0:7c:18,74:da:da:98:8d:78,74:da:da:98:7a:50,0c:73:eb:d0:11:b0,74:da:da:c1:4b:59,74:da:da:c0:e0:71,0c:73:eb:d0:7e:f0,74:da:da:98:7a:68,0c:73:eb:d0:7c:00,74:da:da:98:7a:60,74:da:da:98:7a:4c,0c:73:eb:d0:19:a8,74:da:da:c0:e0:69,74:da:da:c0:e2:d9,0c:73:eb:d0:7a:68,74:da:da:c1:3a:81,0c:73:eb:d0:7f:18,0c:73:eb:d0:2a:48,74:da:da:c0:f3:01,74:da:da:c1:3b:4d,0c:73:eb:d0:13:d0,0c:73:eb:d0:11:f8,74:da:da:98:ea:4c
1526456170532,-38,-48,-48,-51,-52,-52,-54,-61,-61,-64,-65,-66,-69,-70,-70,-72,-72,-73,-74,-75,-75,-76,-76,-78,-80,-80,-81,-84,-87,-89,-91,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526456173557,-46,-52,-58,-64,-56,-56,-54,-75,-61,-64,-81,-62,-68,-78,-200,-84,-72,-73,-200,-75,-82,-76,-78,-78,-71,-77,-81,-84,-200,-89,-91,-94,-84,-85,-200,-200,-200,-200,-200,-200
1526456176593,-46,-52,-58,-64,-56,-56,-54,-75,-61,-64,-81,-62,-68,-78,-200,-84,-72,-73,-200,-75,-82,-76,-78,-78,-71,-77,-81,-84,-200,-89,-91,-94,-84,-85,-200,-200,-200,-200,-200,-200
1526456179628,-46,-52,-58,-64,-56,-56,-54,-75,-61,-64,-81,-62,-68,-78,-200,-84,-72,-73,-200,-75,-82,-76,-78,-78,-71,-77,-81,-84,-200,-89,-91,-94,-84,-85,-200,-200,-200,-200,-200,-200
1526456182667,-43,-50,-51,-67,-58,-63,-63,-75,-67,-63,-69,-70,-59,-71,-200,-78,-75,-81,-66,-200,-82,-200,-78,-200,-70,-77,-82,-200,-200,-200,-200,-200,-80,-85,-200,-200,-200,-200,-200,-200
1526456185699,-39,-50,-51,-67,-55,-63,-63,-75,-68,-63,-67,-70,-59,-68,-200,-77,-71,-78,-67,-200,-82,-200,-78,-200,-70,-88,-81,-200,-200,-200,-200,-200,-80,-85,-89,-92,-200,-200,-200,-200
1526456188739,-39,-50,-51,-67,-55,-63,-63,-75,-68,-63,-67,-70,-59,-68,-200,-77,-71,-78,-67,-200,-82,-200,-78,-200,-70,-88,-81,-200,-200,-200,-200,-200,-80,-85,-89,-92,-200,-200,-200,-200
1526456191771,-39,-50,-51,-67,-55,-63,-63,-75,-68,-63,-67,-70,-59,-68,-200,-77,-71,-78,-67,-200,-82,-200,-78,-200,-70,-88,-81,-200,-200,-200,-200,-200,-80,-85,-89,-92,-200,-200,-200,-200
1526456194809,-44,-61,-65,-67,-70,-77,-75,-83,-80,-66,-84,-73,-72,-82,-200,-77,-69,-79,-67,-200,-200,-200,-200,-200,-85,-88,-81,-200,-200,-200,-200,-200,-200,-200,-89,-92,-200,-200,-200,-200
1526456197843,-41,-50,-54,-65,-61,-65,-75,-71,-69,-63,-72,-69,-61,-82,-82,-76,-69,-80,-67,-200,-82,-86,-200,-200,-74,-88,-78,-200,-200,-200,-200,-200,-200,-200,-89,-92,-88,-200,-200,-200
1526456200880,-41,-50,-54,-65,-61,-65,-75,-71,-69,-63,-72,-69,-61,-82,-82,-76,-69,-80,-67,-200,-82,-86,-200,-200,-74,-88,-78,-200,-200,-200,-200,-200,-200,-200,-89,-92,-88,-200,-200,-200
1526456203921,-41,-50,-54,-65,-61,-65,-75,-71,-69,-63,-72,-69,-61,-82,-82,-76,-69,-80,-67,-200,-82,-86,-200,-200,-74,-88,-78,-200,-200,-200,-200,-200,-200,-200,-89,-92,-88,-200,-200,-200
1526456206961,-37,-47,-60,-64,-58,-68,-200,-60,-68,-68,-69,-69,-63,-74,-82,-83,-200,-78,-200,-84,-82,-86,-80,-200,-69,-200,-78,-200,-200,-200,-91,-200,-200,-87,-200,-200,-89,-84,-200,-200
1526456209994,-36,-47,-59,-61,-58,-66,-66,-60,-67,-68,-70,-69,-67,-74,-82,-83,-200,-78,-200,-84,-82,-86,-80,-200,-68,-89,-87,-200,-200,-200,-91,-200,-200,-87,-200,-200,-89,-84,-86,-200
1526456213041,-40,-51,-55,-62,-58,-61,-66,-66,-65,-66,-71,-67,-64,-72,-83,-81,-82,-76,-200,-84,-82,-86,-84,-200,-67,-89,-87,-200,-200,-200,-91,-200,-82,-87,-200,-200,-89,-84,-86,-81
1526456216074,-40,-51,-55,-62,-58,-61,-66,-66,-65,-66,-71,-67,-64,-72,-83,-81,-82,-76,-200,-84,-82,-86,-84,-200,-67,-89,-87,-200,-200,-200,-91,-200,-82,-87,-200,-200,-89,-84,-86,-81
