,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f9,74:da:da:c1:4b:01,0c:73:eb:d0:11:f0,74:da:da:98:74:94,74:da:da:c1:3c:99,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,74:da:da:c1:4a:ed,74:da:da:c0:e0:81,74:da:da:c1:3c:f5,74:da:da:c1:4b:05,0c:73:eb:d0:13:c0,74:da:da:c1:3a:81,74:da:da:98:8d:78,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7c:18,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:e8,74:da:da:98:7a:68,0c:73:eb:d0:7c:10,0c:73:eb:d0:7f:18,74:da:da:c0:e0:71,74:da:da:98:7a:60,74:da:da:c1:4b:59,0c:73:eb:d0:7e:f0,0c:73:eb:d0:19:a8,74:da:da:c0:d8:59,74:da:da:c1:3c:d1,0c:73:eb:d0:11:f8,74:da:da:c0:e2:d9,0c:73:eb:d0:11:b8,74:da:da:98:7a:50,0c:73:eb:d0:11:b0,0c:73:eb:d0:7a:68,74:da:da:c0:f3:01,74:da:da:c1:3c:e1,74:da:da:98:ea:4c,0c:73:eb:d0:2a:48,74:da:da:98:7a:4c,0c:73:eb:d0:11:d0
1526455999986,-32,-32,-51,-51,-54,-56,-58,-59,-60,-61,-65,-66,-67,-67,-70,-70,-71,-71,-72,-74,-74,-74,-77,-79,-80,-80,-81,-82,-84,-87,-88,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456003026,-38,-32,-51,-49,-51,-59,-59,-61,-64,-61,-72,-66,-67,-74,-200,-70,-69,-71,-71,-74,-73,-74,-200,-79,-77,-78,-81,-82,-84,-200,-76,-87,-90,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526456006058,-38,-32,-51,-49,-51,-59,-59,-61,-64,-61,-72,-66,-67,-74,-200,-70,-69,-71,-71,-74,-73,-74,-200,-79,-77,-78,-81,-82,-84,-200,-76,-87,-90,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526456009087,-38,-32,-51,-49,-51,-59,-59,-61,-64,-61,-72,-66,-67,-74,-200,-70,-69,-71,-71,-74,-73,-74,-200,-79,-77,-78,-81,-82,-84,-200,-76,-87,-90,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526456012130,-33,-37,-51,-54,-49,-60,-59,-59,-65,-61,-71,-68,-66,-68,-80,-61,-68,-71,-71,-72,-80,-77,-200,-200,-79,-79,-78,-200,-200,-200,-78,-87,-200,-80,-85,-91,-200,-200,-200,-200,-200,-200
1526456015167,-33,-37,-51,-54,-49,-60,-59,-59,-65,-61,-71,-68,-66,-68,-80,-61,-68,-71,-71,-72,-80,-77,-200,-200,-79,-79,-78,-200,-200,-200,-78,-87,-200,-80,-85,-91,-200,-200,-200,-200,-200,-200
1526456018203,-33,-37,-51,-54,-49,-60,-59,-59,-65,-61,-71,-68,-66,-68,-80,-61,-68,-71,-71,-72,-80,-77,-200,-200,-79,-79,-78,-200,-200,-200,-78,-87,-200,-80,-85,-91,-200,-200,-200,-200,-200,-200
1526456021223,-33,-37,-51,-54,-49,-60,-59,-59,-65,-61,-71,-68,-66,-68,-80,-61,-68,-71,-71,-72,-80,-77,-200,-200,-79,-79,-78,-200,-200,-200,-78,-87,-200,-80,-85,-91,-200,-200,-200,-200,-200,-200
1526456024264,-36,-41,-50,-49,-47,-58,-200,-61,-67,-61,-74,-59,-66,-71,-84,-200,-69,-74,-80,-75,-81,-76,-86,-200,-81,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-93,-200,-200,-200,-200
