,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:48,0c:73:eb:d0:11:f0,74:da:da:c1:3c:dd,74:da:da:c1:4b:01,74:da:da:98:74:94,74:da:da:c1:3c:99,74:da:da:c1:4b:05,0c:73:eb:d0:11:e8,74:da:da:c0:e0:81,74:da:da:c1:4a:ed,74:da:da:c1:3c:f5,74:da:da:98:8d:78,74:da:da:c1:4a:f5,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7c:10,0c:73:eb:d0:7c:00,0c:73:eb:d0:7c:18,74:da:da:98:7a:60,74:da:da:98:7a:50,0c:73:eb:d0:13:c0,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:b0,0c:73:eb:d0:2a:48,74:da:da:98:ea:4c,74:da:da:c1:4b:59,74:da:da:98:7a:68,0c:73:eb:d0:2a:98,74:da:da:98:7a:4c,74:da:da:c0:e0:71,0c:73:eb:d0:13:d0,74:da:da:c1:3a:81,74:da:da:c1:3c:e1
1526455644387,-35,-35,-51,-53,-53,-54,-56,-58,-59,-61,-62,-63,-65,-65,-68,-72,-72,-73,-74,-74,-74,-75,-80,-81,-81,-82,-82,-86,-90,-90,-200,-200,-200,-200
1526455647412,-29,-44,-55,-57,-59,-50,-56,-66,-71,-64,-62,-64,-65,-65,-69,-69,-72,-73,-73,-74,-74,-68,-80,-84,-81,-82,-81,-86,-90,-89,-83,-200,-200,-200
1526455650445,-29,-44,-55,-57,-59,-50,-56,-66,-71,-64,-62,-64,-65,-65,-69,-69,-72,-73,-73,-74,-74,-68,-80,-84,-81,-82,-81,-86,-90,-89,-83,-200,-200,-200
1526455653471,-29,-44,-55,-57,-59,-50,-56,-66,-71,-64,-62,-64,-65,-65,-69,-69,-72,-73,-73,-74,-74,-68,-80,-84,-81,-82,-81,-86,-90,-89,-83,-200,-200,-200
1526455656531,-32,-46,-50,-57,-59,-50,-53,-63,-73,-64,-200,-62,-60,-61,-69,-69,-79,-72,-75,-80,-200,-64,-200,-87,-200,-200,-71,-79,-200,-84,-85,-84,-200,-200
1526455659561,-28,-49,-49,-57,-59,-47,-53,-63,-74,-68,-200,-63,-59,-64,-69,-72,-79,-70,-74,-80,-200,-64,-200,-87,-200,-200,-75,-79,-200,-85,-85,-84,-78,-200
1526455662596,-28,-49,-49,-57,-59,-47,-53,-63,-74,-68,-200,-63,-59,-64,-69,-72,-79,-70,-74,-80,-200,-64,-200,-87,-200,-200,-75,-79,-200,-85,-85,-84,-78,-200
1526455665627,-28,-49,-49,-57,-59,-47,-53,-63,-74,-68,-200,-63,-59,-64,-69,-72,-79,-70,-74,-80,-200,-64,-200,-87,-200,-200,-75,-79,-200,-85,-85,-84,-78,-200
1526455668666,-28,-49,-49,-57,-200,-47,-53,-63,-74,-68,-200,-63,-59,-64,-69,-72,-79,-70,-74,-80,-200,-64,-200,-200,-200,-200,-75,-200,-200,-85,-200,-200,-78,-200
