,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:F1,78:A5:04:41:E5:59,78:A5:04:41:E9:A0,78:A5:04:41:E7:9D,BC:6A:29:BE:31:7F,BC:6A:29:BE:2F:54,78:A5:04:41:E9:B3,7C:66:9D:7B:2E:21,BC:6A:29:BE:31:17,78:A5:04:41:EB:A5,7C:66:9D:7B:47:FC,78:A5:04:41:E9:F3,78:A5:04:41:E5:3E,78:A5:04:41:E9:98,78:A5:04:41:E9:8E,78:A5:04:41:E9:BE,78:A5:04:41:E9:CB,78:A5:04:41:EE:17
1526458481685,-82,-83,-62,-83,-93,-86,-66,-89,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458481831,-81,-83,-62,-82,-200,-85,-66,-88,-81,-66,-96,-200,-200,-200,-200,-200,-200,-200
1526458481938,-81,-84,-200,-81,-95,-200,-66,-90,-84,-65,-94,-85,-200,-200,-200,-200,-200,-200
1526458486596,-200,-200,-200,-200,-200,-94,-200,-94,-200,-80,-200,-200,-90,-86,-200,-200,-200,-200
1526458486681,-200,-200,-200,-76,-94,-200,-200,-200,-90,-79,-200,-200,-91,-86,-200,-200,-200,-200
1526458486789,-200,-200,-200,-76,-200,-90,-200,-200,-90,-79,-200,-200,-200,-85,-200,-200,-200,-200
1526458486903,-200,-200,-200,-78,-94,-90,-200,-93,-200,-80,-200,-200,-90,-87,-200,-200,-200,-200
1526458491610,-200,-92,-200,-78,-200,-84,-67,-95,-200,-66,-200,-85,-200,-88,-76,-88,-200,-200
1526458491715,-200,-200,-74,-200,-93,-200,-67,-94,-200,-66,-95,-200,-200,-200,-76,-88,-200,-200
1526458491831,-92,-200,-200,-200,-200,-83,-200,-95,-82,-66,-95,-86,-200,-88,-200,-200,-200,-200
1526458491932,-200,-200,-200,-80,-200,-83,-200,-200,-82,-66,-95,-200,-90,-89,-200,-88,-200,-200
1526458496604,-200,-83,-65,-200,-200,-84,-66,-89,-86,-67,-200,-85,-200,-200,-200,-200,-200,-200
1526458496694,-83,-83,-65,-82,-200,-84,-200,-89,-85,-200,-200,-200,-200,-200,-200,-87,-200,-200
1526458496807,-200,-200,-200,-83,-200,-86,-70,-89,-85,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526458497121,-200,-200,-200,-76,-200,-85,-72,-90,-85,-80,-200,-86,-200,-86,-90,-200,-200,-200
1526458501695,-200,-200,-200,-76,-96,-92,-69,-93,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526458501774,-200,-200,-84,-77,-200,-91,-200,-94,-90,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526458501871,-200,-200,-200,-76,-200,-94,-81,-95,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200
1526458501983,-200,-200,-77,-200,-200,-92,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458506611,-90,-89,-200,-200,-200,-80,-200,-95,-82,-200,-200,-86,-200,-200,-200,-200,-90,-200
1526458506706,-200,-90,-79,-200,-92,-80,-200,-200,-85,-65,-200,-200,-90,-87,-77,-200,-200,-88
1526458506924,-200,-200,-200,-200,-93,-82,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458507062,-200,-200,-200,-200,-94,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458507189,-200,-200,-200,-200,-95,-85,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458507339,-200,-200,-200,-200,-92,-81,-70,-96,-200,-64,-200,-200,-200,-86,-200,-87,-200,-200
1526458511629,-81,-200,-63,-200,-200,-200,-200,-88,-87,-66,-200,-88,-200,-200,-79,-87,-200,-89
1526458511719,-200,-200,-64,-83,-200,-200,-65,-200,-87,-66,-200,-200,-200,-200,-200,-200,-200,-89
1526458511838,-80,-84,-63,-200,-200,-83,-65,-82,-87,-66,-200,-200,-200,-200,-79,-86,-200,-200
1526458511947,-80,-84,-63,-83,-200,-77,-65,-200,-86,-66,-200,-85,-200,-200,-79,-87,-200,-90
1526458516600,-200,-200,-200,-76,-200,-89,-69,-200,-94,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526458516708,-200,-200,-73,-75,-200,-200,-69,-200,-94,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526458516811,-200,-200,-74,-75,-200,-200,-200,-200,-94,-77,-200,-90,-200,-84,-200,-200,-200,-200
1526458516954,-200,-200,-74,-75,-200,-92,-200,-96,-94,-76,-200,-200,-200,-84,-200,-200,-200,-200
1526458517065,-200,-200,-200,-200,-96,-200,-200,-200,-88,-76,-200,-85,-200,-200,-200,-200,-200,-200
1526458521677,-200,-200,-200,-200,-95,-82,-65,-200,-200,-65,-200,-86,-200,-200,-79,-200,-200,-200
1526458521816,-81,-84,-62,-200,-95,-76,-65,-89,-200,-200,-200,-85,-200,-200,-79,-200,-200,-89
1526458521917,-81,-200,-63,-200,-200,-76,-65,-88,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
1526458522077,-81,-83,-74,-76,-200,-94,-69,-95,-94,-66,-200,-86,-200,-84,-200,-200,-200,-200
1526458526685,-200,-200,-75,-200,-200,-92,-69,-94,-94,-200,-200,-89,-200,-84,-200,-200,-200,-200
1526458526783,-200,-200,-74,-200,-200,-96,-200,-93,-95,-76,-200,-200,-200,-84,-200,-200,-200,-200
1526458526897,-200,-200,-74,-75,-200,-91,-200,-95,-95,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526458526988,-200,-200,-200,-200,-93,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458531602,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458531777,-200,-89,-73,-200,-92,-89,-72,-95,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458532104,-200,-200,-200,-77,-200,-89,-200,-200,-93,-70,-102,-200,-200,-200,-200,-200,-93,-200
1526458532303,-200,-200,-65,-78,-92,-82,-200,-94,-84,-64,-94,-85,-200,-83,-200,-88,-90,-88
1526458532397,-200,-86,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458536609,-200,-200,-200,-83,-200,-79,-200,-88,-86,-66,-200,-200,-200,-200,-79,-86,-200,-89
1526458536703,-200,-200,-64,-83,-200,-77,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200
1526458536807,-200,-200,-200,-200,-200,-77,-200,-200,-87,-66,-200,-85,-200,-200,-200,-200,-200,-200
1526458536912,-81,-90,-64,-200,-200,-76,-200,-89,-200,-66,-94,-85,-200,-89,-200,-200,-200,-200
1526458541621,-90,-200,-79,-75,-200,-87,-68,-200,-200,-200,-200,-200,-200,-84,-88,-200,-200,-200
1526458541736,-200,-200,-80,-76,-200,-200,-68,-93,-200,-200,-200,-200,-200,-83,-87,-200,-200,-200
1526458541828,-200,-200,-80,-76,-95,-200,-69,-94,-95,-200,-200,-200,-200,-83,-87,-200,-200,-200
1526458541931,-92,-200,-80,-75,-200,-90,-200,-94,-97,-78,-200,-200,-200,-200,-88,-200,-200,-200
