,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:9D,78:A5:04:41:E9:B3,BC:6A:29:BE:2F:54,78:A5:04:41:E9:A0,7C:66:9D:7B:2E:21,7C:66:9D:7B:47:FC,78:A5:04:41:E5:59,78:A5:04:41:E9:98,BC:6A:29:BE:31:17,78:A5:04:41:E9:8E,BC:6A:29:BE:31:7F,78:A5:04:41:E9:82,78:A5:04:41:EB:F1,78:A5:04:41:E5:3E,78:A5:04:41:E9:F3
1526458241739,-86,-64,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458241909,-200,-64,-75,-79,-94,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526458242003,-82,-79,-80,-200,-94,-88,-200,-88,-91,-86,-200,-200,-200,-200,-200
1526458246650,-200,-81,-83,-200,-95,-91,-200,-89,-91,-86,-99,-200,-200,-200,-200
1526458246770,-200,-200,-200,-200,-200,-90,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526458246882,-83,-200,-85,-87,-96,-90,-200,-90,-92,-85,-200,-200,-200,-200,-200
1526458246981,-82,-200,-200,-88,-94,-90,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526458251596,-200,-200,-89,-92,-200,-200,-200,-200,-91,-200,-98,-200,-200,-200,-200
1526458251702,-200,-200,-88,-200,-99,-89,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526458251811,-86,-61,-200,-83,-200,-87,-200,-200,-90,-200,-200,-90,-200,-200,-200
1526458251899,-87,-62,-200,-200,-200,-89,-200,-200,-90,-200,-200,-200,-92,-200,-200
1526458252019,-86,-62,-90,-83,-200,-90,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526458252113,-86,-62,-88,-200,-200,-89,-200,-200,-200,-200,-200,-200,-90,-90,-200
1526458256650,-200,-200,-70,-200,-95,-89,-200,-200,-99,-200,-200,-200,-200,-200,-200
1526458256745,-200,-200,-74,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-89
1526458256845,-200,-200,-76,-84,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200
1526458256963,-86,-63,-200,-84,-200,-91,-87,-200,-96,-200,-92,-200,-200,-200,-200
1526458261626,-200,-67,-84,-84,-97,-91,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526458261732,-200,-200,-83,-84,-97,-91,-200,-200,-200,-85,-100,-200,-200,-200,-200
1526458261888,-82,-67,-83,-84,-200,-92,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526458262001,-200,-200,-200,-85,-92,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458266632,-200,-200,-81,-88,-92,-92,-200,-200,-200,-200,-200,-200,-200,-91,-90
1526458266741,-200,-62,-81,-89,-92,-92,-85,-200,-92,-200,-94,-200,-200,-92,-200
1526458266847,-200,-62,-80,-200,-92,-92,-200,-200,-90,-200,-200,-200,-94,-200,-200
1526458266952,-88,-61,-200,-200,-94,-92,-85,-200,-90,-200,-200,-200,-200,-200,-200
1526458271630,-200,-200,-92,-86,-96,-200,-200,-200,-90,-200,-98,-200,-200,-200,-200
1526458271779,-200,-63,-94,-86,-98,-200,-200,-200,-90,-200,-96,-91,-200,-200,-200
1526458271872,-200,-63,-200,-86,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458271996,-86,-63,-200,-86,-200,-92,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526458276623,-82,-67,-84,-87,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458276714,-200,-200,-200,-86,-200,-200,-200,-200,-100,-200,-200,-200,-200,-200,-200
1526458276834,-82,-200,-84,-87,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458276930,-81,-67,-83,-86,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-89
1526458281635,-81,-61,-79,-200,-200,-95,-86,-200,-94,-84,-94,-200,-200,-200,-89
1526458281742,-81,-62,-200,-80,-93,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526458281863,-82,-62,-79,-81,-94,-96,-200,-200,-93,-85,-95,-200,-200,-200,-200
1526458281972,-200,-63,-200,-81,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200
1526458286628,-88,-200,-200,-83,-200,-94,-200,-200,-95,-200,-97,-200,-200,-200,-200
1526458286723,-200,-63,-200,-200,-200,-94,-200,-200,-94,-200,-200,-90,-200,-200,-200
1526458286841,-200,-63,-200,-84,-97,-93,-200,-200,-93,-200,-200,-90,-200,-200,-200
1526458286949,-80,-64,-84,-84,-200,-92,-200,-200,-97,-84,-200,-200,-200,-200,-200
1526458291751,-82,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458291860,-82,-69,-84,-89,-200,-200,-200,-200,-96,-84,-200,-200,-200,-200,-200
1526458291954,-200,-69,-84,-200,-200,-200,-200,-200,-98,-84,-200,-200,-200,-200,-200
1526458292059,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458296612,-200,-61,-80,-83,-92,-94,-200,-200,-200,-87,-200,-200,-200,-200,-200
1526458296727,-200,-61,-80,-200,-200,-200,-86,-200,-93,-200,-200,-200,-200,-200,-200
1526458296809,-84,-61,-200,-200,-91,-200,-85,-92,-93,-200,-200,-200,-200,-200,-90
1526458296916,-83,-61,-200,-200,-94,-200,-86,-200,-92,-86,-94,-200,-200,-200,-200
1526458297026,-83,-61,-81,-83,-200,-94,-85,-200,-200,-200,-200,-200,-200,-200,-90
1526458301758,-200,-200,-83,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458301957,-82,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458302056,-83,-67,-83,-86,-200,-91,-200,-200,-97,-85,-200,-200,-200,-200,-200
1526458302166,-83,-67,-85,-86,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526458302276,-200,-200,-84,-200,-200,-200,-200,-200,-99,-200,-200,-200,-200,-200,-200
