,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:BB,BC:6A:29:BE:2F:54,78:A5:04:41:EB:F1,78:A5:04:41:E9:CB,78:A5:04:41:EB:A5,78:A5:04:41:E9:B3,78:A5:04:41:E7:9D,78:A5:04:41:E9:A0,78:A5:04:41:E9:98,BC:6A:29:BE:31:7F,78:A5:04:41:E5:3E,BC:6A:29:BE:31:17,7C:66:9D:7B:2E:21,7C:66:9D:7B:47:FC,78:A5:04:41:E9:8E,78:A5:04:41:E5:59,78:A5:04:41:EE:17
1526457941715,-86,-74,-85,-86,-81,-67,-86,-62,-79,-97,-67,-200,-200,-200,-200,-200,-200
1526457941804,-87,-73,-200,-200,-81,-67,-87,-200,-80,-200,-67,-200,-200,-200,-200,-200,-200
1526457941914,-90,-72,-200,-200,-80,-68,-200,-62,-81,-200,-67,-200,-200,-200,-200,-200,-200
1526457942012,-200,-72,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457946627,-200,-67,-200,-200,-78,-77,-200,-63,-79,-200,-78,-88,-200,-200,-200,-200,-200
1526457946753,-200,-200,-89,-200,-78,-77,-200,-200,-79,-98,-200,-200,-103,-200,-200,-200,-200
1526457946861,-200,-73,-88,-200,-78,-200,-200,-63,-200,-200,-78,-81,-200,-200,-200,-200,-200
1526457946972,-200,-72,-200,-200,-200,-200,-200,-63,-200,-200,-200,-86,-200,-94,-200,-200,-200
1526457951624,-200,-200,-200,-200,-81,-200,-200,-68,-80,-94,-200,-88,-200,-95,-200,-200,-200
1526457951728,-200,-200,-200,-200,-81,-200,-200,-68,-80,-200,-200,-88,-200,-92,-200,-200,-200
1526457951828,-200,-72,-200,-200,-81,-75,-83,-67,-80,-200,-84,-89,-200,-94,-200,-200,-200
1526457951930,-200,-71,-83,-200,-82,-200,-83,-68,-79,-200,-84,-88,-200,-93,-200,-200,-200
1526457956599,-200,-77,-200,-200,-76,-76,-81,-61,-84,-200,-75,-94,-200,-200,-200,-200,-200
1526457956799,-200,-200,-200,-200,-200,-76,-81,-62,-85,-200,-82,-95,-200,-200,-89,-200,-200
1526457956908,-200,-200,-84,-200,-200,-77,-200,-63,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526457957026,-200,-200,-88,-200,-200,-80,-200,-200,-81,-200,-200,-96,-200,-200,-200,-200,-200
1526457961637,-200,-200,-200,-200,-81,-80,-89,-200,-200,-200,-200,-85,-200,-200,-200,-89,-200
1526457961747,-200,-200,-200,-200,-81,-200,-200,-65,-200,-96,-75,-80,-200,-200,-200,-89,-200
1526457961880,-200,-72,-87,-88,-85,-80,-79,-65,-200,-200,-200,-86,-200,-200,-200,-200,-90
1526457966630,-200,-71,-200,-86,-200,-77,-200,-71,-81,-200,-77,-89,-200,-95,-200,-200,-200
1526457966706,-200,-71,-200,-200,-85,-77,-79,-71,-200,-92,-77,-200,-200,-200,-200,-200,-200
1526457966849,-200,-70,-91,-86,-200,-78,-200,-200,-80,-200,-77,-88,-200,-96,-200,-200,-200
1526457966950,-200,-71,-92,-87,-200,-77,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526457971606,-200,-200,-84,-200,-200,-79,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200
1526457971694,-200,-200,-84,-200,-79,-78,-81,-60,-83,-200,-69,-92,-200,-200,-200,-91,-200
1526457971803,-200,-72,-82,-200,-77,-78,-83,-61,-200,-200,-69,-92,-200,-200,-200,-200,-200
1526457971909,-200,-200,-200,-200,-200,-76,-200,-60,-200,-200,-69,-200,-200,-200,-200,-200,-200
1526457972038,-200,-71,-200,-200,-200,-78,-84,-61,-200,-96,-200,-92,-200,-94,-200,-200,-200
