,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:E9:A0,78:A5:04:41:E5:3E,78:A5:04:41:EB:A5,78:A5:04:41:E9:B3,78:A5:04:41:E7:9D,BC:6A:29:BE:2F:54,BC:6A:29:BE:31:17,7C:66:9D:7B:47:FC,78:A5:04:41:E9:98,BC:6A:29:BE:31:7F,78:A5:04:41:EB:F1,78:A5:04:41:E9:8E,7C:66:9D:7B:2E:21
1526458011983,-76,-88,-78,-74,-83,-79,-200,-200,-200,-200,-200,-200,-200
1526458016610,-69,-200,-200,-77,-200,-77,-200,-200,-200,-200,-200,-200,-200
1526458016706,-69,-88,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458016809,-69,-200,-200,-77,-200,-77,-200,-200,-200,-200,-200,-200,-200
1526458016935,-69,-88,-200,-77,-90,-78,-85,-83,-200,-200,-200,-200,-200
1526458017035,-72,-200,-80,-77,-200,-200,-200,-200,-84,-200,-200,-200,-200
1526458021646,-200,-200,-80,-80,-200,-82,-97,-86,-84,-94,-87,-200,-200
1526458021750,-73,-200,-80,-80,-200,-83,-200,-86,-84,-94,-87,-200,-200
1526458021863,-72,-200,-200,-80,-200,-82,-200,-85,-84,-200,-88,-200,-200
1526458021965,-200,-200,-80,-80,-83,-80,-200,-86,-200,-94,-87,-200,-200
1526458026641,-82,-88,-80,-69,-83,-79,-101,-86,-84,-94,-200,-200,-200
1526458026830,-81,-87,-81,-69,-83,-78,-200,-85,-84,-94,-200,-200,-200
1526458026950,-80,-200,-200,-200,-200,-79,-200,-200,-200,-95,-200,-200,-200
1526458027127,-200,-200,-200,-200,-200,-78,-200,-200,-200,-94,-200,-200,-200
1526458027236,-67,-200,-200,-200,-89,-76,-85,-82,-200,-95,-200,-200,-200
1526458031742,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-90,-200,-200
1526458031841,-200,-88,-200,-200,-200,-76,-85,-83,-200,-200,-90,-200,-200
1526458031938,-200,-87,-90,-200,-200,-76,-84,-82,-200,-200,-92,-200,-200
1526458032042,-200,-87,-200,-76,-200,-85,-85,-82,-200,-98,-200,-200,-200
1526458036639,-72,-200,-200,-76,-200,-85,-96,-88,-200,-200,-87,-200,-200
1526458036750,-72,-200,-200,-76,-200,-200,-200,-87,-200,-200,-200,-200,-200
1526458036862,-200,-200,-200,-200,-200,-200,-96,-86,-200,-200,-200,-200,-200
1526458036975,-72,-200,-200,-200,-200,-87,-200,-88,-86,-200,-200,-200,-200
1526458037069,-77,-200,-200,-74,-200,-86,-200,-89,-200,-100,-86,-88,-200
1526458041648,-76,-89,-200,-70,-87,-98,-92,-200,-86,-200,-86,-200,-200
1526458041772,-200,-200,-79,-82,-86,-97,-92,-200,-200,-200,-86,-88,-200
1526458041872,-200,-200,-78,-82,-87,-200,-200,-85,-85,-200,-200,-200,-200
1526458041981,-69,-200,-78,-81,-87,-77,-90,-83,-200,-96,-200,-200,-100
1526458046794,-69,-200,-200,-200,-88,-73,-90,-200,-200,-200,-200,-200,-200
1526458046922,-200,-90,-200,-200,-88,-200,-90,-200,-200,-200,-200,-200,-200
1526458047017,-200,-91,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-101
1526458051641,-200,-200,-200,-200,-200,-79,-91,-88,-200,-200,-200,-200,-200
1526458051737,-200,-200,-83,-200,-90,-200,-93,-200,-200,-200,-200,-200,-200
1526458051838,-200,-200,-80,-200,-200,-79,-101,-200,-200,-200,-200,-200,-200
1526458051952,-74,-200,-200,-200,-88,-200,-90,-89,-83,-200,-86,-200,-200
1526458052051,-73,-90,-80,-200,-200,-80,-92,-87,-83,-200,-86,-200,-200
1526458052147,-74,-91,-200,-200,-200,-200,-91,-87,-200,-200,-85,-200,-200
1526458056603,-81,-88,-200,-200,-86,-200,-92,-85,-200,-97,-200,-200,-200
1526458056689,-81,-200,-200,-200,-86,-200,-93,-85,-85,-100,-200,-200,-200
1526458056797,-200,-88,-200,-75,-86,-200,-91,-85,-200,-100,-86,-200,-200
1526458056898,-200,-88,-77,-200,-86,-200,-91,-85,-85,-200,-200,-200,-200
1526458057006,-80,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
