,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:17,78:A5:04:41:E9:98,78:A5:04:41:E9:B3,78:A5:04:41:E5:3E,78:A5:04:41:E7:9D,7C:66:9D:7B:47:FC,BC:6A:29:BE:2F:54,78:A5:04:41:E9:A0,78:A5:04:41:EB:F1,78:A5:04:41:EB:A5,78:A5:04:41:E5:59,78:A5:04:41:E9:8E,BC:6A:29:BE:31:7F,78:A5:04:41:E9:BE,7C:66:9D:7B:2E:21,78:A5:04:41:E9:F3,78:A5:04:41:E9:CB,78:A5:04:41:E5:34
1526457861708,-91,-88,-66,-88,-80,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457861807,-88,-200,-200,-200,-85,-200,-70,-78,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457861910,-93,-200,-62,-200,-78,-200,-73,-88,-200,-82,-87,-200,-200,-200,-200,-200,-200,-200
1526457866646,-200,-200,-200,-200,-200,-200,-67,-200,-81,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526457866740,-200,-200,-64,-85,-200,-200,-68,-74,-81,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526457866908,-200,-200,-63,-200,-200,-200,-68,-75,-81,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526457866978,-93,-200,-63,-200,-78,-200,-68,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457867074,-200,-200,-63,-200,-80,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457871622,-94,-89,-66,-200,-84,-200,-74,-200,-200,-200,-200,-200,-95,-92,-200,-200,-200,-200
1526457871719,-94,-200,-65,-200,-200,-200,-200,-78,-200,-200,-200,-82,-95,-200,-96,-200,-200,-200
1526457871835,-200,-89,-65,-200,-200,-200,-74,-79,-200,-200,-200,-83,-99,-200,-98,-200,-200,-200
1526457871940,-200,-200,-66,-200,-200,-200,-74,-78,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526457872045,-200,-200,-66,-200,-200,-200,-200,-200,-89,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526457876611,-89,-87,-61,-200,-200,-99,-200,-78,-200,-81,-200,-85,-101,-200,-200,-200,-200,-200
1526457876724,-88,-87,-61,-90,-82,-200,-200,-78,-200,-82,-200,-200,-101,-200,-200,-200,-200,-200
1526457876834,-88,-87,-61,-90,-82,-200,-72,-78,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526457876960,-200,-87,-61,-92,-81,-200,-72,-77,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526457877056,-88,-87,-64,-200,-76,-89,-70,-200,-90,-82,-84,-200,-97,-200,-200,-200,-200,-200
1526457881690,-88,-200,-200,-87,-76,-89,-69,-200,-200,-82,-200,-82,-97,-200,-200,-200,-200,-200
1526457881792,-200,-88,-64,-200,-75,-90,-70,-77,-89,-200,-83,-82,-200,-200,-200,-200,-200,-200
1526457881896,-200,-88,-200,-200,-76,-89,-68,-76,-89,-82,-200,-82,-94,-87,-200,-200,-200,-200
1526457881986,-200,-200,-200,-200,-200,-200,-66,-76,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526457886608,-200,-200,-200,-200,-81,-200,-73,-83,-200,-200,-200,-200,-94,-200,-96,-200,-200,-200
1526457886692,-200,-200,-62,-200,-82,-200,-73,-83,-200,-90,-200,-200,-94,-200,-200,-200,-200,-200
1526457886796,-200,-89,-62,-200,-82,-200,-72,-200,-200,-92,-200,-86,-93,-200,-200,-200,-200,-200
1526457886905,-90,-200,-62,-200,-78,-102,-72,-200,-90,-91,-200,-86,-92,-200,-96,-90,-200,-200
1526457891642,-82,-200,-59,-88,-200,-200,-67,-78,-200,-84,-200,-200,-93,-200,-200,-200,-200,-200
1526457891723,-81,-200,-59,-200,-200,-200,-67,-80,-81,-85,-88,-200,-96,-200,-200,-200,-200,-200
1526457891843,-83,-200,-60,-200,-200,-200,-68,-79,-82,-90,-90,-200,-200,-200,-200,-200,-87,-200
1526457891988,-200,-82,-68,-200,-80,-86,-64,-78,-78,-200,-200,-200,-200,-200,-200,-85,-200,-200
1526457896668,-84,-82,-68,-92,-200,-87,-70,-200,-200,-85,-200,-82,-200,-200,-200,-200,-200,-200
1526457896808,-200,-83,-67,-200,-200,-200,-68,-76,-200,-84,-200,-82,-200,-200,-200,-84,-200,-200
1526457896905,-200,-200,-67,-200,-200,-200,-64,-76,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457897007,-95,-200,-66,-200,-200,-200,-200,-200,-200,-90,-200,-200,-94,-91,-200,-200,-200,-200
1526457901644,-94,-200,-65,-200,-200,-200,-73,-73,-200,-200,-200,-84,-96,-200,-96,-200,-200,-200
1526457901751,-95,-200,-66,-200,-200,-200,-73,-200,-87,-200,-200,-200,-200,-200,-95,-200,-200,-200
1526457901865,-200,-200,-66,-90,-200,-200,-200,-200,-200,-89,-200,-84,-200,-200,-200,-200,-200,-200
1526457901973,-200,-89,-66,-200,-200,-200,-74,-73,-200,-89,-200,-200,-200,-200,-96,-200,-200,-200
1526457906696,-94,-88,-200,-200,-77,-200,-72,-73,-87,-89,-200,-200,-97,-200,-95,-200,-200,-200
1526457906797,-94,-89,-65,-200,-77,-200,-72,-72,-87,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526457906909,-95,-89,-65,-200,-77,-200,-72,-72,-87,-90,-200,-85,-200,-200,-200,-200,-200,-200
1526457907005,-85,-88,-200,-200,-77,-92,-73,-73,-86,-82,-200,-85,-200,-92,-97,-200,-200,-200
1526457911629,-85,-200,-66,-200,-200,-200,-70,-200,-81,-200,-200,-200,-99,-200,-200,-90,-200,-200
1526457911728,-200,-200,-200,-200,-200,-92,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457911837,-85,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457911950,-200,-200,-79,-200,-78,-200,-78,-80,-200,-200,-200,-200,-200,-200,-99,-200,-200,-200
1526457912061,-85,-200,-200,-200,-71,-93,-78,-79,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200
1526457912154,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526457912264,-85,-200,-200,-200,-200,-94,-70,-200,-80,-82,-200,-78,-200,-200,-200,-200,-200,-200
1526457912356,-200,-200,-63,-88,-69,-92,-67,-78,-77,-200,-200,-85,-96,-200,-200,-200,-200,-91
1526457916762,-200,-200,-200,-200,-70,-200,-68,-77,-77,-200,-200,-85,-98,-200,-200,-200,-200,-92
1526457916890,-90,-200,-63,-200,-200,-200,-63,-200,-77,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526457916992,-94,-200,-61,-200,-200,-200,-74,-77,-77,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526457921847,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457921954,-200,-86,-68,-200,-200,-200,-79,-77,-87,-200,-200,-84,-99,-200,-200,-200,-88,-200
1526457922393,-200,-200,-68,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457922732,-200,-200,-200,-200,-200,-104,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
