,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:98,BC:6A:29:BE:2F:54,78:A5:04:41:EE:06,78:A5:04:41:E7:9D,78:A5:04:41:E9:B3,78:A5:04:41:EE:17,BC:6A:29:BE:31:17,78:A5:04:41:E5:68,78:A5:04:41:EB:F1,78:A5:04:41:EB:A5,78:A5:04:41:E9:A0,78:A5:04:41:E9:CC,78:A5:04:41:E5:3E,78:A5:04:41:EB:C3,78:A5:04:41:E9:AB,78:A5:04:41:E9:BB,BC:6A:29:BE:31:7F,78:A5:04:41:E9:CB
1526450183568,-60,-89,-85,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450183688,-59,-200,-200,-200,-200,-79,-82,-83,-78,-67,-89,-200,-200,-200,-200,-200,-200,-200
1526450183788,-200,-88,-84,-88,-200,-80,-84,-200,-200,-65,-200,-89,-200,-200,-200,-200,-200,-200
1526450188488,-50,-93,-78,-200,-87,-200,-84,-83,-82,-79,-86,-200,-93,-88,-200,-200,-200,-200
1526450188545,-50,-92,-78,-200,-86,-200,-86,-84,-200,-79,-86,-200,-200,-88,-200,-200,-200,-200
1526450188690,-50,-90,-78,-200,-84,-200,-87,-200,-87,-78,-200,-200,-200,-88,-90,-200,-200,-200
1526450188797,-50,-94,-78,-200,-200,-200,-84,-200,-81,-86,-200,-200,-91,-88,-88,-200,-200,-200
1526450193477,-54,-200,-200,-88,-80,-75,-77,-200,-200,-79,-82,-200,-200,-200,-85,-200,-200,-200
1526450193593,-54,-88,-75,-88,-81,-76,-200,-86,-200,-200,-84,-88,-200,-200,-86,-200,-200,-200
1526450193747,-54,-88,-200,-88,-81,-77,-77,-87,-200,-79,-83,-88,-200,-200,-86,-200,-200,-200
1526450193854,-55,-88,-78,-89,-200,-200,-79,-86,-68,-79,-82,-88,-200,-200,-86,-200,-200,-200
1526450198491,-60,-80,-78,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526450198643,-60,-80,-80,-200,-200,-200,-200,-200,-200,-67,-86,-81,-200,-200,-200,-200,-200,-200
1526450198749,-61,-200,-200,-200,-200,-79,-200,-200,-66,-67,-200,-80,-200,-200,-200,-200,-200,-200
1526450198853,-60,-84,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450203500,-70,-200,-200,-200,-200,-200,-81,-200,-200,-200,-88,-200,-200,-200,-89,-200,-200,-200
1526450203588,-81,-86,-82,-200,-200,-200,-200,-200,-200,-68,-90,-200,-200,-200,-200,-200,-200,-200
1526450203697,-200,-86,-200,-200,-200,-200,-81,-200,-200,-200,-90,-87,-200,-200,-89,-200,-200,-200
1526450203796,-72,-85,-200,-200,-200,-200,-81,-82,-74,-69,-88,-200,-200,-200,-88,-200,-200,-200
1526450208527,-200,-90,-79,-200,-85,-200,-76,-82,-74,-67,-200,-91,-200,-200,-83,-200,-200,-200
1526450208674,-200,-200,-79,-200,-86,-86,-76,-81,-200,-68,-85,-200,-200,-200,-83,-200,-200,-200
1526450208806,-59,-90,-80,-200,-200,-86,-200,-200,-76,-68,-85,-200,-200,-92,-83,-200,-200,-200
1526450208899,-70,-200,-80,-200,-200,-200,-82,-81,-81,-67,-200,-200,-200,-200,-83,-200,-200,-200
1526450213496,-70,-83,-200,-200,-200,-200,-200,-86,-200,-63,-82,-77,-200,-200,-200,-200,-200,-200
1526450213570,-200,-200,-80,-200,-83,-200,-200,-87,-200,-64,-82,-78,-200,-200,-200,-89,-98,-200
1526450213749,-69,-83,-79,-200,-82,-200,-82,-88,-82,-63,-200,-200,-200,-200,-200,-200,-200,-200
1526450213839,-69,-200,-200,-200,-200,-200,-200,-200,-82,-63,-82,-200,-200,-200,-200,-200,-200,-200
1526450218458,-73,-87,-80,-87,-200,-200,-79,-82,-84,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526450218564,-72,-87,-81,-86,-200,-77,-80,-82,-83,-66,-200,-200,-200,-200,-200,-200,-200,-200
1526450218662,-200,-88,-81,-200,-200,-77,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200
1526450218770,-76,-89,-81,-90,-200,-200,-79,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526450218926,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450219139,-81,-200,-200,-90,-200,-80,-79,-85,-200,-65,-200,-200,-200,-200,-84,-200,-200,-200
1526450223540,-200,-200,-200,-90,-200,-80,-81,-85,-66,-66,-87,-200,-200,-200,-84,-200,-200,-200
1526450223651,-200,-200,-200,-200,-200,-81,-82,-200,-66,-67,-88,-200,-200,-200,-84,-200,-200,-200
1526450223753,-200,-200,-200,-200,-200,-200,-77,-200,-66,-68,-88,-200,-200,-200,-84,-200,-200,-200
1526450223876,-200,-200,-200,-200,-200,-81,-200,-200,-65,-68,-88,-200,-200,-200,-200,-200,-200,-200
1526450228471,-74,-200,-88,-200,-200,-69,-83,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450228570,-200,-89,-200,-200,-200,-69,-83,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450228671,-200,-89,-200,-200,-200,-70,-83,-200,-200,-67,-79,-78,-200,-200,-200,-200,-200,-200
1526450228880,-78,-90,-85,-200,-200,-200,-83,-92,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450233490,-79,-91,-85,-200,-200,-77,-78,-80,-72,-69,-84,-200,-200,-200,-200,-200,-200,-200
1526450233588,-79,-91,-85,-89,-200,-200,-78,-79,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450233701,-79,-89,-200,-200,-200,-77,-78,-200,-74,-69,-84,-200,-200,-200,-200,-99,-200,-200
1526450233849,-200,-92,-200,-200,-200,-77,-200,-84,-200,-68,-200,-91,-200,-200,-200,-200,-200,-200
1526450238488,-200,-200,-83,-200,-86,-82,-200,-84,-200,-77,-200,-90,-200,-200,-200,-200,-200,-200
1526450238604,-59,-200,-82,-200,-200,-82,-200,-83,-200,-77,-200,-89,-200,-200,-89,-200,-200,-91
1526450238700,-60,-96,-200,-92,-200,-82,-78,-84,-200,-76,-200,-90,-200,-200,-89,-200,-200,-200
1526450238798,-60,-200,-82,-200,-87,-83,-79,-84,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526450243498,-200,-98,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450243606,-200,-95,-200,-89,-87,-80,-83,-200,-65,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526450243698,-59,-95,-200,-200,-87,-81,-82,-83,-66,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526450243819,-59,-95,-91,-200,-87,-200,-83,-83,-200,-79,-200,-90,-200,-200,-89,-200,-200,-200
1526450243970,-200,-200,-200,-200,-87,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
