,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:9D,78:A5:04:41:EE:17,78:A5:04:41:EB:F1,78:A5:04:41:E9:A0,BC:6A:29:BE:31:17,78:A5:04:41:EB:A5,78:A5:04:41:EE:06,BC:6A:29:BE:2F:54,78:A5:04:41:E9:CB,78:A5:04:41:E9:AB,78:A5:04:41:E9:B3,BC:6A:29:BE:31:7F,78:A5:04:41:E9:98,78:A5:04:41:E5:68,78:A5:04:41:E9:CC,78:A5:04:41:E9:F3,78:A5:04:41:EB:AD
1526449928618,-84,-90,-76,-68,-75,-79,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449928758,-200,-200,-78,-200,-72,-76,-87,-84,-92,-88,-200,-200,-200,-200,-200,-200,-200
1526449928857,-200,-200,-77,-81,-200,-200,-200,-84,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526449933626,-88,-82,-67,-200,-69,-200,-200,-83,-200,-200,-200,-99,-200,-200,-200,-200,-200
1526449933748,-86,-200,-200,-72,-68,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449933864,-200,-200,-200,-200,-70,-64,-200,-200,-200,-200,-200,-103,-200,-200,-200,-200,-200
1526449934088,-200,-78,-66,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449934327,-200,-76,-76,-67,-200,-200,-200,-200,-200,-200,-92,-200,-67,-89,-200,-200,-200
1526449938511,-200,-200,-72,-75,-81,-61,-200,-89,-200,-200,-200,-200,-67,-200,-200,-200,-200
1526449938635,-200,-200,-70,-76,-77,-62,-88,-92,-200,-200,-81,-200,-69,-89,-200,-200,-200
1526449938749,-200,-200,-200,-200,-74,-62,-86,-200,-200,-200,-82,-200,-72,-87,-88,-200,-200
1526449938863,-200,-200,-200,-200,-200,-61,-86,-81,-200,-200,-82,-200,-64,-89,-88,-200,-200
1526449943504,-200,-200,-200,-80,-200,-62,-200,-81,-200,-89,-200,-200,-64,-90,-200,-92,-200
1526449943609,-200,-78,-200,-79,-77,-62,-88,-81,-200,-89,-200,-200,-63,-91,-200,-200,-200
1526449943705,-200,-78,-68,-200,-76,-200,-87,-81,-200,-200,-200,-200,-64,-90,-200,-200,-200
1526449943820,-200,-78,-69,-80,-200,-62,-88,-81,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526449943923,-200,-200,-76,-77,-69,-62,-89,-200,-200,-85,-200,-97,-200,-200,-200,-200,-200
1526449948588,-200,-76,-76,-200,-69,-62,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526449948703,-200,-77,-200,-77,-69,-62,-200,-200,-200,-84,-89,-200,-76,-86,-200,-200,-90
1526449948872,-200,-200,-200,-77,-200,-62,-86,-200,-200,-200,-200,-200,-76,-90,-89,-200,-200
1526449953470,-200,-200,-72,-76,-73,-200,-200,-200,-200,-200,-81,-200,-200,-200,-87,-200,-200
1526449953585,-200,-80,-200,-77,-73,-66,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200
1526449953688,-200,-200,-200,-76,-72,-66,-200,-86,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526449953788,-200,-80,-73,-77,-73,-66,-85,-87,-200,-200,-81,-200,-72,-200,-86,-200,-200
1526449953882,-91,-80,-200,-77,-72,-62,-88,-88,-200,-89,-80,-200,-64,-89,-200,-200,-200
1526449958518,-90,-77,-81,-81,-200,-62,-200,-200,-200,-90,-84,-200,-65,-89,-200,-92,-200
1526449958633,-200,-77,-70,-81,-75,-62,-200,-82,-200,-200,-84,-200,-65,-200,-200,-200,-200
1526449958741,-200,-76,-69,-81,-76,-62,-200,-81,-200,-200,-84,-200,-65,-200,-200,-91,-200
1526449958837,-200,-77,-200,-200,-68,-62,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200
1526449963489,-200,-79,-76,-77,-200,-61,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200
1526449963592,-200,-80,-200,-77,-69,-62,-89,-200,-200,-85,-200,-200,-80,-200,-200,-200,-200
1526449963689,-200,-79,-75,-77,-200,-200,-200,-96,-200,-200,-200,-200,-200,-83,-200,-200,-89
1526449963815,-200,-200,-76,-77,-68,-66,-200,-88,-200,-85,-81,-200,-79,-85,-87,-200,-200
1526449968521,-200,-200,-72,-200,-74,-200,-200,-200,-200,-200,-81,-200,-71,-88,-87,-200,-200
1526449968626,-200,-81,-72,-77,-74,-200,-85,-200,-200,-200,-81,-200,-200,-88,-88,-200,-200
1526449968732,-200,-200,-200,-200,-74,-200,-85,-88,-200,-200,-81,-200,-200,-88,-87,-200,-200
1526449968839,-200,-82,-73,-76,-75,-200,-200,-82,-200,-200,-81,-200,-200,-88,-200,-200,-200
1526449973480,-200,-200,-69,-200,-77,-62,-200,-82,-200,-200,-200,-200,-68,-91,-200,-200,-200
1526449973562,-200,-200,-69,-83,-76,-200,-91,-82,-200,-200,-84,-200,-200,-92,-94,-92,-200
1526449973675,-200,-200,-70,-200,-76,-200,-200,-82,-200,-88,-82,-200,-67,-200,-90,-200,-200
1526449973827,-200,-200,-200,-200,-76,-62,-200,-83,-200,-88,-200,-200,-68,-200,-200,-200,-200
1526449978462,-200,-200,-75,-200,-68,-61,-200,-200,-200,-200,-200,-97,-78,-85,-200,-200,-200
1526449978563,-200,-200,-75,-200,-63,-61,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200
1526449978677,-90,-78,-75,-200,-68,-61,-200,-96,-200,-85,-200,-200,-200,-85,-200,-200,-91
1526449978802,-200,-78,-75,-200,-200,-200,-200,-200,-200,-87,-200,-200,-72,-85,-200,-200,-200
1526449983510,-200,-81,-75,-84,-72,-60,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449988533,-200,-77,-200,-84,-200,-60,-200,-83,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526449988645,-200,-78,-69,-84,-74,-60,-200,-84,-200,-200,-85,-200,-76,-200,-200,-200,-200
1526449988745,-200,-78,-200,-83,-74,-60,-200,-84,-200,-86,-85,-200,-76,-200,-200,-200,-200
1526449988852,-200,-200,-69,-200,-200,-200,-200,-84,-200,-200,-85,-200,-76,-200,-200,-200,-200
