,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:E9:98,BC:6A:29:BE:31:17,BC:6A:29:BE:2F:54,78:A5:04:41:E7:9D,78:A5:04:41:E9:A0,78:A5:04:41:EB:F1,78:A5:04:41:EB:A5,78:A5:04:41:E9:B3,78:A5:04:41:EE:06,78:A5:04:41:EE:17,78:A5:04:41:E5:68,78:A5:04:41:E9:CB,78:A5:04:41:E9:AB,78:A5:04:41:E9:CC,BC:6A:29:BE:31:7F
1526449753568,-62,-83,-90,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449753723,-200,-84,-93,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449753833,-200,-83,-200,-200,-200,-84,-69,-200,-200,-200,-200,-200,-200,-200,-200
1526449753931,-200,-83,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449754041,-200,-86,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449754143,-62,-83,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449758474,-75,-77,-84,-200,-79,-68,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526449758557,-200,-79,-85,-200,-79,-69,-200,-200,-89,-81,-200,-200,-200,-200,-200
1526449758678,-200,-78,-200,-90,-79,-68,-200,-91,-200,-81,-200,-200,-200,-200,-200
1526449758772,-74,-78,-84,-90,-78,-69,-200,-90,-200,-81,-200,-200,-200,-200,-200
1526449758873,-200,-90,-90,-200,-200,-69,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526449763505,-62,-200,-200,-89,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449763607,-62,-92,-90,-200,-200,-68,-71,-200,-200,-200,-200,-200,-200,-200,-200
1526449763800,-200,-93,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449763906,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526449764006,-68,-91,-90,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200
1526449768538,-64,-90,-93,-84,-73,-200,-62,-200,-82,-200,-200,-200,-200,-200,-200
1526449768636,-64,-200,-93,-84,-200,-200,-62,-84,-82,-200,-85,-200,-200,-200,-200
1526449768738,-64,-89,-200,-84,-200,-74,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526449768853,-64,-88,-200,-200,-73,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526449773480,-76,-77,-84,-200,-82,-74,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526449773599,-200,-200,-85,-200,-81,-74,-200,-90,-88,-200,-200,-200,-89,-200,-200
1526449773693,-200,-77,-85,-200,-82,-74,-72,-89,-200,-200,-200,-200,-90,-92,-200
1526449773836,-62,-78,-84,-86,-82,-63,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526449778574,-63,-84,-84,-88,-86,-64,-200,-200,-200,-200,-92,-200,-200,-200,-102
1526449778694,-63,-84,-85,-88,-85,-64,-200,-89,-200,-200,-91,-89,-200,-200,-200
1526449778784,-64,-85,-200,-88,-84,-200,-63,-89,-200,-200,-92,-89,-200,-200,-200
1526449783486,-63,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449783587,-64,-87,-88,-200,-200,-68,-62,-200,-200,-200,-85,-200,-200,-200,-200
1526449783695,-64,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449783791,-64,-200,-200,-200,-74,-67,-62,-200,-200,-89,-200,-200,-200,-200,-200
1526449783895,-64,-200,-88,-200,-73,-200,-200,-200,-83,-200,-84,-200,-200,-200,-200
1526449788529,-63,-86,-88,-81,-200,-200,-200,-200,-82,-200,-84,-200,-200,-200,-200
1526449788670,-200,-88,-88,-200,-200,-72,-200,-200,-200,-200,-200,-93,-200,-200,-200
