,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0121.0012-vlucci.com A1.4.0.1
,78:A5:04:41:E5:56,78:A5:04:41:E7:CC,78:A5:04:41:E7:91,78:A5:04:41:E5:77,78:A5:04:41:EB:C9,78:A5:04:41:E7:81,78:A5:04:41:E9:E0,F4:B8:5E:AA:79:6C
1526463019634,-82,-87,-87,-84,-200,-200,-200,-200
1526463024477,-200,-88,-88,-85,-60,-200,-200,-200
1526463024587,-200,-200,-87,-200,-60,-90,-200,-200
1526463024691,-200,-200,-88,-200,-200,-90,-200,-200
1526463024795,-79,-85,-88,-200,-57,-87,-200,-200
1526463029527,-80,-200,-200,-92,-58,-200,-90,-200
1526463029636,-200,-200,-200,-200,-58,-86,-200,-200
1526463030060,-200,-200,-89,-200,-62,-87,-200,-200
1526463034454,-200,-200,-200,-200,-82,-88,-200,-200
1526463034561,-79,-200,-200,-200,-81,-88,-200,-200
1526463034676,-79,-200,-200,-200,-200,-88,-200,-200
1526463034784,-200,-88,-88,-85,-59,-87,-200,-200
1526463039524,-200,-88,-200,-85,-59,-200,-200,-200
1526463039634,-200,-200,-88,-86,-60,-200,-200,-200
1526463039730,-200,-88,-89,-86,-200,-200,-200,-200
1526463044459,-200,-200,-87,-85,-63,-200,-85,-200
1526463044559,-78,-86,-84,-82,-59,-200,-86,-200
1526463044671,-78,-85,-85,-82,-58,-200,-86,-200
1526463044909,-200,-200,-200,-200,-59,-200,-200,-200
1526463049459,-200,-200,-200,-200,-73,-200,-200,-200
1526463049562,-79,-200,-89,-200,-74,-200,-200,-200
1526463049677,-79,-200,-200,-200,-74,-200,-200,-200
1526463049767,-200,-86,-89,-200,-74,-200,-87,-200
1526463054818,-79,-200,-200,-200,-64,-89,-200,-200
1526463059423,-78,-88,-200,-200,-69,-91,-200,-200
1526463059518,-78,-88,-89,-200,-70,-200,-200,-200
1526463059765,-200,-90,-88,-85,-64,-200,-200,-200
1526463059840,-87,-200,-200,-200,-65,-200,-93,-200
1526463064380,-75,-90,-200,-83,-58,-88,-200,-200
1526463064479,-77,-89,-200,-82,-58,-200,-200,-88
1526463064588,-200,-200,-200,-82,-59,-90,-200,-87
1526463064680,-77,-87,-200,-200,-60,-200,-200,-87
1526463064779,-79,-86,-200,-81,-60,-200,-200,-200
1526463069436,-79,-85,-200,-88,-61,-200,-200,-200
1526463069545,-80,-85,-200,-200,-62,-200,-200,-200
1526463069649,-82,-86,-200,-82,-61,-90,-91,-200
1526463069751,-200,-87,-90,-80,-64,-88,-200,-92
1526463074380,-82,-85,-89,-87,-65,-88,-200,-84
1526463074486,-83,-200,-89,-86,-65,-88,-200,-84
1526463074591,-200,-87,-88,-86,-200,-89,-200,-84
1526463074790,-88,-89,-89,-200,-66,-200,-200,-200
1526463079512,-80,-90,-91,-200,-66,-89,-200,-200
1526463079628,-80,-200,-91,-200,-200,-86,-90,-200
1526463079845,-200,-200,-200,-200,-200,-200,-89,-200
