,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:7f:00,74:da:da:c1:03:2d,74:da:da:c1:03:21,0c:73:eb:d0:7e:d0,74:da:da:c1:3a:8d,74:da:da:c1:02:91,74:da:da:c1:03:1d,0c:73:eb:d0:11:d8,74:da:da:c1:03:2e,74:da:da:c1:02:8d,0c:73:eb:d0:13:d8,0c:73:eb:d0:7c:40,74:da:da:c1:03:22,74:da:da:c1:3a:81,74:da:da:98:74:80,0c:73:eb:d0:11:f8,0c:73:eb:d0:11:c8,74:da:da:c1:3a:8e,74:da:da:98:74:34,0c:73:eb:d0:13:90,0c:73:eb:d0:13:98,d8:15:0d:6c:13:98,74:da:da:c1:3a:dd,74:da:da:c1:02:92,74:da:da:c1:3a:82,74:da:da:c1:03:1e,74:da:da:98:90:2c,74:da:da:98:90:94,74:da:da:c1:02:8e,74:da:da:98:74:74,74:da:da:c0:f6:15,74:da:da:c0:f3:01,74:da:da:c0:d6:f5,74:da:da:c1:3c:f5,0c:73:eb:d0:11:c0,74:da:da:c1:6b:4d,74:da:da:98:85:1c
1526452792604,-27,-31,-35,-44,-45,-47,-48,-51,-55,-57,-58,-66,-67,-67,-68,-68,-68,-69,-71,-72,-74,-75,-79,-80,-82,-82,-86,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526452795642,-38,-42,-44,-44,-40,-45,-50,-55,-56,-57,-54,-69,-69,-67,-73,-200,-68,-67,-71,-81,-66,-76,-79,-77,-86,-80,-86,-86,-80,-73,-200,-200,-200,-200,-200,-200,-200
1526452798662,-38,-42,-44,-44,-40,-45,-50,-55,-56,-57,-54,-69,-69,-67,-73,-200,-68,-67,-71,-81,-66,-76,-200,-77,-86,-80,-86,-86,-80,-73,-200,-200,-200,-200,-200,-200,-200
1526452801683,-44,-41,-40,-48,-40,-45,-46,-55,-55,-57,-54,-70,-73,-67,-71,-200,-68,-69,-71,-81,-66,-76,-200,-77,-90,-82,-86,-86,-80,-73,-80,-200,-200,-200,-200,-200,-200
1526452804705,-44,-41,-40,-48,-40,-45,-46,-55,-55,-57,-54,-70,-73,-67,-71,-200,-68,-69,-71,-81,-66,-76,-200,-77,-90,-82,-86,-86,-80,-73,-80,-200,-200,-200,-200,-200,-200
1526452807712,-48,-39,-39,-48,-39,-45,-46,-62,-55,-57,-50,-69,-76,-67,-69,-74,-73,-67,-71,-81,-66,-76,-200,-74,-92,-80,-86,-86,-81,-73,-80,-200,-200,-200,-200,-200,-200
1526452810732,-48,-39,-39,-48,-39,-45,-46,-62,-55,-57,-50,-69,-76,-67,-69,-74,-73,-67,-71,-81,-66,-76,-200,-74,-92,-80,-86,-86,-81,-73,-80,-200,-200,-200,-200,-200,-200
1526452813757,-44,-39,-38,-48,-40,-51,-49,-64,-55,-67,-58,-68,-75,-65,-68,-73,-73,-70,-75,-81,-66,-76,-72,-74,-92,-80,-200,-86,-81,-73,-80,-84,-87,-200,-200,-200,-200
1526452816770,-44,-39,-38,-48,-40,-51,-49,-64,-55,-67,-58,-68,-75,-65,-68,-73,-73,-70,-75,-81,-66,-76,-72,-74,-92,-80,-200,-86,-81,-73,-80,-84,-87,-200,-200,-200,-200
1526452819793,-44,-37,-38,-47,-40,-48,-49,-60,-55,-61,-52,-69,-73,-65,-67,-73,-73,-66,-75,-81,-66,-76,-72,-73,-92,-83,-200,-200,-81,-73,-80,-84,-87,-89,-200,-200,-200
1526452822817,-44,-37,-38,-47,-40,-48,-49,-60,-55,-61,-52,-69,-73,-65,-67,-73,-73,-66,-75,-81,-66,-76,-72,-73,-92,-83,-200,-200,-81,-73,-80,-84,-87,-89,-200,-200,-200
1526452825842,-42,-37,-37,-46,-40,-50,-51,-64,-55,-56,-48,-68,-74,-65,-67,-73,-73,-70,-75,-84,-69,-76,-72,-72,-92,-81,-200,-200,-80,-73,-80,-84,-87,-89,-77,-200,-200
1526452828862,-42,-37,-37,-46,-40,-50,-51,-64,-55,-56,-48,-68,-74,-65,-67,-73,-73,-70,-75,-84,-69,-76,-72,-72,-92,-81,-200,-200,-80,-73,-80,-84,-87,-89,-77,-200,-200
1526452831888,-42,-37,-39,-46,-40,-50,-51,-64,-55,-55,-48,-72,-74,-65,-67,-73,-72,-70,-75,-84,-69,-81,-72,-72,-89,-81,-200,-200,-81,-73,-80,-84,-87,-89,-77,-81,-200
1526452834896,-42,-37,-39,-46,-40,-50,-51,-64,-55,-55,-48,-72,-74,-65,-67,-73,-72,-70,-75,-84,-69,-81,-72,-72,-89,-81,-200,-200,-81,-73,-80,-84,-87,-89,-77,-81,-200
1526452837916,-44,-36,-39,-45,-41,-50,-55,-63,-56,-54,-48,-69,-74,-65,-66,-73,-73,-70,-75,-84,-69,-81,-72,-73,-90,-80,-200,-200,-81,-200,-80,-84,-87,-89,-77,-81,-200
1526452840943,-44,-36,-39,-45,-41,-50,-55,-63,-56,-54,-48,-69,-74,-65,-66,-73,-73,-70,-75,-84,-69,-81,-72,-73,-90,-80,-200,-200,-81,-200,-80,-84,-87,-89,-77,-81,-200
1526452843964,-44,-36,-39,-46,-41,-49,-54,-63,-56,-53,-49,-71,-74,-200,-67,-73,-73,-70,-72,-84,-69,-78,-200,-73,-90,-79,-200,-200,-79,-200,-82,-84,-200,-89,-77,-81,-200
1526452846982,-44,-36,-39,-46,-41,-49,-54,-63,-56,-53,-49,-71,-74,-200,-67,-73,-73,-70,-72,-84,-69,-78,-200,-73,-90,-79,-200,-200,-79,-200,-82,-84,-200,-89,-77,-81,-200
1526452850002,-40,-36,-37,-45,-41,-50,-54,-62,-56,-53,-49,-69,-74,-66,-66,-76,-73,-70,-75,-84,-70,-78,-200,-73,-89,-80,-200,-200,-79,-200,-82,-200,-200,-200,-77,-81,-77
1526452853022,-40,-36,-37,-45,-41,-50,-54,-62,-56,-53,-49,-69,-74,-66,-66,-76,-73,-70,-75,-84,-70,-78,-200,-73,-89,-80,-200,-200,-79,-200,-82,-200,-200,-200,-77,-81,-77
