,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
,74:da:da:c1:03:2d,0c:73:eb:d0:7e:d0,74:da:da:c1:3a:8d,74:da:da:c1:03:1d,74:da:da:c1:02:8d,74:da:da:c1:02:91,0c:73:eb:d0:13:d8,0c:73:eb:d0:11:d8,74:da:da:c1:03:21,0c:73:eb:d0:7c:40,0c:73:eb:d0:7f:00,74:da:da:c1:03:2e,d8:15:0d:6c:13:98,0c:73:eb:d0:11:f8,74:da:da:c1:6b:4d,74:da:da:c1:3a:dd,74:da:da:c1:3a:8e,0c:73:eb:d0:7c:28,74:da:da:98:74:80,0c:73:eb:d0:13:98,74:da:da:c1:03:1e,74:da:da:c1:03:22,74:da:da:c1:3c:f5,0c:73:eb:d0:11:c8,74:da:da:c1:3a:82,74:da:da:98:74:34,74:da:da:c1:02:92,0c:73:eb:d0:11:c0,74:da:da:98:85:4c,74:da:da:c1:02:8e,74:da:da:c0:f6:15,0c:73:eb:d0:7c:08,0c:73:eb:d0:13:b0,0c:73:eb:d0:13:90,74:da:da:98:74:74,0c:73:eb:d0:7f:18,0c:73:eb:d0:13:c8,0c:73:eb:d0:7e:f8
1526452648359,-30,-42,-42,-44,-45,-45,-46,-47,-51,-52,-55,-60,-60,-66,-66,-67,-68,-69,-70,-70,-72,-74,-77,-78,-80,-80,-82,-82,-83,-84,-84,-84,-85,-200,-200,-200,-200,-200
1526452651385,-32,-44,-42,-48,-43,-51,-46,-47,-53,-63,-50,-64,-65,-78,-73,-67,-72,-73,-67,-200,-76,-70,-77,-78,-80,-76,-82,-82,-83,-77,-84,-84,-85,-200,-200,-200,-200,-200
1526452654404,-32,-44,-42,-48,-43,-51,-46,-47,-53,-63,-50,-64,-65,-78,-73,-200,-72,-73,-67,-200,-76,-70,-200,-200,-80,-76,-82,-200,-83,-77,-84,-200,-200,-200,-200,-200,-200,-200
1526452657420,-32,-40,-38,-48,-42,-51,-51,-54,-48,-65,-56,-64,-65,-74,-73,-200,-73,-73,-68,-200,-79,-71,-200,-200,-84,-69,-80,-200,-83,-83,-84,-200,-200,-71,-200,-200,-200,-200
1526452660440,-32,-40,-38,-48,-42,-51,-51,-54,-48,-65,-56,-64,-65,-74,-73,-200,-73,-73,-68,-200,-79,-71,-200,-200,-84,-69,-80,-200,-83,-83,-84,-200,-200,-71,-200,-200,-200,-200
1526452663454,-35,-40,-37,-48,-44,-51,-55,-54,-46,-64,-44,-62,-65,-74,-73,-200,-71,-73,-70,-200,-83,-73,-200,-71,-84,-71,-78,-200,-83,-82,-84,-200,-200,-75,-76,-200,-200,-200
1526452666472,-35,-40,-37,-48,-44,-51,-55,-54,-46,-64,-44,-62,-65,-74,-73,-200,-71,-73,-70,-200,-83,-73,-200,-71,-84,-71,-78,-200,-83,-82,-84,-200,-200,-75,-76,-200,-200,-200
1526452669494,-35,-47,-37,-48,-44,-54,-50,-47,-50,-70,-44,-64,-70,-74,-73,-200,-71,-73,-71,-200,-80,-73,-200,-71,-88,-71,-79,-200,-83,-77,-88,-200,-200,-77,-76,-200,-200,-200
1526452672513,-35,-47,-37,-48,-44,-54,-50,-47,-50,-70,-44,-64,-70,-74,-73,-200,-71,-73,-71,-200,-80,-73,-200,-71,-88,-71,-79,-200,-83,-77,-88,-200,-200,-77,-76,-200,-200,-200
1526452675541,-42,-48,-36,-46,-46,-53,-54,-55,-46,-64,-44,-68,-66,-74,-73,-200,-72,-73,-67,-200,-81,-71,-200,-71,-87,-71,-78,-200,-200,-82,-88,-200,-200,-77,-76,-91,-200,-200
1526452678553,-42,-48,-36,-46,-46,-53,-54,-55,-46,-64,-44,-68,-66,-74,-73,-200,-72,-73,-67,-200,-81,-71,-200,-71,-87,-71,-78,-200,-200,-82,-88,-200,-200,-77,-76,-91,-200,-200
1526452681568,-40,-44,-37,-50,-47,-55,-54,-55,-47,-68,-52,-62,-66,-76,-200,-200,-74,-200,-67,-200,-81,-76,-200,-71,-87,-72,-79,-200,-200,-80,-88,-200,-200,-77,-76,-91,-200,-200
1526452684576,-40,-44,-37,-50,-47,-55,-54,-55,-47,-68,-52,-62,-66,-76,-200,-200,-74,-200,-67,-200,-81,-76,-200,-71,-87,-72,-79,-200,-200,-80,-88,-200,-200,-77,-76,-91,-200,-200
1526452687599,-43,-44,-37,-52,-50,-50,-47,-52,-50,-67,-43,-62,-66,-76,-75,-67,-77,-200,-67,-79,-84,-78,-83,-71,-86,-72,-83,-200,-200,-80,-88,-200,-200,-75,-76,-91,-91,-200
1526452690624,-43,-44,-37,-52,-50,-50,-47,-52,-50,-67,-43,-62,-66,-76,-75,-67,-77,-200,-67,-79,-84,-78,-83,-71,-86,-72,-83,-200,-200,-80,-88,-200,-200,-75,-76,-91,-91,-200
1526452693644,-39,-44,-36,-54,-44,-57,-55,-48,-50,-67,-55,-58,-67,-76,-75,-67,-72,-200,-66,-73,-80,-79,-83,-200,-82,-71,-84,-200,-83,-77,-88,-200,-200,-75,-76,-91,-91,-90
1526452696662,-39,-44,-36,-54,-44,-57,-55,-48,-50,-67,-55,-58,-67,-76,-75,-67,-72,-200,-66,-73,-80,-79,-83,-200,-82,-71,-84,-200,-83,-77,-88,-200,-200,-75,-76,-91,-91,-90
1526452699683,-46,-45,-36,-53,-53,-53,-46,-48,-50,-63,-55,-61,-67,-76,-75,-65,-73,-200,-67,-73,-78,-75,-83,-200,-85,-75,-84,-200,-83,-83,-200,-200,-200,-75,-76,-91,-91,-90
1526452702702,-46,-45,-36,-53,-53,-53,-46,-48,-50,-63,-55,-61,-67,-76,-75,-65,-73,-200,-67,-73,-78,-75,-83,-200,-85,-75,-84,-200,-83,-83,-200,-200,-200,-75,-76,-91,-91,-90
