,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:C3,78:A5:04:41:E7:D4,78:A5:04:41:EE:17,78:A5:04:41:E9:AB,78:A5:04:41:EB:BA,78:A5:04:41:E9:CC,78:A5:04:41:E9:CD,78:A5:04:41:E9:B4,78:A5:04:41:EE:06,78:A5:04:41:E5:68,78:A5:04:41:E5:6B,BC:6A:29:BE:31:17,78:A5:04:41:E9:DA
1526456081000,-74,-69,-85,-80,-68,-88,-200,-200,-200,-200,-200,-200,-200
1526456081231,-200,-72,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526456085868,-84,-80,-200,-200,-200,-86,-86,-86,-88,-200,-200,-200,-200
1526456085964,-200,-80,-200,-76,-200,-86,-86,-86,-200,-200,-200,-200,-200
1526456086068,-83,-80,-200,-200,-72,-86,-86,-86,-200,-200,-200,-200,-200
1526456086185,-83,-200,-200,-76,-200,-86,-87,-200,-88,-200,-200,-200,-200
1526456090895,-88,-65,-84,-78,-78,-90,-200,-200,-90,-90,-200,-200,-200
1526456091018,-88,-65,-200,-200,-78,-200,-90,-200,-89,-91,-200,-200,-200
1526456091127,-90,-65,-84,-200,-78,-200,-89,-200,-200,-90,-92,-200,-200
1526456091234,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526456095877,-200,-77,-89,-81,-68,-89,-200,-200,-87,-200,-200,-200,-200
1526456096141,-80,-77,-200,-81,-200,-89,-200,-200,-200,-200,-200,-100,-200
1526456096238,-200,-77,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200
1526456100880,-200,-78,-200,-78,-74,-88,-90,-87,-200,-200,-200,-200,-200
1526456100984,-200,-78,-200,-200,-200,-88,-200,-86,-89,-200,-200,-200,-200
1526456101088,-200,-78,-200,-77,-74,-200,-90,-200,-200,-200,-200,-200,-200
1526456101191,-200,-78,-200,-200,-74,-88,-90,-87,-89,-200,-200,-200,-200
1526456101288,-200,-78,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456105902,-200,-64,-84,-200,-78,-200,-90,-200,-200,-200,-90,-200,-200
1526456106014,-200,-63,-84,-77,-79,-200,-90,-200,-89,-90,-91,-200,-200
1526456106118,-82,-64,-84,-77,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526456106231,-82,-64,-87,-200,-79,-88,-200,-200,-200,-92,-91,-200,-200
1526456110977,-82,-200,-88,-200,-67,-87,-200,-200,-200,-200,-200,-200,-200
1526456111076,-83,-78,-87,-82,-68,-88,-200,-200,-88,-200,-200,-200,-200
1526456111285,-85,-77,-200,-78,-200,-200,-200,-87,-89,-200,-200,-200,-200
1526456115983,-200,-76,-200,-78,-73,-88,-200,-200,-200,-200,-200,-200,-200
1526456116084,-83,-76,-90,-78,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526456116182,-200,-77,-200,-79,-73,-200,-200,-200,-89,-200,-200,-200,-200
1526456120883,-200,-64,-200,-76,-200,-200,-200,-94,-92,-200,-200,-200,-92
1526456120968,-200,-64,-84,-77,-200,-200,-200,-200,-91,-200,-200,-200,-92
1526456121091,-78,-64,-84,-76,-200,-92,-92,-200,-200,-90,-92,-200,-92
1526456121246,-200,-64,-200,-76,-67,-200,-200,-200,-200,-90,-92,-200,-200
1526456125944,-89,-200,-85,-82,-200,-87,-200,-200,-200,-200,-200,-200,-90
1526456126070,-200,-81,-86,-200,-67,-88,-92,-200,-200,-200,-200,-200,-200
1526456126233,-200,-81,-86,-82,-67,-86,-200,-200,-89,-200,-200,-200,-200
1526456131308,-78,-73,-84,-77,-200,-200,-87,-200,-85,-200,-200,-200,-200
1526456131508,-79,-68,-84,-77,-200,-200,-86,-200,-84,-200,-200,-200,-200
1526456131647,-78,-200,-85,-200,-200,-200,-86,-200,-200,-200,-200,-200,-86
1526456135886,-76,-69,-82,-69,-84,-200,-90,-89,-200,-200,-90,-200,-85
1526456135969,-200,-200,-82,-69,-82,-200,-200,-200,-200,-89,-200,-200,-85
1526456136081,-74,-200,-82,-69,-200,-200,-200,-200,-200,-200,-200,-200,-85
1526456136189,-69,-68,-82,-68,-79,-200,-90,-200,-200,-90,-200,-200,-84
1526456136295,-200,-200,-82,-68,-200,-200,-87,-88,-200,-200,-200,-200,-200
1526456141412,-200,-200,-200,-200,-200,-200,-89,-97,-85,-200,-200,-200,-200
