,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1
,78:A5:04:41:E7:93,7C:66:9D:7B:2B:D3,78:A5:04:41:EB:C7,78:A5:04:41:E5:5F,78:A5:04:41:EE:07,7C:66:9D:7B:2B:E4,F4:B8:5E:AA:79:4E
1526460857518,-83,-93,-76,-200,-200,-200,-200
1526460857626,-83,-93,-76,-200,-200,-200,-200
1526460857732,-83,-94,-76,-62,-75,-96,-200
1526460857848,-83,-200,-76,-62,-74,-200,-200
1526460862397,-82,-94,-73,-200,-84,-200,-200
1526460862516,-200,-95,-72,-61,-83,-200,-200
1526460862616,-200,-93,-73,-200,-84,-200,-200
1526460862718,-83,-93,-73,-61,-84,-200,-99
1526460862837,-83,-200,-73,-61,-84,-200,-200
1526460862917,-87,-200,-71,-200,-81,-200,-200
1526460867555,-87,-98,-81,-200,-79,-200,-200
1526460867663,-200,-200,-81,-200,-80,-200,-200
1526460867825,-85,-200,-81,-200,-79,-200,-200
1526460867914,-86,-200,-200,-90,-79,-200,-200
1526460872412,-84,-200,-77,-200,-75,-200,-200
1526460872517,-84,-200,-78,-63,-75,-200,-200
1526460872648,-84,-200,-77,-62,-75,-200,-200
1526460872759,-84,-200,-77,-200,-75,-200,-200
1526460872861,-83,-200,-77,-89,-200,-200,-200
1526460877400,-83,-200,-72,-61,-82,-200,-200
1526460877502,-82,-200,-73,-61,-200,-200,-200
1526460877598,-83,-200,-73,-61,-200,-200,-200
1526460877705,-83,-200,-73,-61,-84,-200,-200
1526460877843,-83,-200,-71,-61,-83,-200,-200
1526460877927,-200,-200,-73,-200,-200,-200,-200
1526460882416,-200,-200,-81,-85,-79,-200,-200
1526460882514,-200,-200,-81,-83,-78,-200,-200
1526460882616,-87,-200,-82,-200,-79,-200,-200
1526460882720,-85,-200,-81,-81,-79,-200,-200
1526460882880,-87,-200,-200,-63,-79,-200,-200
1526460887438,-83,-200,-200,-200,-200,-200,-200
1526460887541,-84,-200,-77,-62,-75,-93,-200
1526460887641,-84,-200,-77,-200,-200,-94,-200
1526460887744,-83,-200,-77,-63,-200,-200,-200
1526460887859,-83,-93,-77,-61,-84,-200,-200
1526460892452,-83,-93,-200,-200,-84,-200,-200
1526460892547,-83,-200,-73,-61,-84,-200,-200
1526460892690,-83,-94,-73,-61,-84,-200,-200
1526460892792,-83,-93,-71,-61,-84,-200,-200
1526460892890,-200,-95,-73,-200,-200,-200,-200
1526460897421,-87,-200,-81,-83,-200,-200,-200
1526460897522,-86,-200,-82,-200,-79,-200,-200
1526460897655,-87,-200,-200,-200,-80,-200,-200
1526460897764,-87,-200,-200,-200,-200,-200,-200
1526460897874,-87,-200,-200,-200,-79,-200,-200
1526460902399,-83,-200,-77,-62,-75,-200,-200
1526460902505,-84,-200,-77,-63,-75,-200,-200
1526460902611,-84,-200,-77,-62,-74,-200,-200
1526460902696,-84,-200,-76,-63,-75,-200,-200
1526460902800,-84,-200,-77,-62,-75,-200,-200
1526460902905,-84,-94,-73,-61,-200,-200,-200
1526460907545,-200,-92,-72,-200,-200,-200,-200
1526460907692,-83,-200,-73,-200,-86,-200,-200
1526460907810,-83,-200,-73,-61,-200,-200,-200
1526460907901,-200,-200,-200,-61,-78,-200,-200
1526460912440,-89,-200,-81,-76,-77,-200,-200
1526460912550,-88,-200,-200,-80,-200,-200,-200
1526460912665,-200,-200,-200,-81,-78,-200,-200
1526460912773,-87,-200,-80,-80,-75,-200,-200
1526460912883,-200,-200,-80,-82,-75,-200,-96
1526460917446,-83,-200,-78,-64,-200,-200,-200
1526460917544,-84,-200,-78,-200,-75,-200,-200
1526460917651,-200,-200,-78,-65,-75,-200,-200
1526460917760,-84,-200,-78,-64,-76,-200,-200
1526460917857,-83,-200,-78,-64,-200,-200,-200
