,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:5F,78:A5:04:41:EB:DD,7C:66:9D:7B:2B:DE,78:A5:04:41:EE:07,7C:66:9D:7B:2B:E4,7C:66:9D:7B:2B:D3,F4:B8:5E:AA:79:4E,78:A5:04:41:EB:C7,78:A5:04:41:E7:93,78:A5:04:41:E7:91,F4:B8:5E:AA:77:73,78:A5:04:41:E7:81,78:A5:04:41:EB:C9
1526460452488,-80,-95,-95,-73,-81,-87,-88,-200,-200,-200,-200,-200,-200
1526460452596,-91,-99,-200,-72,-79,-200,-88,-73,-97,-200,-200,-200,-200
1526460452698,-86,-200,-200,-72,-80,-200,-88,-72,-97,-94,-200,-200,-200
1526460452798,-86,-200,-92,-70,-200,-200,-91,-73,-200,-200,-200,-200,-200
1526460452906,-85,-200,-92,-74,-200,-200,-82,-72,-200,-91,-200,-200,-200
1526460457427,-200,-200,-200,-68,-200,-89,-200,-61,-200,-200,-200,-200,-200
1526460457516,-200,-200,-200,-68,-94,-89,-83,-60,-200,-200,-91,-200,-200
1526460457626,-70,-200,-200,-68,-200,-86,-200,-60,-200,-200,-90,-100,-200
1526460457751,-70,-200,-200,-68,-200,-200,-80,-60,-200,-200,-89,-96,-200
1526460457853,-71,-200,-200,-69,-200,-200,-81,-200,-200,-200,-91,-99,-200
1526460457960,-70,-200,-200,-91,-200,-95,-90,-68,-95,-92,-91,-97,-200
1526460462493,-69,-200,-200,-89,-200,-92,-200,-69,-95,-200,-200,-200,-200
1526460462595,-69,-200,-200,-200,-200,-92,-92,-69,-94,-92,-91,-200,-96
1526460462720,-70,-200,-200,-88,-200,-93,-200,-70,-94,-91,-90,-200,-200
1526460462831,-200,-200,-200,-200,-200,-200,-92,-69,-94,-91,-90,-200,-97
1526460462945,-70,-200,-200,-76,-200,-200,-89,-68,-95,-92,-90,-200,-200
1526460467485,-84,-200,-200,-76,-84,-200,-90,-65,-200,-200,-200,-200,-200
1526460467604,-85,-200,-200,-75,-83,-200,-200,-64,-200,-200,-200,-200,-200
1526460467718,-84,-200,-200,-75,-82,-94,-88,-64,-200,-91,-200,-200,-200
1526460467809,-84,-200,-200,-76,-83,-200,-200,-64,-200,-90,-200,-200,-200
1526460467925,-70,-200,-200,-200,-83,-200,-200,-64,-200,-200,-91,-200,-200
1526460472443,-70,-200,-200,-69,-200,-200,-83,-60,-200,-85,-91,-200,-97
1526460472535,-200,-200,-94,-68,-200,-200,-83,-60,-200,-85,-200,-200,-200
1526460472649,-70,-200,-200,-68,-200,-89,-200,-60,-200,-85,-91,-97,-200
1526460472800,-70,-200,-200,-69,-200,-200,-200,-59,-93,-200,-200,-200,-95
1526460472917,-70,-200,-200,-67,-96,-200,-200,-200,-94,-200,-200,-200,-200
1526460477502,-69,-200,-200,-93,-200,-93,-91,-68,-95,-200,-90,-200,-98
1526460477601,-70,-200,-200,-90,-200,-200,-92,-200,-95,-200,-92,-200,-200
1526460477712,-70,-200,-95,-89,-200,-200,-92,-68,-96,-92,-92,-200,-97
1526460477822,-200,-200,-96,-90,-94,-93,-92,-200,-95,-200,-200,-200,-97
1526460477930,-70,-200,-97,-91,-95,-93,-91,-68,-96,-92,-200,-200,-200
1526460482406,-80,-97,-200,-76,-82,-200,-88,-63,-200,-93,-200,-200,-200
1526460482570,-81,-200,-200,-76,-84,-200,-87,-63,-200,-200,-200,-200,-92
1526460482673,-82,-200,-200,-77,-83,-89,-87,-63,-200,-200,-200,-200,-94
1526460482786,-81,-200,-200,-76,-83,-88,-200,-63,-200,-92,-200,-200,-200
1526460482894,-81,-200,-200,-77,-200,-88,-86,-63,-93,-92,-200,-200,-200
1526460487421,-71,-200,-95,-69,-200,-200,-200,-61,-200,-200,-89,-200,-200
1526460487536,-70,-200,-96,-68,-200,-200,-84,-60,-200,-200,-200,-200,-200
1526460487663,-71,-200,-96,-69,-200,-200,-83,-200,-200,-86,-200,-200,-200
1526460487826,-200,-200,-94,-70,-200,-91,-200,-200,-200,-86,-200,-200,-95
1526460487917,-200,-200,-200,-69,-200,-200,-87,-61,-96,-87,-94,-200,-200
1526460492469,-71,-200,-200,-79,-93,-200,-200,-86,-97,-200,-200,-200,-200
1526460492571,-69,-200,-200,-89,-200,-200,-200,-77,-200,-200,-200,-200,-96
1526460492676,-200,-200,-200,-88,-92,-200,-200,-73,-94,-93,-94,-200,-96
1526460492789,-69,-200,-200,-86,-93,-97,-200,-200,-200,-200,-93,-200,-200
1526460492892,-69,-200,-200,-88,-93,-200,-88,-200,-96,-200,-200,-200,-96
1526460493001,-83,-200,-200,-94,-200,-200,-89,-73,-200,-86,-200,-200,-200
1526460497521,-84,-200,-200,-200,-85,-86,-90,-200,-200,-87,-200,-200,-200
1526460497619,-82,-200,-200,-72,-85,-86,-88,-72,-92,-92,-200,-200,-200
1526460497727,-83,-200,-200,-73,-84,-87,-92,-70,-200,-200,-200,-200,-200
1526460497836,-89,-200,-200,-72,-83,-87,-91,-200,-94,-88,-200,-200,-200
1526460497930,-83,-200,-200,-200,-84,-200,-200,-68,-200,-200,-200,-200,-200
1526460502404,-70,-200,-200,-66,-200,-200,-84,-60,-92,-200,-85,-95,-95
1526460502506,-69,-200,-200,-65,-90,-200,-82,-61,-94,-200,-200,-200,-95
1526460502601,-69,-200,-200,-64,-200,-200,-200,-61,-200,-200,-88,-200,-93
1526460502764,-69,-200,-96,-68,-200,-200,-83,-60,-200,-200,-200,-200,-200
1526460502891,-69,-200,-200,-200,-200,-200,-84,-60,-200,-200,-86,-200,-200
1526460507390,-70,-200,-200,-88,-95,-93,-91,-200,-95,-90,-90,-200,-200
1526460507502,-70,-200,-200,-88,-96,-200,-91,-70,-95,-89,-90,-200,-200
1526460507590,-69,-200,-200,-87,-200,-200,-90,-70,-96,-200,-90,-200,-200
1526460507695,-69,-200,-200,-88,-200,-94,-91,-70,-95,-200,-90,-200,-200
1526460507798,-70,-200,-200,-88,-95,-94,-91,-70,-95,-200,-90,-200,-200
1526460507934,-82,-200,-200,-88,-96,-85,-92,-69,-200,-200,-91,-200,-200
1526460512467,-200,-94,-94,-200,-83,-200,-88,-64,-200,-200,-200,-200,-200
1526460512578,-200,-200,-200,-200,-83,-84,-89,-63,-200,-95,-200,-200,-200
1526460512691,-82,-200,-200,-200,-83,-200,-200,-63,-200,-96,-200,-200,-200
