,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7f:00,74:da:da:c1:03:21,74:da:da:c1:03:2d,74:da:da:c1:02:91,0c:73:eb:d0:11:c8,0c:73:eb:d0:7e:d0,74:da:da:c1:02:8d,74:da:da:98:74:34,0c:73:eb:d0:11:d8,74:da:da:c1:3a:8d,74:da:da:c1:03:1d,74:da:da:c1:3a:81,0c:73:eb:d0:13:d8,0c:73:eb:d0:13:90,0c:73:eb:d0:7c:40,74:da:da:98:74:80,74:da:da:98:90:94,0c:73:eb:d0:13:c8,74:da:da:c1:6b:4d
1526447266610,-39,-49,-62,-64,-67,-71,-72,-73,-76,-78,-83,-83,-84,-86,-87,-91,-200,-200,-200
1526447269631,-39,-50,-60,-73,-63,-75,-74,-78,-74,-72,-83,-200,-89,-85,-87,-200,-200,-200,-200
1526447272652,-39,-50,-60,-73,-63,-75,-74,-78,-74,-72,-83,-200,-89,-85,-87,-200,-200,-200,-200
1526447275672,-39,-50,-60,-73,-63,-75,-74,-78,-74,-72,-83,-200,-89,-85,-87,-200,-200,-200,-200
1526447278692,-38,-49,-61,-75,-64,-73,-75,-78,-74,-73,-76,-200,-83,-86,-87,-200,-200,-200,-200
1526447281721,-40,-49,-61,-75,-64,-72,-72,-78,-75,-77,-76,-200,-83,-86,-87,-200,-93,-200,-200
1526447284743,-40,-49,-61,-75,-64,-72,-72,-78,-75,-77,-76,-200,-83,-86,-87,-200,-93,-200,-200
1526447287767,-40,-49,-61,-75,-64,-72,-72,-78,-75,-77,-76,-200,-83,-86,-87,-200,-93,-200,-200
1526447290790,-40,-47,-63,-67,-66,-70,-63,-82,-79,-77,-78,-200,-89,-200,-200,-200,-93,-88,-200
1526447293813,-40,-45,-63,-65,-66,-73,-63,-82,-75,-83,-74,-200,-89,-83,-89,-84,-93,-88,-200
1526447296840,-40,-45,-63,-65,-66,-73,-63,-82,-75,-83,-74,-200,-89,-83,-89,-84,-93,-88,-200
1526447299867,-40,-45,-63,-65,-66,-73,-63,-82,-75,-83,-74,-200,-89,-83,-89,-84,-93,-88,-200
1526447302906,-36,-50,-57,-66,-64,-74,-67,-76,-77,-76,-73,-200,-200,-84,-89,-84,-91,-200,-200
1526447305932,-36,-50,-61,-65,-63,-76,-72,-76,-77,-75,-74,-200,-200,-84,-87,-84,-91,-200,-200
1526447308955,-36,-50,-61,-65,-63,-76,-72,-76,-77,-75,-74,-200,-200,-84,-87,-84,-91,-200,-200
1526447311982,-36,-50,-61,-65,-63,-76,-72,-76,-77,-75,-74,-200,-200,-84,-87,-84,-91,-200,-200
1526447315005,-39,-51,-63,-65,-62,-71,-72,-78,-73,-73,-76,-200,-200,-87,-88,-200,-200,-200,-200
1526447318026,-39,-51,-63,-65,-62,-71,-72,-78,-73,-73,-76,-200,-200,-87,-88,-200,-200,-200,-200
1526447321051,-39,-51,-63,-65,-62,-71,-72,-78,-73,-73,-76,-200,-200,-87,-88,-200,-200,-200,-200
1526447324074,-39,-51,-63,-65,-62,-71,-72,-78,-73,-73,-76,-200,-200,-87,-88,-200,-200,-200,-200
1526447327088,-200,-200,-200,-200,-69,-200,-72,-200,-73,-70,-200,-200,-200,-200,-87,-200,-200,-200,-88
