,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:7e:d0,74:da:da:c1:02:91,74:da:da:c1:03:1d,74:da:da:c1:03:2d,74:da:da:c1:02:8d,0c:73:eb:d0:11:d8,74:da:da:c1:03:21,0c:73:eb:d0:7f:00,74:da:da:c1:3d:2d,74:da:da:c1:3a:8d,0c:73:eb:d0:13:98,0c:73:eb:d0:7c:40,0c:73:eb:d0:13:d8,74:da:da:98:74:74,74:da:da:c1:3a:81,74:da:da:98:90:2c,d8:15:0d:6c:13:98,74:da:da:c1:3a:dd,0c:73:eb:d0:11:f8,74:da:da:c0:d9:39,74:da:da:c0:d6:ed,74:da:da:98:74:80,0c:73:eb:d0:7c:28,74:da:da:c1:6b:4d,74:da:da:c0:f6:15,74:da:da:98:66:cc,0c:73:eb:d0:19:80,0c:73:eb:d0:13:b0,74:da:da:98:74:34,0c:73:eb:d0:13:90
1526442019437,-28,-40,-40,-54,-54,-56,-56,-59,-59,-60,-63,-67,-69,-71,-73,-77,-78,-79,-82,-83,-83,-84,-84,-87,-87,-90,-91,-200,-200,-200
1526442022465,-28,-34,-40,-64,-59,-58,-55,-63,-67,-62,-60,-66,-69,-77,-69,-200,-79,-79,-200,-200,-83,-85,-84,-87,-85,-90,-91,-87,-200,-200
1526442025493,-28,-34,-40,-64,-59,-58,-55,-63,-67,-62,-60,-66,-69,-77,-69,-200,-79,-79,-200,-200,-83,-85,-84,-87,-85,-90,-91,-87,-200,-200
1526442028527,-28,-34,-40,-64,-59,-58,-55,-63,-67,-62,-60,-66,-69,-77,-69,-200,-79,-79,-200,-200,-83,-85,-84,-87,-85,-90,-91,-87,-200,-200
1526442031557,-34,-35,-41,-62,-57,-58,-55,-64,-69,-61,-59,-73,-73,-70,-72,-76,-76,-200,-84,-200,-200,-85,-89,-200,-83,-200,-200,-82,-87,-200
1526442034585,-35,-35,-40,-58,-56,-59,-54,-63,-70,-63,-59,-70,-72,-73,-72,-76,-76,-200,-84,-200,-200,-85,-89,-76,-83,-200,-200,-82,-87,-200
1526442037622,-35,-35,-40,-58,-56,-59,-54,-63,-70,-63,-59,-70,-72,-73,-72,-76,-76,-200,-84,-200,-200,-85,-89,-76,-83,-200,-200,-82,-87,-200
1526442040648,-35,-35,-40,-58,-56,-59,-54,-63,-70,-63,-59,-70,-72,-73,-72,-76,-76,-200,-84,-200,-200,-85,-89,-76,-83,-200,-200,-82,-87,-200
1526442043672,-37,-39,-41,-59,-58,-62,-56,-63,-71,-66,-72,-71,-73,-73,-74,-200,-78,-200,-200,-200,-200,-200,-200,-75,-89,-200,-200,-83,-200,-200
1526442046702,-40,-33,-38,-56,-55,-61,-56,-61,-71,-65,-66,-69,-74,-72,-74,-79,-78,-87,-83,-200,-200,-200,-200,-74,-89,-200,-200,-83,-87,-200
1526442049721,-40,-33,-38,-56,-55,-61,-56,-61,-71,-65,-66,-69,-74,-72,-74,-79,-78,-87,-83,-200,-200,-200,-200,-74,-89,-200,-200,-83,-87,-200
1526442052756,-40,-33,-38,-56,-55,-61,-56,-61,-71,-65,-66,-69,-74,-72,-74,-79,-78,-87,-83,-200,-200,-200,-200,-74,-89,-200,-200,-83,-87,-200
1526442055796,-34,-35,-39,-55,-55,-61,-59,-56,-71,-63,-65,-73,-72,-71,-74,-79,-73,-87,-86,-200,-200,-84,-200,-75,-90,-200,-200,-200,-87,-83
1526442058825,-34,-35,-37,-56,-55,-56,-57,-60,-71,-62,-65,-69,-72,-72,-74,-80,-73,-87,-86,-200,-200,-84,-200,-75,-89,-200,-200,-200,-87,-83
1526442061857,-34,-35,-37,-56,-55,-56,-57,-60,-71,-62,-65,-69,-72,-72,-74,-80,-73,-87,-86,-200,-200,-84,-200,-75,-89,-200,-200,-200,-87,-83
1526442064887,-34,-35,-37,-56,-55,-56,-57,-60,-71,-62,-65,-69,-72,-72,-74,-80,-73,-87,-86,-200,-200,-84,-200,-75,-89,-200,-200,-200,-87,-83
1526442067919,-34,-40,-39,-56,-55,-66,-56,-59,-71,-64,-64,-67,-79,-74,-74,-80,-200,-200,-200,-200,-200,-87,-200,-75,-89,-200,-87,-200,-200,-200
1526442070956,-35,-36,-40,-54,-54,-65,-57,-56,-72,-64,-63,-69,-73,-71,-76,-81,-79,-200,-84,-200,-200,-84,-200,-77,-89,-200,-88,-84,-87,-200
1526442073994,-35,-36,-40,-54,-54,-65,-57,-56,-72,-64,-63,-69,-73,-71,-76,-81,-79,-200,-84,-200,-200,-84,-200,-77,-89,-200,-88,-84,-87,-200
1526442077027,-35,-36,-40,-54,-54,-65,-57,-56,-72,-64,-63,-69,-73,-71,-76,-81,-79,-200,-84,-200,-200,-84,-200,-77,-89,-200,-88,-84,-87,-200
1526442080066,-38,-37,-36,-54,-55,-64,-52,-59,-69,-63,-67,-67,-76,-75,-72,-81,-79,-200,-83,-200,-200,-88,-200,-75,-200,-89,-200,-84,-200,-200
