,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,74:da:da:c1:02:91,0c:73:eb:d0:13:98,74:da:da:c1:03:2d,74:da:da:c1:3a:8d,74:da:da:c1:03:21,74:da:da:98:74:74,74:da:da:c1:02:8d,0c:73:eb:d0:7f:00,74:da:da:c1:3d:2d,0c:73:eb:d0:13:d8,0c:73:eb:d0:7c:40,0c:73:eb:d0:11:d8,74:da:da:c1:3a:81,74:da:da:c0:f6:15,d8:15:0d:6c:13:98,74:da:da:c1:3a:dd,0c:73:eb:d0:13:b0,74:da:da:98:90:2c,74:da:da:c1:6b:4d,74:da:da:98:74:80,0c:73:eb:d0:19:80,74:da:da:c0:d6:ed,74:da:da:98:74:34,0c:73:eb:d0:11:f8,0c:73:eb:d0:11:c8,0c:73:eb:d0:76:18,74:da:da:c1:48:bd,74:da:da:98:66:cc,74:da:da:c1:3b:29,74:da:da:c0:d9:39,74:da:da:c0:d8:3d,0c:73:eb:d0:7c:28,0c:73:eb:d0:7c:08,0c:73:eb:d0:19:c0,0c:73:eb:d0:0e:a8,74:da:da:98:ea:5c,74:da:da:c0:e0:6d,c0:61:18:93:3e:54,74:da:da:c1:3b:19,74:da:da:c1:3c:51,74:da:da:c0:f3:05
1526442877950,-29,-41,-45,-59,-59,-60,-61,-62,-64,-64,-70,-71,-71,-74,-75,-77,-77,-77,-77,-80,-81,-81,-84,-85,-85,-86,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442880976,-35,-32,-50,-59,-54,-66,-67,-66,-67,-68,-65,-75,-81,-68,-82,-77,-77,-81,-79,-80,-82,-81,-84,-85,-89,-86,-200,-90,-90,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442884000,-35,-32,-50,-59,-54,-66,-67,-66,-67,-68,-65,-75,-81,-68,-82,-77,-77,-81,-79,-80,-82,-81,-84,-85,-89,-86,-200,-90,-90,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442887036,-35,-32,-50,-59,-54,-66,-67,-66,-67,-68,-65,-75,-81,-68,-82,-77,-77,-81,-79,-80,-82,-81,-84,-85,-89,-86,-200,-90,-90,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442890079,-37,-33,-40,-64,-58,-65,-64,-63,-66,-64,-71,-81,-71,-68,-81,-79,-77,-81,-80,-90,-77,-86,-85,-200,-89,-200,-200,-200,-200,-81,-80,-81,-85,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526442893120,-36,-33,-44,-65,-54,-61,-60,-63,-66,-64,-74,-70,-72,-72,-80,-73,-77,-89,-78,-90,-77,-80,-85,-200,-89,-200,-200,-85,-200,-81,-80,-81,-81,-90,-91,-92,-200,-200,-200,-200,-200,-200,-200
1526442896146,-36,-33,-44,-65,-54,-61,-60,-63,-66,-64,-74,-70,-72,-72,-80,-73,-77,-89,-78,-90,-77,-80,-85,-200,-89,-200,-200,-85,-200,-81,-80,-81,-81,-90,-91,-92,-200,-200,-200,-200,-200,-200,-200
1526442899178,-36,-33,-44,-65,-54,-61,-60,-63,-66,-64,-74,-70,-72,-72,-80,-73,-77,-89,-78,-90,-77,-80,-85,-200,-89,-200,-200,-85,-200,-81,-80,-81,-81,-90,-91,-92,-200,-200,-200,-200,-200,-200,-200
1526442902216,-38,-35,-44,-63,-54,-61,-71,-59,-63,-63,-70,-71,-67,-68,-82,-80,-80,-89,-78,-83,-67,-81,-200,-200,-200,-200,-200,-84,-200,-81,-200,-200,-81,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526442905253,-42,-36,-44,-63,-54,-61,-71,-58,-67,-63,-67,-68,-70,-70,-82,-79,-81,-89,-77,-83,-67,-81,-200,-200,-88,-200,-200,-87,-200,-81,-78,-85,-81,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526442908281,-42,-36,-44,-63,-54,-61,-71,-58,-67,-63,-67,-68,-70,-70,-82,-79,-81,-89,-77,-83,-67,-81,-200,-200,-88,-200,-200,-87,-200,-81,-78,-85,-81,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526442911311,-42,-36,-44,-63,-54,-61,-71,-58,-67,-63,-67,-68,-70,-70,-82,-79,-81,-89,-77,-83,-67,-81,-200,-200,-88,-200,-200,-87,-200,-81,-78,-85,-81,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526442914357,-45,-36,-45,-67,-54,-59,-71,-59,-61,-62,-67,-71,-68,-70,-82,-78,-80,-200,-79,-84,-66,-81,-200,-76,-88,-200,-200,-87,-200,-77,-80,-85,-77,-200,-200,-200,-86,-91,-200,-200,-200,-200,-200
1526442917396,-45,-36,-45,-63,-54,-60,-71,-57,-61,-62,-68,-69,-68,-67,-82,-79,-80,-200,-77,-80,-66,-81,-75,-76,-88,-87,-200,-87,-200,-77,-80,-85,-77,-200,-200,-200,-86,-91,-90,-91,-200,-200,-200
1526442920425,-45,-36,-45,-63,-54,-60,-71,-57,-61,-62,-68,-69,-68,-67,-82,-79,-80,-200,-77,-80,-66,-81,-75,-76,-88,-87,-200,-87,-200,-77,-80,-85,-77,-200,-200,-200,-86,-91,-90,-91,-200,-200,-200
