,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:03:1d,0c:73:eb:d0:7e:d0,74:da:da:c1:03:2d,74:da:da:c1:02:91,74:da:da:c1:02:8d,0c:73:eb:d0:11:d8,74:da:da:c1:6b:4d,0c:73:eb:d0:7c:40,0c:73:eb:d0:7f:00,74:da:da:c1:3a:8d,0c:73:eb:d0:13:98,74:da:da:c1:03:21,0c:73:eb:d0:13:d8,74:da:da:98:74:80,d8:15:0d:6c:13:98,74:da:da:c1:3d:2d,74:da:da:c0:d7:0d,74:da:da:c1:3a:81,0c:73:eb:d0:11:f8,74:da:da:98:74:74,0c:73:eb:d0:7c:28,74:da:da:c1:3a:dd,0c:73:eb:d0:13:b0,74:da:da:c0:d9:39,74:da:da:c0:f6:15,74:da:da:c1:3c:f5,0c:73:eb:d0:13:90,74:da:da:c1:3b:29,0c:73:eb:d0:19:80,74:da:da:98:74:34,74:da:da:98:66:cc,74:da:da:98:90:2c,74:da:da:c0:d6:ed,74:da:da:c0:d8:3d,74:da:da:c0:e0:6d
1526442567876,-36,-39,-47,-51,-61,-64,-64,-66,-67,-67,-69,-69,-71,-72,-75,-78,-78,-80,-80,-81,-81,-82,-82,-82,-86,-86,-86,-88,-88,-88,-89,-89,-200,-200,-200
1526442570902,-34,-42,-45,-50,-61,-68,-66,-73,-68,-67,-70,-76,-73,-81,-80,-78,-200,-80,-83,-81,-200,-200,-82,-87,-82,-200,-200,-200,-200,-88,-200,-89,-200,-200,-200
1526442573933,-34,-42,-45,-50,-61,-68,-66,-73,-68,-67,-70,-76,-73,-81,-80,-78,-200,-80,-83,-81,-200,-200,-82,-87,-82,-200,-200,-200,-200,-88,-200,-89,-200,-200,-200
1526442576963,-34,-42,-45,-50,-61,-68,-66,-73,-68,-67,-70,-76,-73,-81,-80,-78,-200,-80,-83,-81,-200,-200,-82,-87,-82,-200,-200,-200,-200,-88,-200,-89,-200,-200,-200
1526442579996,-38,-41,-49,-55,-65,-62,-65,-70,-64,-76,-77,-68,-79,-81,-75,-67,-200,-79,-83,-77,-85,-200,-76,-87,-77,-200,-200,-86,-86,-88,-200,-79,-200,-200,-200
1526442583029,-38,-39,-51,-54,-63,-68,-64,-70,-64,-76,-74,-68,-79,-81,-74,-67,-200,-83,-83,-77,-85,-200,-76,-87,-78,-200,-200,-86,-86,-88,-200,-80,-200,-200,-200
1526442586056,-38,-39,-51,-54,-63,-68,-64,-70,-64,-76,-74,-68,-79,-81,-74,-67,-200,-83,-83,-77,-85,-200,-76,-87,-78,-200,-200,-86,-86,-88,-200,-80,-200,-200,-200
1526442589086,-38,-39,-51,-54,-63,-68,-64,-70,-64,-76,-74,-68,-79,-81,-74,-67,-200,-83,-83,-77,-85,-200,-76,-87,-78,-200,-200,-86,-86,-88,-200,-80,-200,-200,-200
1526442592121,-43,-36,-55,-51,-60,-66,-61,-72,-64,-72,-65,-65,-71,-81,-73,-68,-200,-83,-82,-70,-83,-200,-76,-85,-83,-200,-87,-88,-87,-200,-200,-80,-200,-200,-200
1526442595155,-43,-36,-55,-51,-60,-64,-61,-72,-64,-72,-65,-65,-71,-81,-73,-68,-200,-83,-82,-70,-83,-200,-76,-85,-83,-200,-87,-88,-87,-200,-200,-80,-200,-200,-200
1526442598185,-43,-36,-55,-51,-60,-64,-61,-72,-64,-72,-65,-65,-71,-81,-73,-68,-200,-83,-82,-70,-83,-200,-76,-85,-83,-200,-87,-88,-87,-200,-200,-80,-200,-200,-200
1526442601218,-43,-36,-55,-51,-60,-64,-61,-72,-64,-72,-65,-65,-71,-81,-73,-68,-200,-83,-82,-70,-83,-200,-76,-85,-83,-200,-87,-88,-87,-200,-200,-80,-200,-200,-200
1526442604259,-38,-39,-50,-59,-59,-60,-64,-72,-67,-68,-64,-70,-79,-200,-71,-70,-90,-78,-200,-69,-91,-200,-79,-82,-75,-200,-200,-88,-200,-200,-86,-84,-84,-87,-89
1526442607297,-40,-35,-51,-59,-58,-57,-64,-71,-64,-68,-64,-72,-79,-85,-72,-66,-90,-79,-82,-69,-91,-200,-84,-84,-76,-200,-200,-88,-88,-200,-86,-84,-84,-87,-89
1526442610334,-40,-35,-51,-59,-58,-57,-64,-71,-64,-68,-64,-72,-79,-85,-72,-66,-90,-79,-82,-69,-91,-200,-84,-84,-76,-200,-200,-88,-88,-200,-86,-84,-84,-87,-89
1526442613371,-40,-35,-51,-59,-58,-57,-64,-71,-64,-68,-64,-72,-79,-85,-72,-66,-90,-79,-82,-69,-91,-200,-84,-84,-76,-200,-200,-88,-88,-200,-86,-84,-84,-87,-89
1526442616402,-40,-39,-49,-62,-60,-60,-63,-72,-66,-68,-65,-72,-76,-85,-71,-73,-200,-77,-78,-71,-200,-200,-84,-82,-80,-200,-200,-200,-88,-200,-200,-200,-83,-200,-200
1526442619440,-40,-39,-49,-61,-60,-58,-65,-72,-66,-68,-67,-71,-76,-81,-69,-71,-200,-78,-78,-71,-200,-200,-77,-82,-80,-200,-200,-88,-88,-200,-200,-200,-87,-200,-200
1526442622474,-40,-39,-49,-61,-60,-58,-65,-72,-66,-68,-67,-71,-76,-81,-69,-71,-200,-78,-78,-71,-200,-200,-77,-82,-80,-200,-200,-88,-88,-200,-200,-200,-87,-200,-200
1526442625505,-40,-39,-49,-61,-60,-58,-65,-72,-66,-68,-67,-71,-76,-81,-69,-71,-200,-78,-78,-71,-200,-200,-77,-82,-80,-200,-200,-88,-88,-200,-200,-200,-87,-200,-200
1526442628547,-45,-42,-50,-60,-59,-60,-62,-74,-69,-65,-66,-69,-75,-83,-70,-70,-200,-75,-78,-69,-86,-88,-82,-85,-78,-200,-200,-88,-81,-200,-89,-81,-87,-200,-200
