,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:7e:d0,74:da:da:c1:02:91,74:da:da:c1:03:1d,74:da:da:c1:03:2d,74:da:da:c1:03:21,74:da:da:c1:3a:8d,74:da:da:c1:02:8d,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:98,74:da:da:98:74:74,0c:73:eb:d0:13:d8,74:da:da:c1:3d:2d,0c:73:eb:d0:11:d8,0c:73:eb:d0:7c:40,74:da:da:98:90:2c,0c:73:eb:d0:11:c8,74:da:da:c0:d6:ed,74:da:da:98:74:80,0c:73:eb:d0:19:80,74:da:da:c0:f6:15,74:da:da:c1:3a:dd,0c:73:eb:d0:13:b0,74:da:da:c1:3a:81,74:da:da:98:74:34,74:da:da:98:66:cc,d8:15:0d:6c:13:98,74:da:da:c1:6b:4d,74:da:da:c1:3b:19,0c:73:eb:d0:11:f8,74:da:da:c0:d9:39,74:da:da:c1:3c:11
1526442167765,-34,-37,-46,-54,-60,-64,-65,-67,-68,-69,-69,-71,-73,-78,-79,-80,-80,-82,-82,-85,-85,-85,-85,-85,-86,-88,-89,-200,-200,-200,-200
1526442170774,-34,-37,-46,-54,-60,-64,-65,-67,-68,-69,-69,-71,-73,-78,-79,-80,-80,-82,-82,-200,-85,-200,-85,-85,-200,-200,-200,-200,-200,-200,-200
1526442173800,-34,-37,-46,-54,-60,-64,-65,-67,-68,-69,-69,-71,-73,-78,-79,-80,-80,-82,-82,-200,-85,-200,-85,-85,-200,-200,-200,-200,-200,-200,-200
1526442176824,-34,-37,-46,-54,-60,-64,-65,-67,-68,-69,-69,-71,-73,-78,-79,-80,-80,-82,-82,-200,-85,-200,-85,-85,-200,-200,-200,-200,-200,-200,-200
1526442179839,-28,-40,-40,-59,-57,-68,-62,-61,-63,-64,-73,-76,-76,-200,-80,-83,-81,-81,-85,-89,-200,-200,-200,-83,-88,-200,-89,-91,-200,-200,-200
1526442182860,-27,-42,-43,-55,-57,-70,-62,-56,-64,-64,-83,-79,-74,-200,-84,-84,-78,-79,-85,-89,-200,-200,-88,-83,-88,-200,-89,-90,-200,-200,-200
1526442185890,-27,-42,-43,-55,-57,-70,-62,-56,-64,-64,-83,-79,-74,-200,-84,-84,-78,-79,-85,-89,-200,-200,-88,-83,-88,-200,-89,-90,-200,-200,-200
1526442188917,-27,-42,-43,-55,-57,-70,-62,-56,-64,-64,-83,-79,-74,-200,-84,-84,-78,-79,-85,-89,-200,-200,-88,-83,-88,-200,-89,-90,-200,-200,-200
1526442191965,-27,-47,-39,-57,-58,-68,-62,-56,-60,-61,-77,-74,-73,-77,-82,-86,-78,-80,-83,-200,-85,-200,-88,-83,-200,-200,-200,-90,-200,-200,-200
