,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:EE:15,78:A5:04:41:EB:CE,78:A5:04:41:E7:88,78:A5:04:41:EE:1D,7C:66:9D:7B:2B:CB,78:A5:04:41:EB:98,78:A5:04:41:E5:70,7C:66:9D:7B:47:3D,7C:66:9D:7B:46:8C,78:A5:04:41:E7:EF,78:A5:04:41:E7:98,78:A5:04:41:E7:D5,BC:6A:29:BE:31:61
1526443752450,-67,-64,-76,-83,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526443752556,-70,-64,-76,-81,-200,-87,-79,-200,-200,-200,-200,-200,-200
1526443757071,-79,-69,-200,-82,-200,-87,-79,-92,-200,-200,-200,-200,-200
1526443757226,-78,-69,-200,-82,-200,-86,-200,-91,-93,-200,-200,-200,-200
1526443757358,-78,-69,-200,-83,-200,-86,-200,-91,-91,-200,-200,-200,-200
1526443757449,-78,-69,-200,-200,-200,-88,-79,-200,-200,-200,-200,-200,-200
1526443762024,-64,-200,-76,-200,-200,-200,-90,-200,-200,-93,-89,-200,-200
1526443762123,-66,-200,-77,-86,-200,-200,-200,-93,-200,-91,-200,-89,-200
1526443762231,-68,-69,-77,-84,-91,-200,-200,-200,-200,-91,-200,-200,-200
1526443762340,-80,-200,-79,-200,-200,-200,-82,-95,-200,-200,-200,-200,-200
1526443762461,-200,-200,-81,-93,-200,-88,-81,-98,-200,-200,-200,-200,-200
1526443767328,-70,-80,-82,-85,-89,-88,-76,-200,-200,-200,-200,-200,-98
1526443767427,-70,-81,-82,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443767583,-81,-81,-82,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526443767689,-81,-81,-81,-85,-90,-88,-200,-200,-200,-200,-200,-200,-200
1526443772057,-81,-76,-76,-200,-200,-92,-69,-200,-98,-200,-94,-200,-103
1526443772157,-82,-76,-76,-200,-200,-200,-69,-200,-98,-200,-200,-200,-200
1526443772308,-80,-200,-76,-200,-200,-91,-69,-200,-98,-89,-200,-200,-200
1526443772418,-80,-200,-76,-84,-88,-96,-69,-200,-101,-90,-200,-200,-200
1526443777515,-200,-87,-200,-200,-200,-89,-200,-200,-101,-200,-200,-200,-200
1526443777755,-200,-82,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-99
1526443778054,-72,-79,-82,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526443782078,-77,-67,-200,-89,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526443782205,-77,-66,-78,-200,-88,-200,-77,-200,-96,-200,-200,-200,-200
1526443782316,-78,-67,-78,-84,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526443787069,-200,-200,-78,-84,-200,-200,-72,-98,-99,-200,-200,-200,-200
1526443787173,-200,-200,-77,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443787284,-74,-69,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443787381,-79,-70,-78,-84,-89,-200,-82,-98,-97,-200,-200,-200,-200
1526443792117,-79,-82,-83,-84,-200,-200,-82,-200,-99,-200,-200,-200,-200
1526443792222,-79,-82,-83,-85,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526443792313,-200,-83,-82,-200,-200,-200,-83,-200,-95,-200,-200,-200,-200
1526443792417,-79,-200,-83,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526443797073,-80,-68,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-102
1526443797176,-80,-67,-200,-200,-88,-200,-78,-200,-200,-200,-200,-200,-200
1526443797286,-80,-68,-200,-200,-86,-200,-78,-200,-200,-200,-200,-200,-200
1526443797430,-200,-68,-78,-200,-87,-200,-78,-98,-200,-200,-200,-200,-200
1526443802176,-79,-81,-84,-86,-89,-200,-83,-97,-97,-200,-200,-200,-200
1526443802311,-79,-200,-200,-86,-89,-200,-84,-96,-96,-200,-200,-200,-200
1526443802418,-79,-200,-200,-86,-200,-200,-200,-97,-98,-200,-200,-200,-200
1526443802523,-78,-200,-84,-86,-88,-200,-79,-96,-96,-200,-200,-200,-104
1526443807066,-79,-68,-77,-92,-200,-200,-77,-200,-97,-200,-200,-200,-200
1526443807192,-78,-68,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443807307,-79,-68,-78,-200,-88,-200,-79,-200,-96,-200,-200,-200,-200
1526443807417,-79,-67,-77,-200,-88,-200,-78,-200,-200,-200,-200,-200,-200
1526443807505,-77,-69,-77,-88,-200,-200,-200,-200,-200,-200,-91,-200,-200
1526443812145,-77,-72,-78,-87,-200,-200,-200,-101,-99,-200,-92,-200,-200
1526443812260,-77,-200,-200,-86,-200,-200,-200,-98,-200,-200,-200,-200,-200
1526443812436,-77,-69,-78,-86,-89,-200,-82,-200,-200,-200,-200,-200,-200
1526443817048,-83,-84,-83,-86,-200,-200,-82,-97,-95,-200,-200,-200,-200
1526443817160,-200,-83,-83,-86,-90,-200,-81,-200,-200,-200,-200,-200,-200
1526443817270,-200,-83,-83,-86,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526443817396,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443817505,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
