,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:88,78:A5:04:41:EE:15,78:A5:04:41:E7:D5,78:A5:04:41:EB:CE,7C:66:9D:7B:47:3D,78:A5:04:41:EE:1D,78:A5:04:41:E7:98,78:A5:04:41:E5:70,7C:66:9D:7B:46:8C,78:A5:04:41:EB:98
1526444057234,-82,-64,-88,-76,-98,-200,-200,-200,-200,-200
1526444057341,-83,-64,-200,-200,-96,-200,-200,-200,-200,-200
1526444057433,-83,-64,-200,-200,-200,-84,-200,-200,-200,-200
1526444062060,-80,-65,-200,-200,-200,-84,-92,-200,-200,-200
1526444062171,-80,-65,-200,-200,-200,-84,-200,-200,-200,-200
1526444062264,-80,-65,-86,-76,-200,-84,-200,-200,-200,-200
1526444062373,-80,-65,-200,-76,-200,-84,-200,-74,-200,-200
1526444067120,-200,-79,-200,-74,-200,-85,-200,-75,-200,-200
1526444067222,-200,-200,-86,-200,-200,-200,-92,-75,-200,-200
1526444067336,-200,-79,-86,-74,-200,-200,-200,-200,-200,-200
1526444067439,-200,-79,-85,-200,-100,-200,-200,-69,-200,-200
1526444072043,-82,-67,-87,-200,-200,-200,-200,-69,-200,-200
1526444072253,-83,-200,-86,-200,-200,-200,-94,-69,-200,-200
1526444072361,-82,-66,-87,-74,-200,-200,-200,-69,-200,-200
1526444072518,-200,-67,-85,-79,-200,-200,-200,-200,-200,-200
1526444077105,-200,-65,-86,-200,-200,-84,-200,-75,-200,-200
1526444077221,-80,-65,-86,-80,-200,-84,-200,-200,-200,-200
1526444077429,-200,-65,-85,-200,-200,-84,-92,-74,-200,-200
1526444082228,-82,-66,-200,-75,-200,-200,-200,-69,-200,-200
1526444082339,-200,-67,-87,-76,-200,-200,-200,-69,-200,-200
1526444082498,-200,-68,-87,-200,-200,-200,-200,-69,-200,-200
1526444082599,-200,-67,-88,-200,-200,-200,-200,-200,-200,-200
1526444087037,-80,-67,-86,-200,-200,-86,-200,-200,-200,-200
1526444087115,-80,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526444087235,-80,-200,-86,-200,-200,-200,-200,-77,-200,-200
1526444087426,-80,-81,-85,-200,-200,-200,-200,-200,-200,-200
1526444092072,-88,-81,-85,-200,-200,-82,-90,-75,-96,-200
1526444092244,-88,-80,-85,-200,-200,-82,-200,-75,-200,-200
1526444092349,-88,-80,-85,-72,-200,-200,-90,-75,-200,-200
1526444092460,-200,-80,-84,-200,-200,-200,-200,-200,-200,-200
1526444097077,-82,-68,-86,-200,-200,-200,-200,-68,-200,-200
1526444097182,-82,-68,-200,-77,-200,-200,-200,-68,-200,-200
1526444097280,-82,-69,-87,-77,-200,-200,-200,-69,-200,-200
1526444097386,-82,-69,-200,-78,-200,-200,-200,-69,-200,-200
1526444102043,-83,-66,-86,-200,-200,-86,-200,-77,-200,-200
1526444102175,-83,-65,-200,-76,-200,-200,-200,-200,-200,-200
1526444102308,-200,-65,-86,-76,-200,-86,-200,-78,-200,-200
1526444102446,-200,-200,-200,-76,-200,-86,-200,-77,-96,-92
1526444107069,-200,-84,-86,-72,-200,-200,-90,-75,-200,-200
1526444107191,-88,-84,-87,-72,-200,-81,-200,-75,-97,-200
1526444107294,-200,-84,-200,-72,-200,-200,-90,-75,-96,-92
1526444107449,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200
1526444107665,-83,-68,-87,-200,-200,-200,-200,-69,-98,-200
1526444112141,-83,-68,-86,-200,-200,-200,-200,-69,-200,-200
1526444112252,-83,-68,-87,-200,-200,-200,-200,-69,-200,-200
1526444112357,-83,-68,-87,-82,-200,-200,-200,-69,-200,-200
1526444112477,-200,-68,-200,-76,-200,-200,-200,-77,-200,-200
1526444117048,-81,-67,-200,-76,-200,-87,-200,-77,-200,-200
1526444117158,-81,-67,-86,-76,-200,-87,-200,-77,-200,-200
1526444117268,-80,-67,-86,-76,-200,-86,-200,-78,-200,-200
1526444117394,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
