,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:47:3D,7C:66:9D:7B:46:8C,78:A5:04:41:EB:CE,78:A5:04:41:EE:1D,78:A5:04:41:E7:98,78:A5:04:41:EE:15,78:A5:04:41:E5:70,78:A5:04:41:E7:88,BC:6A:29:BE:2F:12,78:A5:04:41:E7:D5,78:A5:04:41:EB:98
1526443832125,-96,-97,-68,-84,-200,-200,-200,-200,-200,-200,-200
1526443832238,-96,-200,-68,-83,-87,-73,-200,-200,-200,-200,-200
1526443832339,-96,-200,-69,-82,-86,-200,-72,-200,-200,-200,-200
1526443832452,-95,-200,-69,-81,-92,-83,-200,-82,-200,-200,-200
1526443837097,-97,-98,-65,-200,-91,-85,-66,-83,-200,-200,-200
1526443837202,-200,-200,-64,-200,-92,-85,-65,-82,-200,-200,-200
1526443837309,-96,-96,-64,-84,-92,-83,-64,-200,-200,-200,-200
1526443837419,-96,-200,-66,-200,-87,-80,-200,-82,-200,-200,-200
1526443842182,-98,-200,-69,-80,-200,-68,-69,-200,-200,-200,-200
1526443842344,-200,-200,-69,-200,-86,-68,-69,-82,-200,-200,-200
1526443842440,-200,-100,-69,-200,-200,-76,-200,-82,-200,-200,-200
1526443847228,-200,-200,-65,-83,-200,-69,-66,-92,-200,-200,-200
1526443847331,-200,-200,-65,-83,-200,-69,-66,-200,-200,-200,-200
1526443847446,-200,-200,-65,-200,-94,-69,-66,-200,-200,-200,-200
1526443847545,-96,-200,-65,-200,-200,-69,-200,-200,-200,-200,-200
1526443852091,-96,-200,-68,-200,-87,-68,-200,-200,-200,-200,-200
1526443852189,-200,-200,-68,-83,-87,-68,-200,-83,-102,-200,-200
1526443852321,-200,-200,-68,-83,-87,-68,-200,-83,-200,-200,-200
1526443852423,-100,-200,-68,-83,-200,-68,-200,-200,-200,-200,-200
1526443857047,-97,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200
1526443857260,-100,-200,-200,-81,-200,-200,-200,-87,-200,-200,-200
1526443857689,-99,-200,-200,-79,-92,-69,-200,-80,-200,-200,-200
1526443857883,-97,-95,-66,-79,-200,-200,-68,-86,-200,-200,-200
1526443862110,-200,-94,-65,-90,-85,-77,-72,-200,-200,-87,-200
1526443862212,-200,-97,-200,-89,-200,-77,-200,-200,-200,-87,-200
1526443862344,-200,-95,-66,-200,-85,-77,-71,-85,-200,-87,-200
1526443862474,-200,-94,-65,-200,-85,-200,-70,-85,-200,-200,-200
1526443867050,-200,-95,-200,-81,-200,-69,-65,-200,-200,-200,-200
1526443867145,-200,-96,-66,-80,-200,-200,-65,-200,-200,-200,-200
1526443867252,-200,-98,-66,-81,-200,-68,-65,-200,-200,-94,-200
1526443867356,-200,-96,-200,-81,-200,-200,-65,-200,-200,-200,-200
1526443867457,-200,-200,-200,-80,-93,-68,-200,-88,-200,-200,-200
1526443872035,-98,-200,-66,-200,-88,-68,-74,-83,-200,-200,-200
1526443872131,-97,-200,-66,-200,-200,-200,-200,-84,-200,-87,-200
1526443872245,-97,-200,-66,-81,-200,-200,-72,-84,-200,-87,-200
1526443872351,-200,-96,-66,-200,-200,-68,-73,-83,-200,-87,-200
1526443877117,-200,-96,-200,-88,-84,-81,-200,-200,-200,-200,-200
1526443877218,-200,-98,-66,-88,-84,-82,-200,-88,-200,-200,-200
1526443877319,-200,-96,-200,-200,-200,-82,-200,-88,-200,-200,-90
1526443877422,-200,-200,-200,-200,-200,-82,-200,-84,-200,-200,-200
1526443882109,-93,-98,-200,-200,-89,-74,-66,-85,-200,-200,-200
1526443882237,-94,-200,-68,-200,-90,-68,-200,-85,-200,-200,-200
1526443882340,-92,-200,-69,-80,-90,-68,-66,-84,-200,-92,-200
1526443882446,-92,-200,-69,-200,-90,-200,-66,-85,-200,-200,-200
1526443887044,-97,-200,-200,-83,-200,-67,-74,-200,-200,-84,-200
1526443887129,-200,-200,-63,-83,-200,-68,-74,-87,-200,-85,-200
1526443887280,-99,-200,-64,-200,-200,-67,-73,-200,-200,-85,-200
1526443887466,-200,-200,-64,-200,-200,-81,-200,-200,-200,-200,-200
1526443892051,-200,-97,-65,-200,-200,-200,-68,-200,-200,-200,-200
1526443892150,-200,-97,-65,-200,-84,-200,-68,-200,-200,-87,-200
1526443892247,-200,-95,-65,-200,-84,-82,-68,-200,-200,-200,-200
1526443892358,-200,-97,-65,-200,-200,-83,-68,-200,-200,-87,-200
1526443892459,-94,-95,-65,-79,-200,-68,-68,-82,-200,-89,-200
1526443897132,-93,-200,-200,-80,-200,-200,-68,-83,-200,-200,-200
1526443897262,-200,-200,-75,-80,-200,-68,-68,-83,-200,-89,-92
1526443897363,-200,-200,-75,-80,-91,-68,-68,-83,-200,-90,-200
