,vlucci.com AC-V1.4.0.0,0121.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011e.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011f.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0125.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0120.0012-vlucci.com A1.4.0.1
,78:A5:04:41:EB:C9,F4:B8:5E:AA:79:6C,78:A5:04:41:E5:56,F4:B8:5E:AA:78:68,78:A5:04:41:E5:77,78:A5:04:41:E9:E0,F4:B8:5E:AA:77:7A,78:A5:04:41:E7:81,F4:B8:5E:AA:79:21,78:A5:04:41:E7:CC,F4:B8:5E:AA:7A:38
1526464797775,-84,-81,-85,-81,-96,-200,-200,-200,-200,-200,-200
1526464797883,-83,-82,-200,-200,-200,-96,-200,-200,-200,-200,-200
1526464802409,-89,-87,-93,-84,-200,-96,-200,-200,-200,-200,-200
1526464802517,-89,-88,-93,-200,-200,-92,-200,-200,-200,-200,-200
1526464802600,-89,-88,-91,-85,-200,-200,-200,-200,-200,-200,-200
1526464802704,-89,-88,-93,-84,-200,-94,-100,-200,-200,-200,-200
1526464802825,-200,-87,-200,-84,-98,-200,-200,-200,-200,-200,-200
1526464802941,-200,-87,-92,-85,-200,-200,-200,-200,-200,-200,-200
1526464807371,-89,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526464807482,-92,-87,-89,-84,-200,-90,-200,-200,-200,-200,-200
1526464807662,-200,-200,-88,-83,-200,-90,-200,-200,-200,-200,-200
1526464807755,-89,-200,-88,-200,-200,-91,-200,-200,-200,-200,-200
1526464807872,-93,-86,-89,-84,-200,-89,-200,-200,-200,-200,-200
1526464812385,-81,-200,-200,-82,-200,-200,-93,-200,-200,-200,-200
1526464812534,-80,-200,-87,-83,-92,-89,-94,-94,-97,-200,-200
1526464812690,-200,-200,-87,-200,-95,-200,-95,-95,-200,-200,-200
1526464812788,-200,-200,-87,-83,-92,-90,-95,-97,-97,-200,-200
1526464812917,-89,-85,-200,-84,-200,-200,-200,-200,-200,-97,-200
1526464817377,-89,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526464817485,-88,-200,-93,-85,-200,-98,-200,-200,-200,-200,-200
1526464817622,-87,-200,-200,-85,-200,-96,-200,-200,-200,-200,-200
1526464817722,-87,-89,-91,-85,-200,-95,-200,-200,-200,-200,-200
1526464817897,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526464822430,-200,-86,-88,-84,-200,-200,-200,-200,-200,-200,-200
1526464822532,-200,-87,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526464822630,-200,-86,-87,-83,-200,-89,-200,-200,-200,-200,-200
1526464822724,-200,-86,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526464822833,-89,-200,-200,-84,-200,-89,-200,-200,-200,-200,-200
1526464827354,-82,-81,-87,-82,-97,-91,-200,-200,-91,-100,-200
1526464827466,-83,-81,-86,-82,-97,-200,-200,-200,-90,-200,-200
1526464827580,-83,-82,-86,-82,-200,-92,-200,-200,-90,-200,-200
1526464827691,-83,-81,-87,-82,-200,-90,-200,-200,-92,-99,-100
1526464827840,-82,-81,-200,-200,-200,-200,-200,-200,-90,-200,-200
1526464827930,-82,-81,-200,-85,-97,-95,-200,-200,-200,-200,-200
1526464832488,-88,-88,-200,-85,-200,-95,-200,-200,-200,-200,-200
1526464832628,-89,-88,-200,-84,-200,-94,-200,-101,-200,-200,-200
1526464832721,-89,-88,-200,-85,-200,-95,-200,-200,-200,-200,-200
1526464832830,-88,-88,-93,-84,-97,-95,-100,-200,-200,-200,-200
1526464837370,-89,-87,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526464837479,-88,-200,-87,-84,-200,-87,-200,-200,-200,-200,-200
1526464837578,-88,-86,-200,-84,-200,-87,-200,-200,-200,-200,-200
1526464837694,-89,-86,-87,-84,-200,-200,-200,-200,-200,-200,-200
1526464837893,-200,-81,-86,-84,-96,-200,-200,-200,-91,-200,-200
1526464842414,-82,-81,-87,-82,-200,-88,-200,-200,-91,-200,-200
1526464842519,-82,-81,-200,-82,-95,-89,-200,-200,-91,-200,-200
1526464842631,-82,-81,-200,-82,-95,-200,-200,-200,-92,-200,-200
1526464842733,-82,-81,-200,-82,-200,-200,-200,-97,-90,-99,-200
1526464842840,-82,-82,-86,-82,-95,-89,-200,-98,-91,-200,-200
1526464842948,-83,-88,-92,-85,-97,-90,-200,-200,-200,-200,-200
1526464847470,-88,-88,-93,-84,-200,-200,-200,-200,-200,-200,-200
1526464847575,-89,-88,-94,-84,-99,-200,-200,-200,-200,-200,-200
1526464847703,-89,-87,-93,-84,-100,-95,-100,-200,-200,-200,-200
1526464847802,-89,-88,-93,-85,-97,-96,-200,-200,-200,-200,-200
1526464847906,-89,-86,-92,-200,-200,-97,-200,-200,-200,-200,-200
1526464852425,-89,-86,-87,-83,-200,-88,-200,-200,-95,-200,-200
