,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro
,0c:73:eb:d0:13:b0,74:da:da:98:66:cc,74:da:da:c1:3c:11,74:da:da:98:90:2c,0c:73:eb:d0:19:80,74:da:da:98:66:cd,0c:73:eb:d0:13:98,0c:73:eb:d0:76:18,74:da:da:c0:d6:ed,0c:73:eb:d0:19:90,74:da:da:c1:3c:55,74:da:da:c0:d9:39,74:da:da:98:90:2d,74:da:da:98:74:74,74:da:da:c1:3c:85,74:da:da:c1:3c:45,74:da:da:98:90:94,0c:73:eb:d0:13:c8,74:da:da:c0:d6:f5,74:da:da:c1:3d:2d,0c:73:eb:d0:19:c0,74:da:da:98:ea:5c,74:da:da:c1:3c:4d,74:da:da:98:ea:64,74:da:da:c0:e0:6d,74:da:da:98:ea:54,74:da:da:c1:3c:12,74:da:da:98:74:34,74:da:da:c1:3c:46,74:da:da:c0:d7:11,74:da:da:c1:3b:19,0c:73:eb:d0:7e:d0,0c:73:eb:d0:2a:50,74:da:da:c0:f6:15,0c:73:eb:d0:19:c8,0c:73:eb:d0:19:a0,74:da:da:98:74:80,74:da:da:c1:03:1d,74:da:da:c1:3c:86,74:da:da:c1:3c:56,74:da:da:98:90:95,74:da:da:c1:02:91,74:da:da:c0:d8:25,50:3a:a0:ea:01:66,0c:73:eb:d0:76:10,0c:73:eb:d0:0e:b8,74:da:da:98:85:4c
1526460143034,-31,-40,-42,-45,-46,-53,-54,-55,-58,-58,-58,-59,-60,-63,-63,-65,-66,-67,-68,-69,-71,-71,-71,-73,-75,-75,-76,-76,-77,-77,-77,-78,-78,-79,-79,-79,-80,-80,-81,-83,-87,-87,-94,-200,-200,-200,-200
1526460146058,-26,-49,-46,-48,-43,-58,-54,-52,-63,-58,-58,-62,-58,-63,-63,-57,-66,-200,-68,-69,-71,-71,-71,-73,-75,-75,-73,-76,-77,-77,-77,-78,-78,-200,-70,-79,-80,-80,-78,-88,-85,-79,-200,-200,-200,-200,-200
1526460149074,-27,-49,-46,-48,-43,-58,-54,-52,-63,-58,-58,-62,-58,-63,-63,-57,-66,-200,-68,-69,-71,-71,-71,-73,-75,-75,-73,-76,-77,-77,-77,-78,-78,-200,-70,-79,-80,-80,-78,-88,-85,-79,-200,-200,-200,-200,-200
1526460152096,-27,-39,-45,-48,-43,-61,-51,-52,-63,-57,-55,-62,-58,-66,-63,-53,-66,-66,-68,-69,-71,-71,-70,-73,-75,-75,-72,-80,-79,-77,-77,-78,-77,-200,-71,-79,-80,-80,-78,-88,-84,-79,-200,-200,-200,-200,-200
1526460155107,-28,-39,-45,-48,-43,-61,-51,-52,-63,-57,-55,-62,-58,-66,-63,-53,-66,-66,-68,-69,-71,-200,-70,-73,-75,-75,-72,-80,-79,-77,-77,-78,-77,-200,-71,-200,-80,-80,-78,-88,-84,-79,-200,-200,-200,-200,-200
1526460158136,-30,-35,-44,-43,-44,-61,-51,-53,-63,-61,-57,-62,-57,-66,-63,-55,-66,-66,-68,-69,-71,-200,-70,-73,-75,-75,-78,-80,-79,-77,-200,-78,-80,-200,-71,-200,-80,-80,-79,-83,-83,-78,-200,-200,-200,-200,-200
1526460161162,-31,-35,-44,-43,-44,-61,-51,-53,-63,-61,-57,-62,-57,-66,-63,-55,-66,-66,-68,-69,-71,-200,-70,-73,-75,-75,-78,-80,-79,-77,-200,-78,-80,-200,-71,-200,-80,-80,-79,-83,-83,-78,-200,-200,-200,-200,-200
1526460164197,-30,-38,-43,-44,-44,-61,-51,-54,-62,-61,-54,-57,-60,-69,-200,-55,-66,-69,-62,-66,-74,-200,-70,-73,-200,-75,-77,-80,-79,-77,-200,-78,-80,-200,-71,-200,-80,-200,-79,-80,-83,-83,-200,-81,-87,-200,-200
1526460167216,-29,-38,-43,-44,-44,-61,-51,-54,-62,-61,-54,-57,-60,-69,-200,-55,-66,-69,-62,-66,-74,-200,-70,-73,-200,-75,-77,-80,-79,-77,-200,-78,-80,-200,-71,-200,-80,-200,-79,-80,-83,-83,-200,-81,-87,-200,-200
1526460170236,-32,-34,-41,-44,-44,-58,-51,-58,-62,-64,-60,-58,-64,-63,-200,-55,-200,-70,-62,-66,-74,-200,-70,-73,-200,-200,-79,-80,-81,-200,-200,-200,-78,-200,-75,-200,-79,-200,-78,-80,-85,-83,-200,-81,-87,-200,-200
1526460173261,-33,-34,-41,-44,-44,-58,-51,-58,-62,-64,-60,-58,-64,-63,-200,-55,-200,-70,-62,-66,-74,-200,-70,-73,-200,-200,-79,-80,-81,-200,-200,-200,-78,-200,-75,-200,-79,-200,-78,-80,-85,-83,-200,-81,-87,-200,-200
1526460176275,-33,-34,-41,-43,-45,-57,-51,-51,-71,-67,-60,-55,-64,-63,-200,-54,-200,-70,-62,-70,-70,-200,-70,-73,-200,-200,-79,-87,-80,-200,-200,-82,-78,-200,-75,-200,-79,-200,-77,-82,-86,-83,-200,-81,-87,-200,-200
1526460179295,-36,-34,-41,-43,-45,-57,-51,-51,-71,-67,-60,-55,-64,-63,-200,-54,-200,-70,-62,-70,-70,-200,-70,-73,-200,-200,-79,-87,-80,-200,-200,-82,-78,-200,-75,-200,-79,-200,-77,-82,-86,-83,-200,-81,-87,-200,-200
1526460182306,-34,-34,-41,-43,-44,-57,-52,-55,-71,-65,-60,-59,-64,-63,-200,-54,-200,-67,-65,-70,-70,-200,-200,-78,-200,-200,-79,-87,-80,-200,-200,-82,-76,-200,-77,-200,-80,-200,-77,-82,-85,-83,-200,-81,-87,-94,-200
1526460185332,-36,-34,-41,-43,-44,-57,-52,-55,-71,-65,-60,-59,-64,-63,-200,-54,-200,-67,-65,-70,-70,-200,-200,-78,-200,-200,-79,-87,-80,-200,-200,-82,-76,-200,-77,-200,-80,-200,-77,-82,-85,-83,-200,-81,-87,-94,-200
1526460188343,-31,-32,-37,-43,-46,-57,-53,-52,-71,-65,-60,-60,-64,-63,-200,-54,-200,-68,-65,-73,-69,-200,-200,-78,-200,-200,-79,-87,-81,-200,-200,-82,-76,-200,-73,-200,-80,-200,-77,-82,-86,-83,-200,-81,-87,-94,-200
1526460191370,-34,-32,-37,-43,-46,-57,-53,-52,-71,-65,-60,-60,-64,-63,-200,-54,-200,-68,-65,-73,-69,-200,-200,-78,-200,-200,-79,-87,-81,-200,-200,-82,-76,-200,-73,-200,-80,-200,-77,-82,-86,-83,-200,-81,-87,-94,-200
