,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:13:b0,74:da:da:98:66:cc,74:da:da:98:90:2c,0c:73:eb:d0:19:80,74:da:da:c1:3c:11,0c:73:eb:d0:13:98,74:da:da:c0:d6:ed,0c:73:eb:d0:76:18,74:da:da:98:66:cd,74:da:da:98:90:94,74:da:da:c1:3c:85,74:da:da:98:74:74,74:da:da:c1:3c:45,74:da:da:c0:d9:39,74:da:da:98:90:2d,0c:73:eb:d0:13:c8,0c:73:eb:d0:19:90,74:da:da:98:74:34,74:da:da:c1:3d:2d,74:da:da:c0:d7:11,74:da:da:98:74:80,74:da:da:c1:3c:55,0c:73:eb:d0:11:c8,0c:73:eb:d0:19:c0,74:da:da:c1:3c:12,74:da:da:c1:02:91,0c:73:eb:d0:7e:d0,74:da:da:c1:3c:46,74:da:da:98:90:95,74:da:da:c1:3c:86,50:3a:a0:ea:01:66,74:da:da:c1:3b:19,74:da:da:c1:03:1d,74:da:da:98:ea:5c,74:da:da:c1:3c:56,74:da:da:c1:3c:4d,0c:73:eb:d0:76:10,74:da:da:c1:4a:69,74:da:da:c0:d6:f5,0c:73:eb:d0:19:c8,74:da:da:c1:25:a1,74:da:da:c0:d6:ee,0c:73:eb:d0:2a:50,74:da:da:c0:f3:59
1526459302937,-35,-36,-46,-48,-51,-52,-52,-54,-54,-54,-56,-57,-58,-62,-63,-65,-67,-68,-68,-69,-71,-71,-72,-74,-74,-77,-78,-79,-80,-80,-80,-81,-84,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459305957,-36,-44,-46,-51,-49,-54,-57,-50,-51,-54,-56,-61,-54,-62,-60,-65,-61,-78,-74,-69,-71,-71,-72,-74,-77,-77,-80,-82,-80,-85,-80,-81,-84,-86,-92,-82,-83,-90,-200,-200,-200,-200,-200,-200
1526459308968,-30,-44,-46,-51,-49,-54,-57,-50,-51,-54,-56,-61,-54,-62,-60,-65,-61,-78,-74,-69,-71,-71,-72,-74,-77,-77,-80,-82,-80,-85,-80,-81,-84,-200,-92,-82,-83,-90,-200,-200,-200,-200,-200,-200
1526459311986,-29,-41,-46,-51,-47,-54,-53,-58,-51,-54,-56,-61,-54,-62,-61,-60,-61,-78,-74,-69,-71,-71,-72,-74,-78,-77,-80,-83,-82,-85,-80,-81,-84,-200,-90,-82,-83,-90,-68,-200,-200,-200,-200,-200
1526459315011,-34,-41,-46,-51,-47,-54,-53,-58,-51,-54,-56,-61,-54,-62,-61,-60,-61,-78,-74,-69,-71,-71,-72,-74,-78,-77,-80,-83,-82,-85,-80,-81,-84,-200,-90,-82,-83,-90,-68,-200,-200,-200,-200,-200
1526459318034,-38,-40,-48,-53,-51,-53,-55,-58,-49,-54,-56,-61,-53,-62,-61,-60,-63,-78,-74,-73,-72,-67,-72,-74,-77,-77,-80,-86,-83,-86,-80,-200,-84,-200,-86,-82,-83,-90,-68,-200,-200,-200,-200,-200
1526459321055,-39,-40,-48,-53,-51,-53,-55,-58,-49,-54,-56,-61,-53,-62,-61,-60,-63,-78,-74,-73,-72,-67,-72,-74,-77,-77,-80,-86,-83,-86,-80,-200,-84,-200,-86,-82,-83,-90,-68,-200,-200,-200,-200,-200
1526459324070,-38,-44,-49,-52,-51,-53,-55,-53,-48,-54,-200,-63,-55,-68,-59,-62,-64,-78,-74,-73,-72,-66,-200,-71,-78,-77,-80,-87,-85,-86,-80,-200,-84,-200,-85,-82,-83,-90,-68,-200,-200,-200,-200,-200
1526459327089,-37,-44,-49,-52,-51,-53,-55,-53,-48,-54,-200,-63,-55,-68,-59,-62,-64,-78,-74,-73,-72,-66,-200,-71,-78,-77,-80,-87,-85,-86,-80,-200,-84,-200,-85,-82,-83,-90,-68,-200,-200,-200,-200,-200
1526459330112,-39,-42,-49,-51,-53,-56,-54,-53,-50,-63,-200,-67,-55,-68,-58,-64,-64,-78,-71,-73,-72,-66,-200,-73,-78,-77,-80,-81,-85,-87,-200,-200,-200,-200,-84,-82,-83,-81,-68,-80,-84,-200,-200,-200
1526459333124,-38,-42,-49,-51,-53,-56,-54,-53,-50,-63,-200,-67,-55,-68,-58,-64,-64,-78,-71,-73,-72,-66,-200,-73,-78,-77,-80,-81,-85,-87,-200,-200,-200,-200,-84,-82,-83,-81,-68,-80,-84,-200,-200,-200
