,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:13:b0,0c:73:eb:d0:76:18,74:da:da:98:66:cc,74:da:da:c1:3c:45,0c:73:eb:d0:19:80,74:da:da:98:90:2c,0c:73:eb:d0:19:90,74:da:da:98:66:cd,74:da:da:98:90:2d,74:da:da:c0:d9:39,0c:73:eb:d0:13:c8,74:da:da:98:74:74,74:da:da:c1:3c:55,74:da:da:98:90:94,0c:73:eb:d0:13:98,74:da:da:c1:3c:85,74:da:da:c0:d6:ed,74:da:da:c1:3d:2d,74:da:da:c1:3c:11,50:3a:a0:ea:01:66,74:da:da:c1:3c:46,74:da:da:98:74:80,0c:73:eb:d0:19:c8,74:da:da:98:ea:64,0c:73:eb:d0:2a:50,0c:73:eb:d0:19:c0,0c:73:eb:d0:19:a0,74:da:da:c1:3c:12,74:da:da:c1:3c:86,74:da:da:c0:d7:11,74:da:da:c0:f6:15,74:da:da:c1:3c:4d,74:da:da:98:90:95,74:da:da:98:74:34,0c:73:eb:d0:7e:d0,74:da:da:c1:3b:29,74:da:da:c1:3c:56,74:da:da:c0:d9:3a,74:da:da:98:8f:30,74:da:da:c0:d6:f5,0c:73:eb:d0:13:90,74:da:da:98:85:4c,74:da:da:c1:02:91,74:da:da:c1:5e:ed,74:da:da:c1:4a:69,74:da:da:98:ea:5c,74:da:da:c0:e0:6d,74:da:da:c1:03:2d,74:da:da:c1:3b:19,0c:73:eb:d0:11:e0
1526459685914,-37,-39,-43,-46,-49,-51,-53,-53,-55,-56,-58,-58,-61,-61,-62,-63,-65,-65,-68,-68,-69,-70,-72,-72,-75,-75,-75,-76,-81,-81,-81,-81,-84,-84,-85,-88,-90,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459688937,-32,-50,-39,-48,-60,-50,-56,-55,-57,-59,-58,-58,-65,-61,-56,-63,-62,-65,-49,-68,-77,-67,-74,-72,-75,-200,-75,-75,-83,-200,-200,-81,-84,-82,-76,-200,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459691956,-34,-50,-39,-48,-60,-50,-56,-55,-57,-59,-58,-58,-65,-61,-56,-63,-62,-200,-49,-68,-77,-67,-74,-72,-75,-200,-75,-75,-83,-200,-200,-81,-84,-82,-76,-200,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459694977,-35,-46,-37,-53,-48,-50,-56,-57,-56,-60,-58,-61,-65,-61,-61,-59,-62,-69,-49,-68,-81,-67,-69,-72,-75,-200,-75,-79,-81,-200,-200,-81,-85,-82,-76,-200,-86,-91,-200,-67,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459697987,-35,-46,-37,-53,-48,-50,-56,-57,-56,-60,-58,-61,-65,-61,-61,-59,-62,-69,-49,-68,-81,-67,-69,-72,-75,-200,-75,-79,-81,-200,-200,-81,-85,-82,-76,-200,-86,-91,-200,-67,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459701010,-34,-42,-37,-56,-45,-49,-60,-57,-54,-53,-62,-60,-65,-61,-59,-55,-64,-68,-47,-68,-80,-67,-69,-72,-79,-200,-75,-80,-82,-200,-200,-200,-85,-83,-76,-200,-86,-91,-200,-67,-78,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526459704031,-32,-42,-37,-56,-45,-49,-60,-57,-54,-53,-62,-60,-65,-61,-59,-55,-64,-68,-47,-68,-80,-67,-69,-72,-79,-200,-75,-80,-82,-200,-200,-200,-85,-83,-76,-200,-86,-91,-200,-67,-78,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526459707057,-35,-49,-35,-59,-47,-49,-64,-55,-58,-63,-62,-55,-69,-58,-56,-55,-60,-61,-54,-200,-83,-70,-75,-72,-79,-200,-200,-77,-80,-200,-200,-200,-88,-83,-76,-200,-86,-91,-200,-67,-78,-81,-80,-87,-200,-200,-200,-200,-200,-200
1526459710078,-32,-49,-35,-59,-47,-49,-64,-55,-58,-63,-62,-55,-69,-58,-56,-55,-60,-61,-54,-200,-83,-70,-75,-72,-79,-200,-200,-77,-80,-200,-200,-200,-88,-83,-76,-200,-86,-91,-200,-67,-78,-81,-80,-87,-200,-200,-200,-200,-200,-200
1526459713112,-32,-51,-39,-61,-48,-47,-65,-53,-58,-66,-59,-54,-65,-58,-58,-55,-57,-61,-54,-200,-83,-70,-71,-200,-85,-77,-200,-77,-80,-200,-200,-85,-88,-83,-76,-200,-86,-200,-200,-67,-78,-81,-80,-87,-200,-200,-200,-200,-200,-200
1526459716136,-35,-51,-39,-61,-48,-47,-65,-53,-58,-66,-59,-54,-65,-58,-58,-55,-57,-61,-54,-200,-83,-70,-71,-200,-85,-77,-200,-77,-80,-200,-200,-85,-88,-83,-76,-200,-86,-200,-200,-67,-78,-81,-80,-87,-200,-200,-200,-200,-200,-200
1526459719163,-34,-52,-39,-61,-50,-47,-64,-53,-58,-66,-62,-54,-69,-58,-58,-55,-57,-61,-54,-200,-84,-70,-71,-200,-85,-77,-200,-77,-81,-200,-200,-85,-87,-83,-200,-200,-86,-200,-200,-67,-78,-81,-80,-87,-87,-200,-200,-200,-200,-200
1526459722184,-29,-52,-39,-61,-50,-47,-64,-53,-58,-66,-62,-54,-69,-58,-58,-55,-57,-61,-54,-200,-84,-70,-71,-200,-85,-77,-200,-77,-81,-200,-200,-85,-87,-83,-200,-200,-86,-200,-200,-67,-78,-81,-80,-87,-87,-200,-200,-200,-200,-200
1526459725199,-32,-50,-37,-57,-56,-47,-59,-52,-55,-66,-54,-57,-65,-58,-54,-55,-56,-59,-47,-200,-76,-70,-68,-200,-82,-77,-200,-77,-77,-200,-200,-85,-88,-83,-200,-85,-87,-200,-200,-200,-200,-81,-80,-87,-87,-200,-200,-200,-200,-200
1526459728218,-31,-50,-37,-57,-56,-47,-59,-52,-55,-66,-54,-57,-65,-58,-54,-55,-56,-59,-47,-200,-76,-70,-68,-200,-82,-77,-200,-77,-77,-200,-200,-85,-88,-83,-200,-85,-87,-200,-200,-200,-200,-81,-80,-87,-87,-200,-200,-200,-200,-200
