,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D013A8,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,TP-LINK_1398,whu2011314,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7a:68,74:da:da:c0:d7:0d,74:da:da:c0:d7:19,74:da:da:c1:6b:4d,ec:26:ca:0b:d4:1e,74:da:da:c1:3a:dd,0c:73:eb:d0:11:e0,0c:73:eb:d0:7c:08,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:28,0c:73:eb:d0:13:a8,0c:73:eb:d0:7f:10,74:da:da:c0:f4:69,74:da:da:c0:d7:b9,74:da:da:c1:56:ed,74:da:da:c0:f3:01,74:da:da:c0:e2:d9,0c:73:eb:d0:13:d0,74:da:da:c1:48:bd,74:da:da:c1:3c:f5,74:da:da:c1:3a:81,74:da:da:98:85:00,0c:73:eb:d0:7c:00,0c:73:eb:d0:7c:38,0c:73:eb:d0:7f:08,74:da:da:98:91:d4,0c:73:eb:d0:11:f8,74:da:da:98:92:14,0c:73:eb:d0:7e:e8,74:da:da:c1:3c:51,0c:73:eb:d0:7c:40,74:da:da:98:85:60,74:da:da:c1:56:a1,74:da:da:c0:e0:69,0c:73:eb:d0:7e:f8,0c:73:eb:d0:11:f0,0c:73:eb:d0:11:e8,d8:15:0d:6c:13:98,c0:61:18:93:35:28,0c:73:eb:d0:7c:30,74:da:da:c1:3a:8d,0c:73:eb:d0:19:b8,74:da:da:c0:d8:1d,74:da:da:98:8f:30,74:da:da:c0:e0:71,74:da:da:c0:f6:15,0c:73:eb:d0:7e:e0,74:da:da:c1:25:e5
1526448467883,-30,-40,-47,-49,-52,-53,-56,-58,-60,-62,-62,-62,-63,-64,-66,-67,-67,-68,-69,-69,-69,-70,-73,-73,-73,-73,-74,-74,-76,-77,-79,-79,-80,-81,-81,-81,-82,-83,-86,-87,-87,-89,-200,-200,-200,-200,-200,-200
1526448470925,-29,-41,-47,-51,-50,-57,-56,-58,-60,-61,-62,-64,-63,-60,-66,-67,-67,-68,-69,-69,-62,-70,-72,-64,-73,-76,-69,-70,-69,-81,-75,-83,-72,-81,-81,-200,-82,-88,-86,-87,-87,-200,-89,-200,-200,-200,-200,-200
1526448473963,-29,-41,-47,-51,-50,-57,-56,-58,-60,-61,-62,-64,-63,-60,-66,-67,-67,-68,-69,-69,-62,-70,-72,-64,-73,-76,-69,-70,-69,-81,-75,-83,-72,-81,-81,-200,-82,-88,-86,-87,-87,-200,-89,-200,-200,-200,-200,-200
1526448477007,-29,-41,-47,-51,-50,-57,-56,-58,-60,-61,-62,-64,-63,-60,-66,-67,-67,-68,-69,-69,-62,-70,-72,-64,-73,-76,-69,-70,-69,-81,-75,-83,-72,-81,-81,-200,-82,-88,-86,-87,-87,-200,-89,-200,-200,-200,-200,-200
1526448480046,-37,-40,-49,-44,-47,-60,-55,-60,-55,-67,-58,-58,-67,-59,-78,-200,-71,-67,-200,-67,-57,-200,-72,-63,-74,-76,-69,-70,-69,-85,-75,-83,-72,-200,-200,-200,-77,-88,-89,-200,-200,-80,-89,-200,-200,-200,-200,-200
1526448483078,-31,-39,-49,-44,-49,-59,-55,-60,-54,-67,-59,-61,-67,-59,-78,-200,-68,-67,-67,-67,-57,-200,-72,-62,-74,-76,-76,-72,-69,-85,-75,-83,-72,-200,-80,-200,-82,-88,-89,-200,-200,-80,-89,-90,-200,-200,-200,-200
1526448486125,-31,-39,-49,-44,-49,-59,-55,-60,-54,-67,-59,-61,-67,-59,-78,-200,-68,-67,-67,-67,-57,-200,-72,-62,-74,-76,-76,-72,-69,-85,-75,-83,-72,-200,-80,-200,-82,-88,-89,-200,-200,-80,-89,-90,-200,-200,-200,-200
1526448489158,-31,-39,-49,-44,-49,-59,-55,-60,-54,-67,-59,-61,-67,-59,-78,-200,-68,-67,-67,-67,-57,-200,-72,-62,-74,-76,-76,-72,-69,-85,-75,-83,-72,-200,-80,-200,-82,-88,-89,-200,-200,-80,-89,-90,-200,-200,-200,-200
1526448492193,-33,-39,-49,-45,-45,-60,-56,-61,-59,-66,-59,-60,-80,-59,-200,-200,-68,-65,-63,-200,-58,-200,-70,-62,-79,-77,-76,-72,-77,-200,-200,-84,-72,-200,-80,-200,-82,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526448495235,-33,-40,-48,-45,-48,-55,-56,-67,-59,-66,-59,-60,-80,-59,-75,-200,-70,-66,-70,-69,-58,-200,-71,-61,-79,-77,-76,-73,-77,-85,-81,-84,-72,-81,-75,-200,-82,-200,-200,-200,-200,-200,-200,-90,-87,-200,-200,-200
1526448498276,-33,-40,-48,-45,-48,-55,-56,-67,-59,-66,-59,-60,-80,-59,-75,-200,-70,-66,-70,-69,-58,-200,-71,-61,-79,-77,-76,-73,-77,-85,-81,-84,-72,-81,-75,-200,-82,-200,-200,-200,-200,-200,-200,-90,-87,-200,-200,-200
