,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:7a:68,ec:26:ca:0b:d4:1e,74:da:da:c0:d7:0d,74:da:da:c1:3a:dd,74:da:da:c1:6b:4d,0c:73:eb:d0:7c:28,0c:73:eb:d0:7c:08,74:da:da:c1:3a:81,74:da:da:c0:d7:19,74:da:da:c1:48:bd,0c:73:eb:d0:7f:18,74:da:da:c0:f4:69,74:da:da:c0:d7:b9,0c:73:eb:d0:13:a8,0c:73:eb:d0:11:e0,74:da:da:c0:f3:01,0c:73:eb:d0:7c:38,0c:73:eb:d0:11:f8,0c:73:eb:d0:7c:00,74:da:da:98:92:14,74:da:da:c1:56:ed,74:da:da:c0:e2:d9,0c:73:eb:d0:7e:e8,74:da:da:98:85:00,0c:73:eb:d0:7f:08,0c:73:eb:d0:13:d0,0c:73:eb:d0:7c:40,0c:73:eb:d0:7e:f8,74:da:da:98:91:d4,d8:15:0d:6c:13:98,0c:73:eb:d0:7f:10,74:da:da:c1:3c:f5,74:da:da:c1:3a:8d,74:da:da:c0:e0:69,74:da:da:c1:56:a1,74:da:da:c1:3c:51,0c:73:eb:d0:11:e8,0c:73:eb:d0:13:d8,74:da:da:c1:3c:cd,74:da:da:98:85:60,74:da:da:c0:f6:15,c0:61:18:93:35:28,0c:73:eb:d0:11:f0,74:da:da:c1:03:2d,74:da:da:c1:25:e5,74:da:da:c0:e0:71,0c:73:eb:d0:13:a0,74:da:da:c0:d8:1d,0c:73:eb:d0:7e:e0
1526448848792,-32,-33,-34,-50,-50,-56,-59,-59,-59,-59,-62,-64,-65,-65,-65,-67,-68,-70,-72,-73,-73,-74,-74,-74,-75,-75,-76,-76,-76,-76,-77,-77,-77,-78,-79,-82,-84,-85,-87,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526448851829,-32,-38,-42,-50,-50,-57,-65,-69,-55,-71,-60,-64,-62,-66,-59,-67,-64,-70,-71,-73,-73,-74,-79,-200,-75,-67,-74,-76,-76,-200,-70,-200,-77,-200,-79,-76,-200,-85,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448854868,-33,-44,-31,-50,-49,-61,-61,-72,-46,-71,-60,-75,-67,-66,-59,-65,-62,-71,-67,-73,-69,-66,-79,-200,-77,-65,-76,-76,-73,-200,-62,-64,-82,-200,-73,-76,-200,-85,-87,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526448857899,-33,-44,-31,-50,-49,-61,-61,-72,-46,-71,-60,-75,-67,-66,-59,-65,-62,-71,-67,-73,-69,-66,-79,-200,-77,-65,-76,-76,-73,-200,-62,-64,-82,-200,-73,-76,-200,-85,-87,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526448860931,-31,-43,-30,-48,-49,-58,-62,-70,-43,-73,-60,-75,-67,-64,-57,-67,-64,-70,-67,-73,-72,-66,-73,-74,-79,-65,-76,-80,-71,-200,-63,-62,-82,-200,-73,-83,-80,-200,-200,-71,-89,-90,-83,-86,-87,-200,-200,-200,-200
1526448863977,-27,-42,-30,-47,-47,-58,-62,-70,-43,-73,-59,-77,-68,-67,-57,-67,-62,-77,-67,-73,-72,-66,-73,-74,-79,-75,-76,-80,-71,-200,-63,-62,-82,-200,-80,-83,-80,-200,-200,-71,-89,-90,-83,-86,-87,-90,-200,-200,-200
1526448867021,-27,-42,-30,-47,-47,-58,-62,-70,-43,-73,-59,-77,-68,-67,-57,-67,-62,-77,-67,-73,-72,-66,-73,-74,-79,-75,-76,-80,-71,-200,-63,-62,-82,-200,-80,-83,-80,-200,-200,-71,-89,-90,-83,-86,-87,-90,-200,-200,-200
1526448870069,-27,-42,-30,-47,-47,-58,-62,-70,-43,-73,-59,-77,-68,-67,-57,-67,-62,-77,-67,-73,-72,-66,-73,-74,-79,-75,-76,-80,-71,-200,-63,-62,-82,-200,-80,-83,-80,-200,-200,-71,-89,-90,-83,-86,-87,-90,-200,-200,-200
1526448873116,-26,-42,-30,-47,-47,-57,-62,-67,-43,-200,-60,-77,-68,-68,-59,-66,-64,-77,-65,-200,-200,-200,-70,-72,-77,-64,-74,-81,-73,-84,-63,-62,-83,-200,-80,-200,-200,-200,-86,-71,-200,-200,-83,-200,-75,-90,-86,-200,-200
