,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:6b:4d,0c:73:eb:d0:7a:68,74:da:da:c0:d7:0d,ec:26:ca:0b:d4:1e,0c:73:eb:d0:11:e0,74:da:da:c0:f3:01,0c:73:eb:d0:13:a8,74:da:da:c1:3a:81,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:38,0c:73:eb:d0:7c:08,0c:73:eb:d0:7c:28,74:da:da:c1:3a:dd,74:da:da:c1:3c:f5,74:da:da:c0:d7:19,0c:73:eb:d0:7f:10,0c:73:eb:d0:13:d0,0c:73:eb:d0:7c:00,74:da:da:c0:d7:b9,74:da:da:98:92:14,74:da:da:c1:48:bd,0c:73:eb:d0:11:f8,74:da:da:c0:e2:d9,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7f:08,74:da:da:c0:f4:69,74:da:da:98:91:d4,74:da:da:98:85:60,0c:73:eb:d0:11:e8,74:da:da:98:85:00,0c:73:eb:d0:7c:40,0c:73:eb:d0:7e:e0,74:da:da:c1:56:ed,0c:73:eb:d0:19:b8,74:da:da:c0:e0:69,74:da:da:c0:e0:71,c0:61:18:93:35:28,74:da:da:c1:3c:e1,74:da:da:c0:d8:1d,74:da:da:c1:3c:51,74:da:da:c1:3b:c9,74:da:da:c1:3c:4d,74:da:da:c1:3a:8d,74:da:da:c1:56:a1,0c:73:eb:d0:13:d8,d8:15:0d:6c:13:98,74:da:da:c1:25:e5,0c:73:eb:d0:13:a0,74:da:da:98:85:4c,74:da:da:98:ea:50,74:da:da:c0:f6:15
1526448541496,-41,-43,-44,-46,-58,-58,-59,-60,-62,-63,-64,-64,-64,-66,-67,-67,-68,-70,-70,-70,-72,-72,-73,-73,-73,-75,-75,-76,-77,-77,-78,-79,-79,-81,-82,-85,-87,-88,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448544529,-50,-39,-37,-45,-60,-67,-59,-66,-64,-63,-65,-60,-56,-66,-63,-70,-78,-82,-74,-70,-70,-77,-73,-73,-200,-74,-75,-87,-76,-200,-77,-77,-200,-79,-200,-85,-87,-88,-90,-91,-84,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448547568,-50,-39,-37,-45,-60,-67,-59,-66,-64,-63,-65,-60,-56,-66,-63,-70,-78,-82,-74,-70,-70,-77,-73,-73,-200,-74,-75,-87,-76,-200,-77,-77,-200,-79,-200,-85,-87,-88,-90,-91,-84,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448550616,-50,-39,-37,-45,-60,-67,-59,-66,-64,-63,-65,-60,-56,-66,-63,-70,-78,-82,-74,-70,-70,-77,-73,-73,-200,-74,-75,-87,-76,-200,-77,-77,-200,-79,-200,-85,-87,-88,-90,-91,-84,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448553652,-50,-45,-37,-45,-60,-63,-200,-59,-71,-200,-65,-57,-56,-91,-63,-67,-83,-81,-74,-200,-70,-76,-77,-200,-200,-76,-200,-87,-75,-200,-76,-78,-200,-83,-200,-85,-200,-200,-200,-89,-84,-85,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526448556690,-51,-44,-38,-45,-63,-63,-200,-61,-71,-200,-66,-60,-56,-91,-62,-71,-83,-81,-70,-200,-68,-74,-77,-200,-200,-76,-200,-87,-76,-200,-76,-75,-200,-81,-200,-85,-200,-200,-200,-89,-85,-85,-90,-89,-77,-82,-200,-200,-200,-200,-200,-200
1526448559730,-51,-44,-38,-45,-63,-63,-200,-61,-71,-200,-66,-60,-56,-91,-62,-71,-83,-81,-70,-200,-68,-74,-77,-200,-200,-76,-200,-87,-76,-200,-76,-75,-200,-81,-200,-85,-200,-200,-200,-89,-85,-85,-90,-89,-77,-82,-200,-200,-200,-200,-200,-200
1526448562770,-51,-44,-38,-45,-63,-63,-200,-61,-71,-200,-66,-60,-56,-91,-62,-71,-83,-81,-70,-200,-68,-74,-77,-200,-200,-76,-200,-87,-76,-200,-76,-75,-200,-81,-200,-85,-200,-200,-200,-89,-85,-85,-90,-89,-77,-82,-200,-200,-200,-200,-200,-200
1526448565818,-51,-49,-41,-47,-58,-66,-200,-60,-69,-80,-65,-64,-56,-200,-61,-67,-200,-200,-70,-200,-74,-74,-200,-200,-200,-75,-70,-200,-72,-200,-76,-75,-200,-81,-200,-85,-200,-200,-200,-200,-85,-200,-200,-200,-78,-78,-77,-200,-200,-200,-200,-200
