,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1
,78:A5:04:41:E7:D5,78:A5:04:41:EB:CE,78:A5:04:41:E7:EF,78:A5:04:41:E5:70,7C:66:9D:7B:46:8C,78:A5:04:41:EE:15,78:A5:04:41:EB:98,78:A5:04:41:E7:A2,78:A5:04:41:E5:62,7C:66:9D:7B:47:3D,78:A5:04:41:E7:98,78:A5:04:41:EE:1D,78:A5:04:41:E9:8A,BC:6A:29:BE:2F:12,78:A5:04:41:E7:88,7C:66:9D:7B:2B:CB
1526443602159,-82,-70,-85,-68,-92,-66,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443602274,-82,-200,-87,-68,-94,-66,-200,-88,-90,-90,-79,-200,-200,-200,-200,-200
1526443602377,-81,-76,-86,-68,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526443602481,-82,-78,-86,-200,-200,-79,-81,-86,-200,-95,-200,-81,-90,-200,-200,-200
1526443607114,-200,-82,-200,-200,-200,-200,-200,-86,-200,-200,-200,-81,-90,-101,-200,-200
1526443607222,-87,-83,-200,-200,-200,-81,-81,-86,-200,-200,-200,-81,-90,-200,-200,-200
1526443607335,-88,-84,-200,-200,-200,-82,-200,-85,-200,-98,-200,-200,-200,-200,-200,-200
1526443607445,-200,-85,-200,-200,-200,-200,-200,-200,-200,-99,-200,-200,-90,-200,-200,-200
1526443612031,-200,-78,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-90,-200,-85,-200
1526443612138,-84,-78,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526443612246,-84,-79,-200,-84,-200,-78,-83,-89,-200,-200,-200,-88,-200,-200,-84,-200
1526443612430,-83,-200,-200,-83,-200,-76,-82,-90,-200,-92,-200,-200,-200,-200,-200,-200
1526443617423,-81,-200,-200,-69,-200,-66,-80,-88,-200,-93,-200,-200,-200,-102,-200,-200
