,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:15,78:A5:04:41:E5:70,78:A5:04:41:E7:98,78:A5:04:41:E7:D5,78:A5:04:41:E7:88,78:A5:04:41:EB:CE,7C:66:9D:7B:46:8C,7C:66:9D:7B:47:3D,78:A5:04:41:EE:1D,78:A5:04:41:EB:98,78:A5:04:41:E7:EF
1526444132172,-69,-77,-81,-82,-83,-56,-101,-200,-200,-200,-200
1526444132389,-73,-76,-200,-82,-83,-57,-200,-94,-200,-200,-200
1526444132480,-70,-200,-82,-82,-200,-57,-200,-200,-200,-200,-200
1526444137046,-200,-200,-200,-88,-200,-59,-200,-200,-200,-200,-200
1526444137143,-200,-200,-200,-88,-200,-200,-200,-200,-87,-200,-200
1526444137251,-69,-76,-200,-88,-200,-59,-200,-200,-86,-200,-200
1526444137353,-71,-76,-200,-88,-200,-60,-200,-200,-200,-200,-200
1526444137506,-68,-76,-86,-200,-200,-200,-104,-200,-200,-200,-200
1526444142057,-200,-76,-85,-85,-86,-200,-103,-200,-82,-200,-200
1526444142213,-200,-77,-85,-200,-200,-56,-200,-200,-83,-200,-200
1526444142313,-79,-200,-86,-85,-86,-56,-200,-200,-82,-200,-200
1526444147033,-68,-77,-79,-82,-84,-57,-200,-95,-80,-200,-200
1526444147134,-68,-77,-80,-82,-84,-57,-200,-200,-80,-200,-200
1526444147249,-68,-77,-200,-82,-84,-57,-200,-200,-80,-89,-200
1526444147368,-68,-76,-79,-83,-200,-57,-200,-95,-80,-200,-200
1526444147468,-67,-77,-89,-200,-200,-58,-200,-200,-200,-200,-200
1526444152139,-68,-76,-89,-87,-200,-58,-200,-200,-200,-200,-90
1526444152243,-68,-200,-200,-200,-200,-58,-200,-200,-200,-200,-200
1526444152350,-68,-200,-88,-88,-200,-58,-200,-200,-200,-200,-88
1526444152477,-68,-200,-200,-88,-200,-55,-200,-200,-200,-200,-89
1526444157070,-66,-76,-200,-200,-200,-55,-200,-200,-82,-200,-200
1526444157174,-66,-200,-86,-85,-84,-55,-200,-102,-82,-200,-200
1526444157286,-66,-200,-200,-200,-200,-55,-200,-200,-82,-200,-200
1526444157387,-66,-76,-86,-86,-83,-55,-200,-200,-83,-200,-200
1526444162033,-69,-79,-200,-200,-200,-200,-200,-95,-82,-200,-200
1526444162127,-69,-78,-79,-83,-200,-200,-200,-200,-82,-200,-200
1526444162233,-69,-78,-79,-83,-82,-200,-200,-200,-200,-200,-200
1526444162337,-200,-78,-79,-83,-82,-200,-200,-200,-200,-200,-200
1526444162438,-69,-77,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526444167080,-70,-84,-89,-87,-200,-58,-200,-200,-90,-200,-200
1526444167178,-71,-84,-88,-200,-200,-58,-200,-200,-200,-200,-90
1526444167293,-70,-84,-89,-86,-200,-59,-200,-200,-200,-200,-200
1526444167426,-69,-200,-200,-200,-82,-58,-200,-98,-200,-200,-200
1526444172095,-79,-200,-85,-86,-83,-56,-200,-200,-84,-200,-200
1526444172188,-80,-79,-85,-85,-83,-57,-200,-200,-84,-200,-200
1526444172298,-80,-80,-85,-85,-82,-57,-200,-200,-84,-200,-200
1526444172425,-200,-79,-86,-85,-83,-57,-200,-200,-200,-200,-200
1526444177035,-75,-79,-79,-83,-83,-56,-200,-96,-200,-200,-200
1526444177134,-200,-200,-79,-82,-200,-56,-200,-200,-200,-200,-200
1526444177295,-75,-200,-78,-83,-83,-57,-200,-97,-80,-200,-200
1526444177394,-75,-78,-78,-83,-83,-57,-200,-96,-80,-200,-200
1526444177511,-200,-89,-78,-85,-200,-63,-200,-200,-200,-200,-200
1526444182703,-70,-89,-89,-200,-200,-58,-200,-200,-200,-200,-91
1526444182798,-77,-89,-90,-84,-90,-200,-200,-96,-200,-200,-200
1526444187263,-83,-79,-200,-82,-82,-62,-200,-97,-200,-200,-200
1526444187535,-75,-79,-200,-82,-200,-57,-200,-200,-200,-90,-200
1526444187645,-200,-200,-78,-83,-200,-57,-200,-97,-79,-200,-200
1526444192205,-200,-78,-87,-200,-200,-56,-200,-100,-84,-200,-200
1526444192624,-200,-200,-200,-200,-200,-64,-101,-99,-200,-200,-200
