,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:21,7C:66:9D:7B:47:FC,78:A5:04:41:EB:E8,78:A5:04:41:EB:D1
1526459740562,-97,-95,-200,-200
1526459740875,-98,-200,-200,-200
1526459750529,-96,-95,-200,-200
1526459750679,-200,-94,-94,-200
1526459750791,-200,-94,-91,-200
1526459755611,-200,-96,-94,-96
1526459755864,-200,-99,-200,-200
1526459765601,-200,-95,-92,-200
1526459770536,-200,-93,-93,-200
1526459770715,-200,-97,-93,-200
1526459770861,-96,-95,-200,-200
1526459780755,-100,-76,-200,-200
1526459785507,-200,-97,-200,-200
1526459785617,-200,-96,-200,-200
1526459785718,-200,-96,-200,-200
1526459785819,-200,-96,-200,-200
1526459785966,-200,-97,-200,-200
