,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:21,78:A5:04:41:EB:E8,78:A5:04:41:EB:D1
1526459825218,-90,-91,-200
1526459835523,-91,-200,-200
1526459835622,-93,-200,-200
1526459835929,-91,-200,-91
1526459860529,-97,-200,-200
1526459865555,-72,-200,-200
1526459865656,-95,-200,-200
1526459865973,-92,-200,-200
1526459870552,-68,-200,-200
1526459870663,-85,-94,-200
1526459880576,-92,-200,-200
1526459880646,-73,-200,-91
1526459880980,-93,-200,-200
1526459885701,-69,-91,-200
