,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,7C:66:9D:7B:2E:21,78:A5:04:41:EB:E8,78:A5:04:41:EB:D1,7C:66:9D:7B:47:FC
1526460165506,-96,-96,-200,-200
1526460170474,-97,-89,-95,-200
1526460190500,-91,-200,-200,-200
1526460190926,-90,-200,-200,-200
1526460205547,-97,-92,-200,-200
1526460205648,-94,-200,-200,-200
1526460205981,-96,-200,-200,-93
1526460210712,-200,-200,-200,-96
