,null,vlucci.com AC-V1.4.0.0,null
,7C:66:9D:7B:2E:21,78:A5:04:41:EB:E8,7C:66:9D:7B:47:FC
1526460815748,-92,-200,-200
1526460815909,-91,-90,-200
1526460830512,-90,-200,-200
1526460830737,-92,-200,-200
1526460830859,-92,-200,-94
1526460845477,-92,-200,-200
1526460845584,-91,-90,-99
1526460855966,-89,-90,-98
1526460860583,-89,-200,-200
1526460860696,-90,-94,-98
1526460870963,-200,-200,-81
