,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:08,78:A5:04:41:E9:82,78:A5:04:41:E9:D7,78:A5:04:41:E9:EB,7C:66:9D:7B:47:FC,BC:6A:29:BE:31:7F,78:A5:04:41:EB:FB,78:A5:04:41:E9:8A,78:A5:04:41:E5:62,78:A5:04:41:E7:EF,7C:66:9D:7B:2E:21,78:A5:04:41:E5:34,78:A5:04:41:E5:59,78:A5:04:41:E7:D5,78:A5:04:41:E7:98,78:A5:04:41:E9:D2,78:A5:04:41:EB:98,78:A5:04:41:E9:92,78:A5:04:41:E7:88
1526441333322,-200,-200,-200,-200,-200,-87,-200,-72,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
1526441333442,-74,-74,-200,-68,-104,-85,-83,-72,-200,-200,-100,-200,-200,-200,-200,-200,-200,-200,-200
1526441333636,-200,-200,-74,-200,-200,-86,-74,-200,-87,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526441338323,-200,-76,-66,-200,-200,-88,-65,-68,-200,-84,-90,-200,-200,-200,-200,-200,-200,-78,-200
1526441338424,-70,-75,-66,-64,-200,-200,-65,-200,-79,-84,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526441338527,-70,-200,-66,-64,-98,-89,-200,-200,-200,-84,-93,-200,-200,-200,-200,-86,-200,-75,-200
1526441338640,-200,-76,-66,-65,-97,-88,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441338752,-200,-74,-69,-62,-98,-82,-200,-68,-80,-82,-97,-200,-200,-86,-200,-200,-200,-200,-200
1526441343477,-69,-200,-69,-62,-96,-80,-66,-68,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441343585,-200,-200,-69,-200,-96,-81,-66,-200,-80,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200
1526441343734,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200
