,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:47:FC,7C:66:9D:7B:2E:21,78:A5:04:41:EB:E8,78:A5:04:41:EE:08,78:A5:04:41:E9:92,78:A5:04:41:E9:82,78:A5:04:41:E7:D5,78:A5:04:41:E5:34,BC:6A:29:BE:31:7F,78:A5:04:41:E9:D7,78:A5:04:41:E9:D2,78:A5:04:41:EB:FB,BC:6A:29:BE:2F:54,78:A5:04:41:E9:EB,78:A5:04:41:E9:8A,78:A5:04:41:E5:62,78:A5:04:41:E7:98,78:A5:04:41:E7:88,78:A5:04:41:EB:98,78:A5:04:41:EB:D1,78:A5:04:41:E7:EF
1526441199267,-94,-99,-84,-77,-74,-88,-86,-81,-92,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441199363,-94,-97,-86,-77,-74,-88,-86,-80,-200,-62,-80,-78,-100,-200,-200,-200,-200,-200,-200,-200,-200
1526441199545,-200,-200,-200,-74,-200,-200,-87,-81,-200,-200,-200,-78,-200,-62,-81,-200,-200,-200,-200,-200,-200
1526441204177,-87,-200,-88,-200,-200,-80,-81,-200,-200,-61,-77,-200,-200,-200,-66,-78,-200,-200,-200,-200,-200
1526441204286,-88,-200,-200,-74,-200,-200,-200,-200,-200,-61,-200,-200,-97,-66,-66,-200,-200,-200,-200,-200,-200
1526441204415,-88,-200,-88,-200,-200,-200,-80,-200,-85,-200,-200,-200,-200,-66,-200,-79,-88,-200,-200,-200,-200
1526441204526,-200,-200,-200,-200,-200,-80,-80,-200,-83,-200,-200,-74,-200,-200,-67,-79,-200,-200,-200,-200,-200
1526441209162,-95,-200,-200,-200,-66,-200,-200,-200,-92,-75,-200,-200,-200,-64,-68,-200,-90,-200,-200,-200,-200
1526441209258,-200,-94,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-95,-200,-200,-200,-89,-86,-200,-200,-200
1526441209360,-93,-200,-200,-200,-200,-200,-200,-200,-92,-78,-200,-80,-200,-200,-200,-200,-200,-200,-86,-200,-200
1526441209497,-200,-97,-200,-76,-64,-84,-200,-200,-94,-200,-200,-77,-96,-66,-68,-200,-200,-200,-82,-200,-200
1526441214234,-200,-200,-200,-78,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-76,-82,-200,-200,-200,-200,-200
1526441214325,-101,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-78,-200,-200,-86,-83,-200,-200,-200,-200,-200
1526441214466,-94,-200,-200,-200,-72,-200,-200,-200,-200,-67,-75,-200,-200,-200,-76,-79,-200,-200,-200,-200,-200
1526441219191,-88,-93,-200,-75,-79,-200,-200,-84,-200,-200,-76,-74,-95,-68,-66,-200,-200,-200,-200,-200,-200
1526441219307,-200,-95,-200,-75,-79,-200,-80,-200,-200,-62,-200,-200,-200,-200,-66,-200,-200,-200,-200,-89,-200
1526441219423,-200,-200,-200,-75,-200,-79,-80,-200,-200,-62,-75,-74,-200,-68,-66,-200,-200,-200,-200,-88,-200
1526441219519,-200,-200,-87,-75,-200,-200,-80,-83,-200,-62,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200
1526441224206,-92,-200,-200,-76,-200,-88,-200,-90,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-84,-200,-200
1526441224312,-200,-95,-200,-76,-66,-88,-200,-89,-95,-200,-89,-200,-95,-64,-200,-200,-200,-200,-200,-200,-200
1526441224431,-91,-200,-200,-76,-66,-87,-200,-200,-95,-70,-200,-80,-200,-64,-72,-200,-200,-200,-83,-200,-200
1526441224543,-200,-200,-200,-76,-66,-88,-200,-200,-200,-200,-200,-81,-200,-64,-200,-200,-200,-200,-200,-200,-200
1526441229165,-200,-96,-88,-200,-200,-80,-200,-82,-92,-64,-84,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200
1526441229289,-200,-96,-88,-200,-200,-81,-200,-82,-200,-200,-200,-200,-200,-66,-81,-90,-200,-200,-200,-200,-200
1526441229393,-200,-97,-200,-77,-200,-200,-200,-200,-92,-64,-200,-200,-200,-66,-200,-86,-200,-200,-200,-200,-200
1526441229496,-90,-97,-200,-75,-200,-83,-200,-81,-200,-64,-75,-200,-94,-200,-200,-78,-200,-200,-200,-200,-200
1526441234239,-200,-200,-200,-75,-74,-84,-200,-200,-200,-61,-75,-200,-200,-63,-73,-78,-86,-200,-200,-88,-200
1526441234301,-90,-200,-200,-200,-74,-200,-84,-200,-200,-61,-74,-200,-200,-63,-73,-78,-88,-200,-200,-200,-200
1526441234437,-200,-93,-200,-75,-200,-200,-200,-84,-200,-62,-200,-76,-200,-200,-73,-78,-87,-200,-200,-200,-200
1526441234570,-200,-102,-200,-200,-70,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526441239271,-200,-94,-200,-75,-68,-200,-200,-200,-100,-200,-200,-200,-200,-200,-74,-200,-200,-200,-83,-200,-200
1526441239380,-92,-94,-200,-200,-200,-200,-200,-200,-97,-200,-87,-82,-96,-200,-200,-200,-200,-200,-83,-200,-200
1526441239481,-200,-200,-200,-75,-200,-200,-200,-200,-98,-72,-87,-200,-200,-65,-200,-90,-200,-200,-83,-200,-200
1526441239580,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441244216,-200,-200,-200,-74,-200,-200,-200,-80,-95,-65,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526441244314,-97,-200,-86,-200,-200,-200,-200,-80,-94,-64,-200,-83,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526441244414,-200,-200,-86,-74,-70,-80,-200,-80,-94,-64,-200,-200,-200,-69,-79,-200,-200,-200,-200,-200,-200
1526441244520,-97,-200,-87,-75,-76,-81,-200,-83,-200,-60,-74,-200,-99,-72,-200,-85,-200,-200,-200,-200,-200
1526441249251,-200,-92,-200,-75,-200,-200,-200,-200,-200,-60,-74,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200
