,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,74:da:da:c1:3a:8d,74:da:da:c1:02:8d,74:da:da:c1:02:91,0c:73:eb:d0:13:d8,0c:73:eb:d0:11:d8,74:da:da:c1:03:2d,0c:73:eb:d0:7c:40,74:da:da:c1:3a:dd,74:da:da:c1:3a:81,d8:15:0d:6c:13:98,74:da:da:c1:03:21,0c:73:eb:d0:7f:00,0c:73:eb:d0:11:f8,0c:73:eb:d0:13:98,0c:73:eb:d0:19:80,74:da:da:c0:f6:15,74:da:da:98:74:74,0c:73:eb:d0:13:b0,74:da:da:c1:3b:19,74:da:da:c0:d9:39,74:da:da:98:66:cc,0c:73:eb:d0:13:b8,74:da:da:98:90:2c,74:da:da:c1:3d:2d,74:da:da:c1:3b:29,74:da:da:c0:f3:05,74:da:da:c1:6b:4d,74:da:da:c0:d8:3d,74:da:da:98:91:d4,0c:73:eb:d0:7c:28,0c:73:eb:d0:19:88
1526461553578,-54,-65,-66,-72,-72,-73,-73,-74,-77,-80,-83,-84,-87,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461556608,-49,-57,-71,-75,-61,-79,-72,-71,-70,-80,-83,-78,-81,-89,-200,-85,-78,-78,-84,-86,-87,-88,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461559635,-49,-57,-71,-75,-61,-79,-72,-71,-70,-80,-83,-78,-81,-89,-200,-85,-78,-78,-84,-86,-87,-88,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461562651,-49,-57,-71,-75,-61,-79,-72,-71,-70,-80,-83,-78,-81,-89,-200,-85,-78,-78,-84,-86,-87,-88,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461565679,-53,-54,-69,-69,-61,-75,-78,-71,-76,-200,-86,-80,-85,-85,-200,-81,-83,-81,-86,-87,-87,-86,-90,-92,-85,-85,-200,-200,-200,-200,-200,-200,-200
1526461568715,-53,-54,-76,-71,-61,-77,-70,-71,-76,-200,-86,-77,-81,-87,-200,-81,-83,-81,-85,-87,-87,-86,-89,-92,-85,-89,-83,-92,-200,-200,-200,-200,-200
1526461571742,-53,-54,-76,-71,-61,-77,-70,-71,-76,-200,-86,-77,-81,-87,-200,-81,-83,-81,-85,-87,-87,-86,-89,-92,-85,-89,-83,-92,-200,-200,-200,-200,-200
1526461574774,-53,-54,-76,-71,-61,-77,-70,-71,-76,-200,-86,-77,-81,-87,-200,-81,-83,-81,-85,-87,-87,-86,-89,-92,-85,-89,-83,-92,-200,-200,-200,-200,-200
1526461577808,-54,-54,-78,-71,-66,-80,-72,-64,-71,-200,-90,-77,-81,-87,-200,-87,-85,-80,-85,-88,-200,-82,-89,-200,-200,-89,-83,-92,-81,-88,-89,-200,-200
1526461580842,-56,-53,-78,-67,-66,-81,-71,-64,-69,-200,-90,-79,-81,-85,-200,-87,-85,-79,-85,-88,-200,-82,-89,-200,-200,-89,-82,-92,-81,-88,-89,-91,-200
1526461583877,-56,-53,-78,-67,-66,-81,-71,-64,-69,-200,-90,-79,-81,-85,-200,-87,-85,-79,-85,-88,-200,-82,-89,-200,-200,-89,-82,-92,-81,-88,-89,-91,-200
1526461586913,-56,-53,-78,-67,-66,-81,-71,-64,-69,-200,-90,-79,-81,-85,-200,-87,-85,-79,-85,-88,-200,-82,-89,-200,-200,-89,-82,-92,-81,-88,-89,-91,-200
1526461589953,-51,-54,-76,-70,-64,-81,-66,-64,-73,-200,-200,-79,-200,-85,-200,-87,-85,-77,-83,-87,-90,-84,-200,-200,-200,-200,-83,-200,-83,-200,-200,-91,-200
1526461592989,-56,-52,-76,-70,-64,-81,-66,-64,-69,-200,-200,-79,-200,-84,-200,-87,-85,-77,-83,-87,-90,-84,-88,-200,-200,-200,-83,-200,-83,-200,-200,-91,-200
1526461596019,-56,-52,-76,-70,-64,-81,-66,-64,-69,-200,-200,-79,-200,-84,-200,-87,-85,-77,-83,-87,-90,-84,-88,-200,-200,-200,-83,-200,-83,-200,-200,-91,-200
