,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,74:da:da:c1:03:2d,74:da:da:c1:3a:8d,0c:73:eb:d0:11:d8,74:da:da:c1:02:8d,74:da:da:c1:02:91,0c:73:eb:d0:13:d8,0c:73:eb:d0:11:f8,d8:15:0d:6c:13:98,74:da:da:c1:03:21,0c:73:eb:d0:7c:40,74:da:da:c1:3a:81,74:da:da:c1:3a:dd,0c:73:eb:d0:7f:00,74:da:da:c1:3d:2d,0c:73:eb:d0:13:98,0c:73:eb:d0:7c:28
1526461456841,-58,-66,-67,-69,-70,-70,-74,-77,-78,-80,-81,-81,-84,-88,-89,-200,-200,-200
1526461459861,-58,-67,-67,-70,-70,-75,-66,-77,-200,-87,-81,-81,-84,-200,-85,-90,-200,-200
1526461462883,-58,-67,-67,-70,-70,-75,-66,-77,-200,-87,-81,-81,-84,-200,-85,-90,-200,-200
1526461465897,-58,-67,-67,-70,-70,-75,-66,-77,-200,-87,-81,-81,-84,-200,-85,-90,-200,-200
1526461468916,-54,-64,-67,-71,-69,-70,-76,-82,-200,-87,-90,-87,-87,-200,-84,-91,-200,-200
1526461471935,-53,-64,-68,-70,-69,-69,-72,-78,-200,-87,-90,-87,-87,-200,-86,-91,-200,-200
1526461474956,-53,-64,-68,-70,-69,-69,-72,-78,-200,-87,-90,-87,-87,-200,-86,-91,-200,-200
1526461477976,-53,-64,-68,-70,-69,-69,-72,-78,-200,-87,-90,-87,-87,-200,-86,-91,-200,-200
1526461480997,-55,-64,-69,-70,-69,-67,-66,-82,-91,-200,-87,-80,-87,-200,-85,-91,-91,-200
1526461484029,-55,-64,-69,-69,-69,-63,-68,-84,-90,-200,-86,-80,-88,-200,-85,-91,-91,-94
1526461487059,-55,-64,-69,-69,-69,-63,-68,-84,-90,-200,-86,-80,-88,-200,-85,-91,-91,-94
1526461490076,-55,-64,-69,-69,-69,-63,-68,-84,-90,-200,-86,-80,-88,-200,-85,-91,-91,-94
1526461493099,-56,-62,-71,-70,-72,-65,-69,-78,-87,-200,-85,-80,-86,-200,-85,-200,-88,-91
1526461496124,-56,-63,-69,-70,-70,-67,-69,-76,-87,-200,-86,-80,-86,-200,-81,-200,-88,-91
1526461499155,-56,-63,-69,-70,-70,-67,-69,-76,-87,-200,-86,-80,-86,-200,-81,-200,-88,-91
1526461502183,-56,-63,-69,-70,-70,-67,-69,-76,-87,-200,-86,-80,-86,-200,-81,-200,-88,-91
1526461505218,-56,-63,-69,-70,-69,-67,-66,-77,-88,-200,-86,-80,-87,-200,-85,-90,-200,-90
1526461508240,-55,-63,-71,-71,-67,-71,-67,-81,-88,-200,-87,-79,-87,-200,-84,-90,-200,-90
1526461511267,-55,-63,-71,-71,-67,-71,-67,-81,-88,-200,-87,-79,-87,-200,-84,-90,-200,-90
1526461514297,-55,-63,-71,-71,-67,-71,-67,-81,-88,-200,-87,-79,-87,-200,-84,-90,-200,-90
1526461517316,-53,-66,-70,-70,-68,-66,-65,-81,-90,-200,-87,-90,-200,-200,-83,-200,-200,-200
