,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:21,7C:66:9D:7B:47:FC,78:A5:04:41:E9:C8,78:A5:04:41:EB:D1,78:A5:04:41:EB:E8,78:A5:04:41:EB:AA,BC:6A:29:BE:31:7F,78:A5:04:41:E9:8E,78:A5:04:41:EB:B5,78:A5:04:41:E9:BB,78:A5:04:41:EB:D8,78:A5:04:41:E9:BE,78:A5:04:41:E9:F2,78:A5:04:41:E5:59,78:A5:04:41:EB:FE,78:A5:04:41:E9:B3,78:A5:04:41:EE:0A,78:A5:04:41:E7:A7
1526465846278,-93,-86,-84,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465846419,-94,-200,-84,-200,-84,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465851087,-88,-86,-78,-200,-82,-92,-98,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465851188,-200,-87,-200,-200,-82,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465851294,-88,-88,-79,-200,-82,-93,-200,-90,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465851425,-100,-88,-78,-200,-200,-93,-97,-200,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526465856235,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465856444,-97,-86,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526465856534,-200,-86,-86,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465856648,-98,-86,-86,-86,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465861054,-200,-85,-78,-86,-200,-92,-97,-90,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526465861156,-200,-86,-79,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465861258,-88,-86,-79,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465861368,-88,-88,-79,-200,-82,-200,-98,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465866048,-200,-200,-83,-88,-200,-200,-200,-91,-86,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526465866153,-200,-98,-83,-88,-200,-200,-200,-91,-85,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526465866322,-200,-200,-83,-200,-200,-200,-200,-91,-85,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526465866435,-200,-92,-86,-80,-200,-200,-200,-200,-84,-88,-200,-90,-92,-200,-200,-200,-200,-200
1526465871145,-200,-200,-200,-81,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465871252,-89,-87,-200,-82,-200,-200,-200,-200,-85,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526465876133,-89,-200,-86,-200,-200,-88,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526465876238,-88,-86,-86,-84,-82,-88,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465876360,-88,-95,-87,-84,-88,-88,-104,-200,-200,-87,-200,-200,-200,-93,-98,-200,-200,-200
1526465881073,-92,-96,-200,-88,-88,-200,-200,-200,-85,-89,-200,-200,-200,-93,-200,-200,-200,-200
1526465881214,-92,-96,-88,-200,-200,-200,-200,-88,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526465881322,-90,-98,-88,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465881423,-90,-200,-88,-200,-200,-200,-101,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465886207,-200,-200,-88,-200,-200,-200,-200,-89,-84,-200,-200,-96,-200,-200,-200,-200,-200,-200
1526465886351,-200,-92,-200,-80,-200,-200,-200,-89,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526465891046,-200,-200,-85,-84,-82,-89,-200,-200,-200,-88,-200,-92,-200,-200,-200,-200,-200,-200
1526465891145,-200,-200,-85,-200,-83,-200,-200,-200,-92,-88,-200,-92,-200,-92,-200,-200,-200,-200
1526465891281,-91,-200,-200,-84,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465891380,-91,-200,-200,-200,-82,-89,-200,-200,-200,-200,-200,-91,-200,-200,-200,-97,-200,-200
1526465896155,-90,-96,-200,-88,-87,-200,-200,-200,-84,-89,-200,-200,-200,-93,-96,-200,-200,-200
1526465896313,-200,-200,-200,-200,-88,-200,-200,-200,-85,-200,-200,-200,-200,-93,-200,-200,-93,-200
1526465896464,-94,-96,-88,-88,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465901102,-200,-93,-90,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-96,-200,-95,-200,-200
1526465901224,-95,-200,-200,-200,-200,-200,-200,-200,-84,-86,-200,-200,-200,-200,-200,-200,-200,-94
1526465901432,-96,-86,-88,-200,-200,-200,-100,-200,-85,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526465906059,-89,-88,-86,-85,-82,-88,-200,-200,-92,-200,-200,-90,-200,-200,-200,-95,-200,-200
1526465906221,-92,-89,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465906370,-200,-90,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465906459,-89,-95,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465906657,-92,-87,-200,-84,-200,-89,-200,-200,-200,-89,-200,-92,-200,-200,-200,-200,-200,-200
1526465906752,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
