,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:FE,78:A5:04:41:E9:8E,7C:66:9D:7B:2E:21,7C:66:9D:7B:47:FC,78:A5:04:41:EB:D1,78:A5:04:41:EB:94,78:A5:04:41:E9:BE,78:A5:04:41:E5:59,BC:6A:29:BE:31:7F,78:A5:04:41:E9:F3,78:A5:04:41:EB:D8,78:A5:04:41:E9:C8,78:A5:04:41:EB:E8,78:A5:04:41:E9:E3,78:A5:04:41:E5:34
1526465621160,-84,-88,-83,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465621269,-84,-88,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465621370,-83,-89,-200,-96,-87,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526465626103,-84,-200,-95,-200,-87,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200
1526465626230,-200,-87,-94,-200,-200,-200,-88,-90,-100,-200,-200,-200,-200,-200,-200
1526465626461,-200,-89,-95,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526465631190,-82,-200,-95,-200,-200,-200,-90,-86,-200,-200,-200,-200,-200,-200,-200
1526465631296,-82,-90,-98,-200,-200,-200,-89,-86,-200,-200,-200,-200,-200,-200,-200
1526465631396,-81,-200,-97,-200,-200,-92,-89,-200,-200,-87,-89,-200,-200,-200,-200
1526465636125,-83,-200,-200,-200,-200,-200,-200,-200,-200,-87,-89,-92,-200,-200,-200
1526465636370,-83,-200,-95,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200
1526465636433,-83,-200,-95,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465641095,-85,-200,-96,-101,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465641204,-86,-200,-95,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526465641306,-85,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465641516,-84,-200,-93,-200,-91,-200,-200,-86,-200,-200,-91,-200,-200,-200,-200
1526465646453,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465646561,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-88,-200,-200
1526465651165,-83,-200,-200,-200,-200,-200,-200,-200,-200,-88,-88,-200,-88,-200,-200
1526465651306,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-88,-92,-200,-200,-200
1526465651445,-200,-200,-100,-200,-200,-200,-200,-88,-200,-200,-88,-200,-91,-200,-200
1526465656192,-84,-200,-100,-200,-200,-200,-200,-88,-200,-200,-200,-200,-90,-200,-200
1526465656286,-84,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-90,-200,-200
1526465661086,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526465661302,-200,-200,-200,-200,-92,-200,-88,-88,-200,-200,-200,-200,-200,-200,-200
1526465661413,-82,-200,-200,-200,-200,-200,-88,-88,-200,-90,-200,-200,-91,-200,-200
1526465666139,-82,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-90,-200,-200,-200
1526465666252,-82,-200,-200,-200,-200,-90,-200,-200,-200,-200,-90,-92,-200,-92,-92
1526465666445,-200,-200,-95,-200,-200,-89,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526465671074,-84,-200,-98,-200,-200,-200,-200,-89,-200,-200,-200,-200,-91,-200,-200
1526465671179,-84,-200,-97,-200,-200,-200,-92,-89,-200,-200,-200,-200,-90,-200,-200
1526465671283,-84,-200,-97,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526465671403,-85,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465671493,-82,-200,-107,-200,-200,-200,-89,-200,-200,-91,-200,-200,-200,-200,-200
1526465676139,-200,-200,-94,-200,-200,-200,-89,-87,-200,-200,-200,-200,-200,-200,-200
1526465676470,-82,-200,-95,-200,-200,-90,-89,-200,-200,-88,-89,-200,-90,-200,-200
1526465681179,-83,-200,-95,-200,-200,-91,-200,-200,-200,-90,-89,-200,-200,-200,-200
1526465681337,-200,-200,-96,-200,-200,-200,-200,-200,-200,-89,-89,-200,-200,-200,-200
1526465681467,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465681587,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
