,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:EB:E4,78:A5:04:41:E9:F2,78:A5:04:41:EB:B5,78:A5:04:41:E9:A7,78:A5:04:41:EB:B2,78:A5:04:41:EB:DF,78:A5:04:41:EB:AB,78:A5:04:41:EB:E1,78:A5:04:41:EB:AA,78:A5:04:41:E9:C8,BC:6A:29:BE:31:17
1526466141130,-86,-86,-78,-92,-200,-200,-200,-200,-200,-200,-200
1526466141446,-87,-200,-75,-89,-89,-84,-200,-200,-200,-200,-200
1526466141754,-85,-84,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526466141865,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466146073,-86,-200,-200,-88,-200,-82,-200,-200,-200,-200,-200
1526466146169,-86,-200,-82,-86,-200,-81,-200,-200,-200,-200,-200
1526466146373,-200,-200,-76,-86,-200,-83,-200,-200,-200,-200,-200
1526466151090,-200,-200,-77,-85,-200,-83,-92,-200,-200,-200,-200
1526466151758,-200,-200,-75,-86,-200,-84,-200,-200,-200,-200,-200
1526466156077,-200,-200,-78,-200,-87,-84,-200,-200,-200,-200,-200
1526466156181,-86,-200,-78,-200,-87,-83,-200,-200,-200,-200,-200
1526466156277,-88,-200,-78,-200,-86,-200,-200,-200,-200,-200,-200
1526466156383,-86,-200,-78,-88,-200,-83,-92,-200,-200,-200,-200
1526466161200,-200,-200,-82,-200,-200,-200,-200,-89,-200,-200,-200
1526466161313,-200,-200,-81,-200,-200,-83,-200,-88,-200,-200,-200
1526466161519,-200,-85,-80,-200,-200,-82,-200,-200,-200,-200,-200
1526466166254,-200,-85,-75,-200,-200,-82,-200,-200,-200,-200,-200
1526466166366,-200,-85,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526466166471,-88,-85,-76,-200,-200,-82,-200,-200,-200,-200,-200
1526466171142,-89,-200,-83,-89,-87,-200,-200,-200,-200,-200,-200
1526466171406,-89,-200,-83,-89,-88,-80,-200,-200,-200,-200,-200
1526466176019,-85,-83,-81,-200,-200,-83,-200,-200,-200,-200,-200
1526466176650,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526466176748,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200
1526466181077,-200,-85,-200,-200,-200,-84,-200,-200,-200,-200,-200
1526466181182,-200,-200,-76,-200,-200,-84,-200,-200,-92,-200,-200
1526466181279,-200,-88,-200,-200,-200,-83,-200,-200,-93,-200,-200
1526466181388,-85,-88,-200,-90,-200,-83,-200,-200,-200,-95,-200
1526466186125,-85,-83,-78,-88,-200,-83,-200,-200,-200,-200,-200
1526466186258,-85,-82,-200,-200,-200,-84,-96,-200,-200,-200,-200
1526466186335,-85,-83,-79,-90,-90,-83,-200,-200,-200,-200,-200
1526466186444,-200,-79,-78,-200,-200,-84,-200,-200,-200,-200,-200
1526466191070,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-98
1526466191152,-200,-200,-82,-200,-200,-81,-200,-90,-200,-200,-200
1526466191253,-200,-80,-82,-200,-200,-81,-200,-200,-200,-200,-98
1526466191440,-200,-200,-200,-200,-92,-81,-200,-200,-200,-200,-99
1526466196061,-200,-200,-200,-200,-200,-87,-200,-200,-200,-88,-200
1526466196168,-200,-85,-72,-88,-200,-89,-200,-200,-200,-89,-200
1526466196281,-200,-86,-200,-89,-200,-89,-200,-200,-200,-200,-200
1526466196375,-88,-86,-73,-200,-200,-86,-200,-200,-200,-200,-200
1526466201027,-200,-81,-78,-200,-200,-85,-200,-200,-200,-200,-200
1526466201135,-89,-81,-78,-92,-87,-83,-200,-200,-200,-200,-200
1526466201260,-200,-81,-78,-92,-87,-85,-200,-200,-200,-200,-200
1526466201407,-200,-81,-78,-200,-200,-84,-200,-200,-200,-200,-200
