,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1
,78:A5:04:41:E7:91,F4:B8:5E:AA:77:73
1526461153542,-86,-91
1526461154678,-85,-200
1526461155727,-90,-200
1526461160236,-85,-200
1526461161189,-89,-200
1526461163397,-87,-200
1526461166790,-86,-200
1526461171180,-88,-200
1526461172216,-86,-200
1526461174512,-97,-94
1526461175665,-87,-200
1526461176714,-86,-95
1526461176818,-85,-200
1526461182207,-85,-200
1526461183353,-92,-200
1526461183457,-85,-200
1526461185655,-92,-200
1526461186705,-85,-94
1526461191100,-94,-93
1526461197791,-86,-95
1526461200997,-84,-200
1526461202160,-97,-200
1526461203218,-85,-200
1526461204362,-86,-200
1526461204467,-97,-200
1526461206645,-84,-200
1526461207708,-88,-92
1526461208840,-80,-200
1526461209901,-86,-200
1526461209996,-86,-200
1526461211046,-92,-200
1526461212107,-79,-91
1526461213382,-90,-91
1526461215492,-78,-92
