,vlucci.com AC-V1.4.0.0,011f.0012-vlucci.com A1.4.0.1
,78:A5:04:41:EB:C9,F4:B8:5E:AA:77:7A
1526461589455,-94,-200
1526461599327,-94,-97
1526461608222,-94,-200
