,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1
,78:A5:04:41:E7:91,F4:B8:5E:AA:77:73
1526461229112,-86,-200
1526461230240,-92,-96
1526461234766,-85,-200
1526461235809,-87,-200
1526461236948,-93,-200
1526461254526,-87,-200
1526461263383,-88,-200
1526461267799,-87,-200
1526461285646,-87,-200
1526461291195,-86,-200
