,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:08,BC:6A:29:BE:31:7F,78:A5:04:41:E9:D7,78:A5:04:41:E7:88,78:A5:04:41:E5:34,78:A5:04:41:E5:62,78:A5:04:41:E9:D2,78:A5:04:41:EB:FB,78:A5:04:41:E9:8A,78:A5:04:41:EB:98,78:A5:04:41:E9:92,78:A5:04:41:E7:98,78:A5:04:41:E7:D5,78:A5:04:41:E9:EB,7C:66:9D:7B:47:FC,78:A5:04:41:E9:82,7C:66:9D:7B:2E:21,78:A5:04:41:E7:EF,78:A5:04:41:E9:BE,78:A5:04:41:EB:D1,78:A5:04:41:E5:59,78:A5:04:41:EB:E8,78:A5:04:41:E9:F3
1526441349445,-69,-85,-68,-87,-80,-80,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441349541,-72,-200,-200,-200,-79,-79,-75,-78,-81,-86,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441349649,-77,-84,-75,-200,-200,-200,-74,-200,-79,-200,-200,-83,-84,-76,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526441354330,-75,-200,-79,-200,-200,-200,-200,-200,-200,-200,-65,-200,-77,-73,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526441354432,-200,-83,-200,-80,-83,-75,-200,-77,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441354531,-75,-200,-200,-200,-200,-75,-69,-77,-69,-200,-65,-200,-77,-73,-200,-83,-92,-200,-200,-200,-200,-200,-200
1526441354628,-75,-200,-200,-200,-200,-200,-68,-77,-200,-200,-64,-200,-77,-72,-97,-83,-94,-200,-200,-200,-200,-200,-200
1526441359319,-200,-82,-83,-200,-81,-200,-200,-200,-200,-88,-200,-86,-200,-200,-200,-77,-94,-200,-200,-200,-200,-200,-200
1526441359447,-200,-200,-200,-200,-81,-78,-75,-200,-200,-87,-69,-200,-77,-200,-200,-200,-200,-87,-87,-90,-200,-200,-200
1526441359616,-200,-82,-83,-88,-82,-200,-200,-75,-200,-200,-68,-87,-200,-72,-200,-77,-94,-87,-200,-90,-86,-200,-200
1526441364352,-68,-200,-76,-200,-200,-200,-75,-200,-76,-200,-66,-200,-200,-73,-200,-200,-200,-200,-200,-200,-83,-200,-200
