,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:98,78:A5:04:41:EB:F1,78:A5:04:41:EE:06,BC:6A:29:BE:2F:54,78:A5:04:41:EB:A5,BC:6A:29:BE:31:17,78:A5:04:41:E5:68,78:A5:04:41:EE:17,78:A5:04:41:E9:A0,78:A5:04:41:E9:B3,78:A5:04:41:E9:CC,78:A5:04:41:E9:8E
1526450268580,-60,-62,-83,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526450268685,-59,-200,-83,-200,-60,-81,-79,-67,-86,-200,-200,-200
1526450268788,-59,-61,-83,-83,-59,-200,-79,-67,-86,-200,-200,-200
1526450268884,-59,-61,-200,-83,-59,-92,-88,-200,-200,-200,-200,-200
1526450273495,-74,-72,-90,-200,-200,-90,-200,-77,-81,-82,-89,-200
1526450273637,-72,-200,-200,-200,-200,-90,-200,-77,-79,-82,-86,-200
1526450273786,-72,-69,-90,-200,-81,-90,-200,-75,-79,-81,-85,-200
1526450273889,-74,-62,-88,-90,-69,-89,-83,-200,-79,-200,-200,-200
1526450278508,-64,-62,-88,-200,-62,-92,-83,-200,-87,-200,-200,-200
1526450278617,-64,-61,-200,-200,-62,-92,-83,-200,-87,-200,-200,-200
1526450278732,-64,-62,-88,-91,-62,-200,-83,-200,-89,-200,-200,-200
1526450278834,-200,-62,-88,-92,-63,-104,-200,-200,-200,-200,-87,-200
1526450283628,-79,-200,-90,-94,-67,-95,-86,-68,-200,-89,-88,-200
1526450283726,-82,-69,-89,-92,-67,-95,-86,-69,-200,-90,-200,-200
1526450283840,-81,-70,-200,-92,-66,-96,-87,-69,-200,-200,-92,-200
1526450283961,-68,-70,-89,-88,-65,-94,-200,-76,-200,-200,-92,-200
1526450288556,-200,-64,-200,-88,-64,-93,-200,-200,-200,-200,-200,-200
1526450288662,-69,-64,-200,-88,-64,-93,-200,-76,-88,-200,-200,-200
1526450288768,-69,-64,-200,-88,-65,-200,-200,-76,-200,-200,-200,-200
1526450288881,-200,-200,-200,-88,-72,-89,-200,-200,-200,-85,-200,-200
1526450293665,-68,-69,-200,-88,-200,-90,-200,-200,-77,-200,-200,-200
1526450293766,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526450293886,-200,-200,-200,-200,-71,-98,-200,-200,-200,-200,-200,-200
1526450294090,-200,-71,-200,-89,-200,-91,-200,-200,-200,-200,-200,-200
1526450294209,-200,-73,-200,-200,-69,-89,-200,-200,-200,-84,-200,-200
1526450294302,-200,-69,-200,-200,-69,-90,-200,-74,-78,-83,-88,-200
1526450294409,-200,-68,-92,-200,-82,-96,-86,-74,-77,-200,-200,-200
1526450298507,-62,-200,-200,-98,-82,-96,-200,-66,-85,-88,-90,-200
1526450298625,-62,-70,-200,-96,-82,-95,-200,-66,-85,-88,-90,-200
1526450298721,-62,-69,-200,-97,-82,-95,-200,-66,-200,-88,-90,-200
1526450298858,-200,-200,-200,-200,-200,-200,-92,-66,-200,-200,-200,-200
1526450303473,-63,-76,-200,-200,-200,-200,-89,-66,-200,-200,-87,-200
1526450303578,-63,-76,-200,-200,-200,-83,-200,-67,-200,-200,-200,-200
1526450303666,-62,-200,-200,-200,-69,-83,-90,-67,-82,-90,-86,-200
1526450303840,-62,-76,-91,-200,-78,-83,-200,-200,-82,-200,-86,-200
1526450308481,-200,-200,-200,-89,-77,-87,-82,-82,-86,-88,-91,-98
1526450308590,-72,-200,-200,-89,-200,-88,-83,-81,-200,-88,-200,-200
1526450308696,-72,-200,-200,-200,-200,-88,-82,-82,-200,-200,-200,-200
