,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:D4,78:A5:04:41:E7:A7,78:A5:04:41:EB:E4
1526452596220,-89,-93,-93
1526452605983,-200,-92,-93
1526452621031,-200,-200,-95
1526452635823,-200,-200,-93
1526452635960,-200,-91,-95
1526452636066,-89,-95,-95
1526452640947,-89,-200,-200
