,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:E4,78:A5:04:41:EE:0A,78:A5:04:41:EB:AB,78:A5:04:41:EB:F6,78:A5:04:41:EB:B2,78:A5:04:41:EB:D4,78:A5:04:41:E7:A7
1526452200323,-83,-200,-200,-200,-200,-200,-200
1526452205828,-90,-96,-200,-200,-200,-200,-200
1526452206217,-88,-200,-200,-200,-200,-200,-200
1526452210795,-84,-200,-85,-200,-200,-200,-200
1526452210845,-84,-200,-200,-92,-200,-200,-200
1526452210957,-84,-200,-87,-200,-200,-200,-200
1526452211062,-84,-200,-200,-200,-200,-200,-200
1526452211183,-83,-200,-89,-200,-89,-200,-200
1526452211270,-85,-200,-200,-200,-96,-200,-200
1526452216226,-86,-200,-90,-200,-200,-200,-200
1526452220876,-89,-200,-200,-200,-91,-200,-200
1526452221067,-200,-200,-90,-200,-90,-95,-200
1526452221255,-83,-200,-90,-200,-200,-200,-200
1526452225853,-84,-200,-88,-200,-92,-200,-200
1526452226105,-84,-200,-200,-200,-92,-200,-200
1526452226233,-83,-91,-200,-200,-200,-95,-200
1526452230988,-84,-91,-200,-200,-200,-200,-200
1526452235822,-90,-96,-90,-91,-90,-200,-200
1526452240871,-85,-200,-89,-91,-88,-200,-200
1526452241043,-85,-200,-90,-92,-89,-200,-200
1526452241228,-84,-200,-90,-200,-88,-200,-97
1526452250774,-89,-200,-89,-200,-92,-200,-200
1526452251061,-90,-200,-88,-200,-90,-200,-200
1526452251275,-91,-200,-200,-200,-91,-200,-200
1526452255774,-84,-200,-86,-90,-89,-200,-200
1526452255955,-83,-200,-88,-200,-87,-200,-200
1526452256194,-84,-200,-200,-200,-200,-200,-200
1526452256280,-83,-200,-88,-200,-200,-200,-200
1526452261111,-84,-200,-89,-200,-91,-200,-200
