,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:E4,78:A5:04:41:EE:0A,78:A5:04:41:EB:B2,78:A5:04:41:EB:AB,78:A5:04:41:EB:D4
1526452779770,-85,-200,-200,-200,-200
1526452779883,-85,-90,-200,-200,-200
1526452780033,-87,-200,-90,-200,-200
1526452785787,-88,-200,-89,-200,-200
1526452785861,-82,-200,-200,-200,-200
1526452785968,-88,-200,-90,-200,-200
1526452790806,-89,-200,-200,-93,-200
1526452791236,-200,-200,-91,-90,-200
1526452800876,-200,-200,-90,-89,-96
1526452801111,-200,-96,-200,-88,-200
1526452805733,-89,-200,-200,-90,-92
1526452805855,-88,-200,-200,-91,-200
1526452806034,-91,-200,-200,-91,-200
1526452806136,-90,-200,-200,-91,-92
1526452806248,-90,-200,-200,-90,-200
1526452816214,-90,-200,-200,-89,-200
1526452820954,-200,-200,-200,-90,-200
1526452821059,-90,-200,-200,-92,-200
1526452821141,-200,-200,-92,-91,-93
1526452831014,-200,-200,-90,-90,-200
1526452831263,-89,-200,-200,-89,-91
1526452835882,-200,-200,-200,-200,-91
1526452835987,-200,-200,-200,-91,-91
