,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:A7,78:A5:04:41:EE:0A,78:A5:04:41:EB:D4
1526452504176,-91,-200,-200
1526452505867,-84,-84,-200
1526452510857,-89,-84,-200
1526452511004,-87,-86,-200
1526452511199,-89,-200,-200
1526452515947,-87,-200,-200
1526452516151,-84,-200,-200
1526452516261,-84,-200,-200
1526452520771,-79,-200,-200
1526452520876,-79,-200,-200
1526452520995,-79,-200,-200
1526452521203,-79,-85,-96
1526452525824,-82,-93,-200
1526452526057,-83,-200,-200
1526452526154,-84,-200,-200
1526452526243,-82,-200,-200
1526452540769,-84,-92,-200
1526452540879,-84,-200,-200
1526452540978,-85,-200,-91
1526452541081,-87,-93,-200
1526452541188,-88,-92,-92
1526452556074,-200,-87,-200
1526452556205,-88,-88,-96
1526452565747,-200,-87,-200
