,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:7b
1454082178015,-61,-62,-62,-62,-63,-74,-74,-74,-74,-74,-75
1454082181351,-61,-62,-63,-62,-63,-75,-73,-73,-74,-73,-75
1454082184694,-61,-57,-57,-58,-56,-65,-67,-67,-65,-66,-67
