,e0:d1:73:d8:74:90,e0:d1:73:d8:74:94,e0:d1:73:d8:74:91,e0:d1:73:d8:74:92,e0:d1:73:d8:74:95
1454081900618,-76,-77,-72,-70,-71
1454081904028,-65,-64,-67,-64,-71
1454081907445,-67,-67,-67,-67,-67
1454081910863,-83,-67,-76,-76,-75
1454081914257,-60,-60,-61,-60,-75
1454081917705,-67,-60,-67,-67,-75
