,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5,e0:d1:73:bd:c9:aa,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:ab,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad
1454082662445,-62,-64,-63,-60,-58,-70,-61,-70,-70,-70,-60,-70,-62,-58,-69,-95,-64,-64,-67,-62,-65,-56,-58,-57,-60,-64,-57,-67,-67,-66,-64,-64
1454082665764,-61,-57,-61,-60,-58,-67,-58,-69,-68,-66,-60,-69,-61,-60,-66,-95,-68,-71,-70,-62,-68,-54,-58,-56,-53,-69,-57,-72,-68,-68,-68,-68
1454082669123,-62,-62,-62,-63,-62,-63,-63,-63,-68,-66,-63,-63,-62,-60,-66,-67,-68,-69,-68,-62,-74,-64,-58,-63,-64,-68,-64,-77,-77,-77,-76,-76
