,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:ab,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:bd:c9:ae
1454082632346,-63,-56,-62,-55,-61,-64,-57,-63,-63,-64,-56,-63,-61,-57,-64,-66,-67,-65,-66,-61,-67,-59,-62,-59,-60,-66,-61,-73,-70,-71,-71,-70
1454082635693,-65,-54,-63,-55,-95,-67,-95,-70,-70,-69,-54,-70,-62,-57,-68,-95,-62,-61,-61,-61,-62,-63,-62,-62,-63,-62,-64,-72,-74,-70,-70,-70
1454082639045,-67,-58,-66,-57,-95,-69,-95,-69,-68,-72,-57,-68,-65,-95,-71,-95,-64,-66,-67,-65,-64,-56,-95,-56,-56,-64,-55,-67,-67,-67,-67,-69
