,e0:d1:73:d8:74:90,e0:d1:73:d8:74:94,e0:d1:73:d8:74:91,e0:d1:73:d8:74:92,e0:d1:73:d8:74:95
1454081835790,-66,-67,-65,-69,-66
1454081839204,-66,-67,-69,-70,-66
1454081842619,-67,-69,-64,-68,-66
