,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082468959,-67,-62,-67,-58,-69,-57,-62,-67,-62,-67,-67,-67,-67,-68,-67,-63,-63,-63,-63,-67,-63
1454082472302,-67,-58,-67,-58,-69,-57,-58,-68,-58,-67,-66,-64,-67,-70,-66,-66,-65,-66,-67,-66,-67
1454082475640,-70,-55,-70,-95,-95,-95,-54,-70,-56,-95,-63,-64,-62,-70,-63,-67,-65,-66,-67,-63,-67
1454082478975,-68,-52,-70,-95,-95,-95,-52,-67,-52,-95,-66,-66,-65,-67,-67,-63,-66,-64,-63,-66,-63
1454082482317,-70,-63,-70,-61,-95,-95,-62,-70,-52,-95,-67,-68,-67,-71,-67,-72,-66,-73,-72,-67,-71
1454082485662,-71,-67,-70,-68,-95,-95,-67,-73,-52,-95,-79,-80,-82,-73,-80,-73,-66,-73,-73,-79,-73
1454082489022,-85,-75,-70,-78,-95,-95,-79,-86,-81,-88,-87,-88,-88,-85,-87,-73,-95,-86,-85,-79,-83
