,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:42
1454082101242,-65,-67,-73,-64,-63,-72,-65,-73
1454082104586,-65,-65,-74,-64,-66,-73,-63,-74
1454082107931,-65,-70,-72,-70,-70,-73,-68,-73
1454082111271,-95,-65,-72,-66,-65,-73,-66,-73
1454082114604,-95,-64,-68,-65,-65,-68,-64,-68
1454082117951,-95,-65,-68,-65,-66,-68,-64,-68
