,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:7b
1454082054635,-64,-38,-65,-38,-67,-38,-66,-38,-48,-49,-48,-47,-67,-48,-95
1454082057968,-71,-46,-71,-48,-71,-48,-70,-47,-57,-53,-53,-53,-71,-53,-95
1454082061280,-73,-59,-71,-48,-71,-52,-74,-53,-57,-58,-61,-60,-73,-58,-58
