,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c
1454082244966,-61,-66,-67,-66,-68,-75,-73,-74
1454082248284,-95,-67,-66,-68,-66,-72,-70,-71
1454082251606,-60,-60,-59,-68,-59,-68,-69,-68
