,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082612383,-58,-60,-58,-61,-95,-70,-95,-63,-65,-67,-60,-63,-55,-57,-67,-69,-69,-66,-69,-55,-69,-60,-64,-66,-66,-66,-66
1454082615710,-61,-58,-61,-60,-60,-70,-61,-67,-68,-68,-60,-68,-60,-57,-68,-63,-63,-63,-64,-55,-63,-59,-64,-59,-59,-62,-59
1454082619027,-63,-54,-61,-53,-64,-68,-53,-68,-66,-67,-54,-68,-60,-53,-68,-64,-63,-63,-65,-64,-63,-66,-66,-59,-66,-66,-66
